Id,Event_1,Event_2,Event_3,Event_4,remainingTime,prediction
10,16,12,16,12,1431900.0,1101947.0
103,25,25,31,31,583740.0,97380.1640625
106,31,31,25,25,577620.0,764700.75
116,70,70,70,70,573720.0,481059.875
125,46,46,41,41,14820.0,1494297.5
134,2,2,2,2,107100.0,3285558.0
136,46,46,46,46,5160.0,1373620.375
142,44,44,44,44,0.0,1670199.5
145,25,25,31,31,1970820.0,97380.1640625
150,12,12,12,12,30720.0,79739.9375
155,31,31,31,31,562920.0,1354420.125
156,54,54,54,54,1275000.0,3386639.25
17,25,25,25,25,2740620.0,1533167.5
199,148,148,132,148,7511400.0,1639373.375
201,96,96,96,96,4147200.0,1602908.25
209,46,46,31,31,739140.0,1353321.375
225,139,139,139,139,7084800.0,102600.046875
230,46,46,46,46,4696200.0,1373620.375
238,46,46,20,20,3927600.0,897840.3125
243,46,46,20,44,1116420.0,959221.0
244,70,70,70,70,406080.0,481059.875
251,78,78,2,2,3895620.0,201630.09375
253,54,54,54,54,583500.0,3386639.25
26,41,41,46,46,3637440.0,2147331.5
261,31,31,31,31,610080.0,1354420.125
263,25,25,25,25,1666920.0,1533167.5
267,41,41,46,46,7256760.0,2147331.5
27,31,31,31,31,518100.0,1354420.125
274,25,25,25,44,150900.0,1097534.0
33,46,46,12,46,1975920.0,1098239.625
4,2,2,20,96,82560.0,885816.25
43,25,25,31,12,387600.0,1322183.75
49,31,55,31,55,1268580.0,1614516.125
55,51,51,54,54,3297180.0,2884439.0
56,25,25,31,76,44340.0,379798.3125
60,25,25,132,132,409200.0,1073898.75
61,16,16,16,16,3623040.0,1382360.625
68,224,224,223,223,163800.0,629999.75
72,25,25,25,25,671400.0,1533167.5
77,54,54,54,54,1787760.0,3386639.25
83,78,78,78,78,425640.0,2530199.25
9,54,54,16,16,1841160.0,1508655.75
90,46,46,41,41,436620.0,1494297.5
99,12,12,12,12,567300.0,79739.9375
