Id,Event_1,Event_2,Event_3,Event_4,Event_5,remainingTime,prediction
110,48,48,27,57,57,2503680.0,864000.226538
194,13,13,13,45,13,2277120.0,1043498.82246
20,2,2,18,2,2,3230640.0,999960.779008
201,67,67,67,67,22,4028700.0,828978.17225
223,33,45,33,33,33,2105460.0,957915.892502
235,57,57,57,13,57,3178200.0,699643.160665
24,8,8,8,8,67,3601440.0,889924.587843
25,38,38,38,38,38,3100080.0,870486.512734
41,17,17,17,18,17,1648680.0,964064.747525
44,13,13,54,54,54,2151900.0,913576.935992
61,17,17,17,17,17,3622980.0,962065.052572
62,22,22,22,22,22,2434860.0,940260.638325
66,22,22,22,22,18,1791240.0,947812.394961
70,17,17,17,17,17,3195360.0,962065.052572
75,33,33,33,33,22,1620420.0,913058.257729
78,38,38,38,38,8,2551020.0,927124.687501
103,22,22,33,33,22,572160.0,6997465.36998
112,54,54,17,17,13,1339560.0,6629233.14822
119,13,13,13,13,13,640800.0,6771700.22535
126,38,38,2,2,8,496980.0,6491205.77073
147,22,22,33,33,33,97380.0,6889759.82251
205,75,75,75,75,18,37800.0,7517253.63838
232,67,38,67,75,38,1309800.0,7373281.81729
241,38,38,38,38,2,363420.0,7199772.90187
244,79,79,79,79,79,406080.0,6971236.16125
246,54,54,17,17,54,470760.0,6227785.19857
248,17,17,17,17,54,821340.0,6421511.01635
264,70,70,70,27,70,247320.0,5261935.06615
27,33,33,33,33,33,517860.0,6832165.66047
274,22,22,22,45,45,145200.0,7473430.60314
30,27,57,57,27,70,94980.0,5924999.88426
39,54,54,54,45,45,453240.0,6631711.39397
43,22,22,33,18,33,386040.0,6302983.66578
46,38,38,27,27,38,201540.0,6648726.32042
56,22,22,33,83,83,40740.0,8356109.67465
64,38,38,8,8,27,255600.0,6413472.02446
65,17,17,18,18,54,90120.0,6439561.53442
84,22,22,22,22,22,1044600.0,6798909.67115
90,48,48,2,2,27,435000.0,6252810.58688
91,38,38,2,2,2,530340.0,6549954.25116
178,142,142,144,144,75,5365440.0,4069492.70326
237,18,18,2,2,18,5493000.0,3325148.41549
259,54,54,54,54,13,6164880.0,3527830.05417
