Id,Event_1,Event_2,Event_3,Event_4,Event_5,remainingTime,prediction
100,22,22,27,27,22,2506680.0,1627167.71433
104,27,27,27,27,38,96540.0,1693911.89445
112,54,54,17,17,13,1339560.0,1866887.40861
113,8,8,27,27,67,16560.0,1642198.95586
12,54,54,13,13,18,1864140.0,1903345.64977
121,27,27,27,92,92,1943280.0,2279639.75894
122,38,38,38,38,38,1966020.0,1692258.6871
124,8,8,8,8,38,464460.0,1696767.43441
127,48,48,48,48,2,1343160.0,1609809.9133
135,27,27,38,70,70,696480.0,1925103.35627
137,38,38,8,8,2,187200.0,1800431.03568
182,18,18,79,79,18,1820940.0,1265754.24407
185,13,13,79,79,83,7375200.0,1381138.24453
192,111,111,45,45,13,1656600.0,2041135.05511
194,13,13,13,45,13,2277120.0,1868386.50555
196,57,57,79,79,67,121500.0,1615922.84793
205,75,75,75,75,18,37800.0,1641727.97762
212,48,48,48,48,48,1143300.0,1713240.7319
224,57,57,57,57,57,1800.0,1732124.57221
230,48,48,48,48,48,4514160.0,1713240.7319
232,67,38,67,75,38,1309800.0,1791860.09385
235,57,57,57,13,57,3178200.0,1417823.04287
237,18,18,2,2,18,5493000.0,1751157.64104
246,54,54,17,17,54,470760.0,1959075.74692
257,48,48,8,8,38,6799860.0,1942913.38014
259,54,54,54,54,13,6164880.0,1633641.62046
26,2,2,48,48,48,3637380.0,1430172.8943
265,33,33,33,33,33,881820.0,1681767.6647
268,33,33,33,18,33,1862340.0,1574619.41606
272,17,17,54,54,54,1421820.0,1498144.95897
277,208,208,67,67,79,336540.0,2647753.02839
3,2,57,2,57,8,1572660.0,1934305.79513
4,8,8,27,67,27,75660.0,1837987.77665
48,2,2,8,8,8,3159960.0,1592390.66086
49,33,57,33,57,33,1209660.0,1814462.13436
52,33,33,22,22,22,638460.0,1726377.55051
58,79,79,79,79,75,896280.0,1769291.08654
65,17,17,18,18,54,90120.0,1725086.8069
7,2,2,8,8,2,320820.0,1578899.68452
73,8,8,38,38,2,927720.0,1426703.36977
86,48,48,70,70,27,160020.0,1527335.62986
9,54,54,17,17,17,1841100.0,1875881.39283
98,45,45,70,70,152,7500.0,1789936.691
