Id,concept:name_1,lifecycle:transition_1,org:resource_1,Activity_1,Resource_1,Work_Order_Qty_1,Part_Desc__1,Worker_ID_1,Report_Type_1,Qty_Completed_1,Qty_Rejected_1,Qty_for_MRB_1,concept:name_2,lifecycle:transition_2,org:resource_2,Activity_2,Resource_2,Work_Order_Qty_2,Part_Desc__2,Worker_ID_2,Report_Type_2,Qty_Completed_2,Qty_Rejected_2,Qty_for_MRB_2,concept:name_3,lifecycle:transition_3,org:resource_3,Activity_3,Resource_3,Work_Order_Qty_3,Part_Desc__3,Worker_ID_3,Report_Type_3,Qty_Completed_3,Qty_Rejected_3,Qty_for_MRB_3,concept:name_4,lifecycle:transition_4,org:resource_4,Activity_4,Resource_4,Work_Order_Qty_4,Part_Desc__4,Worker_ID_4,Report_Type_4,Qty_Completed_4,Qty_Rejected_4,Qty_for_MRB_4,concept:name_5,lifecycle:transition_5,org:resource_5,Activity_5,Resource_5,Work_Order_Qty_5,Part_Desc__5,Worker_ID_5,Report_Type_5,Qty_Completed_5,Qty_Rejected_5,Qty_for_MRB_5,concept:name_6,lifecycle:transition_6,org:resource_6,Activity_6,Resource_6,Work_Order_Qty_6,Part_Desc__6,Worker_ID_6,Report_Type_6,Qty_Completed_6,Qty_Rejected_6,Qty_for_MRB_6,concept:name_7,lifecycle:transition_7,org:resource_7,Activity_7,Resource_7,Work_Order_Qty_7,Part_Desc__7,Worker_ID_7,Report_Type_7,Qty_Completed_7,Qty_Rejected_7,Qty_for_MRB_7,concept:name_8,lifecycle:transition_8,org:resource_8,Activity_8,Resource_8,Work_Order_Qty_8,Part_Desc__8,Worker_ID_8,Report_Type_8,Qty_Completed_8,Qty_Rejected_8,Qty_for_MRB_8,concept:name_9,lifecycle:transition_9,org:resource_9,Activity_9,Resource_9,Work_Order_Qty_9,Part_Desc__9,Worker_ID_9,Report_Type_9,Qty_Completed_9,Qty_Rejected_9,Qty_for_MRB_9,remainingTime,prediction
111,76,1,10,76,12,77,5,10,13,8,9,9,76,14,10,76,12,77,5,10,13,8,9,9,76,1,10,76,12,77,5,10,6,78,9,9,76,14,10,76,12,77,5,10,6,78,9,9,76,1,15,76,12,77,5,15,6,79,9,9,76,14,15,76,12,77,5,15,6,79,9,9,76,1,51,76,12,77,5,51,6,80,9,9,76,14,51,76,12,77,5,51,6,80,9,9,76,1,10,76,12,77,5,10,6,69,9,9,1249920.0,2573839.34853
112,17,1,70,17,19,81,29,70,13,9,9,9,17,14,70,17,19,81,29,70,13,9,9,9,17,1,23,17,19,81,29,23,13,8,9,9,17,14,23,17,19,81,29,23,13,8,9,9,17,1,26,17,19,81,29,26,13,75,9,9,17,14,26,17,19,81,29,26,13,75,9,9,0,1,40,0,3,81,29,40,6,9,75,9,17,1,23,17,19,81,29,23,39,9,9,9,0,14,40,0,3,81,29,40,6,9,75,9,1299240.0,5245452.69983
122,48,1,51,48,49,86,103,51,13,8,9,9,48,14,51,48,49,86,103,51,13,8,9,9,48,1,51,48,49,86,103,51,6,35,9,9,48,14,51,48,49,86,103,51,6,35,9,9,48,1,51,48,49,86,103,51,13,8,9,9,48,14,51,48,49,86,103,51,13,8,9,9,48,1,51,48,49,86,103,51,6,35,9,9,0,1,2,0,3,86,103,2,6,9,9,9,0,14,2,0,3,86,103,2,6,9,9,9,1937400.0,1916673.97701
125,71,1,18,71,72,107,29,18,13,9,9,9,71,14,18,71,72,107,29,18,13,9,9,9,71,1,15,71,72,107,29,15,13,8,9,9,71,14,15,71,72,107,29,15,13,8,9,9,0,1,24,0,3,107,29,24,6,9,9,9,71,1,15,71,72,107,29,15,6,108,9,9,71,14,15,71,72,107,29,15,6,108,9,9,0,14,24,0,3,107,29,24,6,9,9,9,71,1,51,71,72,107,29,51,6,101,9,9,2640.0,3994813.26967
126,11,1,51,11,12,4,37,51,13,9,9,9,11,14,51,11,12,4,37,51,13,9,9,9,11,1,15,11,12,4,37,15,13,65,9,9,11,14,15,11,12,4,37,15,13,65,9,9,11,1,10,11,12,4,37,10,13,9,9,9,0,1,40,0,3,4,37,40,6,9,8,9,11,14,10,11,12,4,37,10,13,9,9,9,11,1,10,11,12,4,37,10,6,16,9,9,0,14,40,0,3,4,37,40,6,9,8,9,493200.0,1234634.65102
135,48,1,34,48,49,73,37,34,13,8,9,9,48,14,34,48,49,73,37,34,13,8,9,9,48,1,51,48,49,73,37,51,13,9,9,9,48,1,83,48,49,73,37,83,13,9,9,9,48,14,83,48,49,73,37,83,13,9,9,9,48,14,51,48,49,73,37,51,13,9,9,9,48,1,34,48,49,73,37,34,13,9,9,9,48,14,34,48,49,73,37,34,13,9,9,9,48,1,34,48,49,73,37,34,13,9,9,9,635460.0,1783233.44752
140,48,1,51,48,49,101,5,51,13,65,9,9,48,14,51,48,49,101,5,51,13,65,9,9,48,1,15,48,49,101,5,15,6,75,9,9,48,14,15,48,49,101,5,15,6,75,9,9,0,1,46,0,3,101,5,46,6,75,65,9,0,14,46,0,3,101,5,46,6,75,65,9,58,1,54,58,59,101,5,54,6,75,9,9,58,14,54,58,59,101,5,54,6,75,9,9,113,1,57,113,114,101,5,57,6,75,9,9,261360.0,-6667725.19806
153,87,1,88,87,89,131,37,88,13,9,9,9,87,14,88,87,89,131,37,88,13,9,9,9,87,1,88,87,89,131,37,88,6,102,9,9,87,14,88,87,89,131,37,88,6,102,9,9,121,1,40,121,3,131,37,40,6,9,9,9,121,14,40,121,3,131,37,40,6,9,9,9,121,1,40,121,3,131,37,40,6,102,9,9,121,14,40,121,3,131,37,40,6,102,9,9,95,1,94,95,95,131,37,94,6,102,9,9,3600.0,1680791.36185
17,117,1,30,117,132,69,91,30,13,9,9,9,117,14,30,117,132,69,91,30,13,9,9,9,117,1,30,117,132,69,91,30,13,9,9,9,117,14,30,117,132,69,91,30,13,9,9,9,117,1,30,117,132,69,91,30,39,9,9,9,117,14,30,117,132,69,91,30,39,9,9,9,117,1,30,117,132,69,91,30,6,9,9,9,117,1,137,117,132,69,91,137,6,82,9,9,117,14,30,117,132,69,91,30,6,9,9,9,2732640.0,626306.219662
187,113,1,54,113,114,152,5,54,6,9,9,9,113,14,54,113,114,152,5,54,6,9,9,9,145,1,139,145,146,152,5,139,13,9,9,9,145,14,139,145,146,152,5,139,13,9,9,9,145,1,142,145,146,152,5,142,13,65,9,9,145,14,142,145,146,152,5,142,13,65,9,9,145,1,144,145,146,152,5,144,6,47,9,9,145,14,144,145,146,152,5,144,6,47,9,9,145,1,139,145,146,152,5,139,6,92,9,9,4040280.0,1724079.87882
19,48,1,15,48,49,47,5,15,13,8,9,9,48,14,15,48,49,47,5,15,13,8,9,9,0,1,2,0,3,47,5,2,13,9,9,9,0,14,2,0,3,47,5,2,13,9,9,9,11,1,10,11,12,47,5,10,6,106,9,9,11,14,10,11,12,47,5,10,6,106,9,9,0,1,2,0,3,47,5,2,6,47,9,9,0,14,2,0,3,47,5,2,6,47,9,9,58,1,57,58,59,47,5,57,6,47,9,9,1909500.0,1378757.50672
194,67,1,26,67,68,97,158,26,13,9,9,9,67,14,26,67,68,97,158,26,13,9,9,9,67,1,26,67,68,97,158,26,13,9,9,9,0,1,40,0,3,97,158,40,13,9,9,9,67,14,26,67,68,97,158,26,13,9,9,9,0,14,40,0,3,97,158,40,13,9,9,9,67,1,26,67,68,97,158,26,13,75,9,9,0,1,40,0,3,97,158,40,6,9,9,9,0,14,40,0,3,97,158,40,6,9,9,9,2192940.0,729236.449812
209,71,1,18,71,72,173,29,18,13,9,9,9,71,14,18,71,72,173,29,18,13,9,9,9,71,1,42,71,72,173,29,42,13,9,9,9,71,14,42,71,72,173,29,42,13,9,9,9,71,1,42,71,72,173,29,42,6,174,9,9,71,14,42,71,72,173,29,42,6,174,9,9,71,1,51,71,72,173,29,51,39,9,9,9,71,14,51,71,72,173,29,51,39,9,9,9,71,1,18,71,72,173,29,18,6,105,9,9,708840.0,4375254.38101
210,71,1,34,71,72,176,21,34,6,8,9,9,71,14,34,71,72,176,21,34,6,8,9,9,71,1,18,71,72,176,21,18,13,8,9,9,71,14,18,71,72,176,21,18,13,8,9,9,71,1,18,71,72,176,21,18,6,82,9,9,71,14,18,71,72,176,21,18,6,82,9,9,71,1,34,71,72,176,21,34,6,60,9,9,71,14,34,71,72,176,21,34,6,60,9,9,71,1,18,71,72,176,21,18,6,28,9,9,967920.0,2545947.77753
231,113,1,57,113,114,82,5,57,6,50,9,9,113,14,57,113,114,82,5,57,6,50,9,9,140,1,142,140,141,82,5,142,13,8,9,9,140,14,142,140,141,82,5,142,13,8,9,9,140,1,142,140,141,82,5,142,6,65,9,9,140,14,142,140,141,82,5,142,6,65,9,9,140,1,139,140,141,82,5,139,6,4,9,9,140,1,88,140,141,82,5,88,6,108,9,9,140,14,139,140,141,82,5,139,6,4,9,9,635520.0,-446179.472361
244,113,1,88,113,114,101,5,88,6,65,9,9,113,14,88,113,114,101,5,88,6,65,9,9,113,1,88,113,114,101,5,88,6,75,9,9,113,14,88,113,114,101,5,88,6,75,9,9,195,1,88,195,149,101,5,88,13,9,9,9,195,14,88,195,149,101,5,88,13,9,9,9,195,1,88,195,149,101,5,88,6,9,9,9,195,14,88,195,149,101,5,88,6,9,9,9,195,1,88,195,149,101,5,88,6,8,9,9,324180.0,1776656.04086
246,17,1,70,17,19,162,212,70,6,4,9,9,17,14,70,17,19,162,212,70,6,4,9,9,17,1,23,17,19,162,212,23,6,33,9,9,17,14,23,17,19,162,212,23,6,33,9,9,17,1,70,17,19,162,212,70,6,45,9,9,17,14,70,17,19,162,212,70,6,45,9,9,0,1,40,0,3,162,212,40,6,66,65,9,0,14,40,0,3,162,212,40,6,66,65,9,58,1,54,58,59,162,212,54,6,66,9,9,400860.0,3155645.63232
248,17,1,23,17,19,41,37,23,13,8,9,9,17,14,23,17,19,41,37,23,13,8,9,9,17,1,23,17,19,41,37,23,6,33,9,9,17,14,23,17,19,41,37,23,6,33,9,9,17,1,70,17,19,41,37,70,6,112,9,9,17,14,70,17,19,41,37,70,6,112,9,9,113,1,54,113,114,41,37,54,6,9,9,9,113,14,54,113,114,41,37,54,6,9,9,9,0,1,46,0,3,41,37,46,6,41,9,9,695640.0,-5962.94745801
252,71,1,18,71,72,86,29,18,13,65,9,9,71,14,18,71,72,86,29,18,13,65,9,9,71,1,18,71,72,86,29,18,13,9,9,9,71,1,24,71,72,86,29,24,6,9,9,9,71,14,18,71,72,86,29,18,13,9,9,9,71,14,24,71,72,86,29,24,6,9,9,9,0,1,24,0,3,86,29,24,6,9,9,9,0,14,24,0,3,86,29,24,6,9,9,9,71,1,18,71,72,86,29,18,6,4,9,9,323880.0,1580244.46104
258,71,1,18,71,72,62,29,18,13,8,9,9,71,14,18,71,72,62,29,18,13,8,9,9,71,1,18,71,72,62,29,18,6,8,9,9,71,14,18,71,72,62,29,18,6,8,9,9,71,1,34,71,72,62,29,34,6,75,9,9,71,14,34,71,72,62,29,34,6,75,9,9,71,1,34,71,72,62,29,34,13,9,9,9,71,14,34,71,72,62,29,34,13,9,9,9,71,1,34,71,72,62,29,34,13,65,9,9,1520340.0,2260815.04707
259,67,1,70,67,68,224,134,70,13,9,9,9,67,14,70,67,68,224,134,70,13,9,9,9,67,1,70,67,68,224,134,70,6,65,9,9,67,14,70,67,68,224,134,70,6,65,9,9,67,1,26,67,68,224,134,26,6,28,9,9,67,14,26,67,68,224,134,26,6,28,9,9,67,1,18,67,68,224,134,18,6,27,9,9,67,14,18,67,68,224,134,18,6,27,9,9,67,1,70,67,68,224,134,70,6,102,9,9,6112200.0,736353.577274
260,71,1,34,71,72,225,29,34,13,9,9,9,71,14,34,71,72,225,29,34,13,9,9,9,71,1,34,71,72,225,29,34,13,8,9,9,71,14,34,71,72,225,29,34,13,8,9,9,71,1,34,71,72,225,29,34,6,75,9,9,71,14,34,71,72,225,29,34,6,75,9,9,71,1,18,71,72,225,29,18,6,108,9,9,71,14,18,71,72,225,29,18,6,108,9,9,71,1,34,71,72,225,29,34,6,85,9,9,4580100.0,2063500.42536
27,31,1,42,31,32,86,29,42,13,9,9,9,31,14,42,31,32,86,29,42,13,9,9,9,31,1,42,31,32,86,29,42,13,8,9,9,31,14,42,31,32,86,29,42,13,8,9,9,31,1,42,31,32,86,29,42,13,9,9,9,31,14,42,31,32,86,29,42,13,9,9,9,31,1,42,31,32,86,29,42,6,35,9,9,31,14,42,31,32,86,29,42,6,35,9,9,31,1,42,31,32,86,29,42,13,9,9,9,441960.0,1537436.7702
