Id,Event_1,Event_2,Event_3,Event_4,Event_5,Event_6,Event_7,Event_8,Event_9,Latest_concept:name,Latest_lifecycle:transition,Latest_org:resource,Latest_Activity,Latest_Resource,Latest_Work_Order_Qty,Latest_Part_Desc_,Latest_Worker_ID,Latest_Report_Type,Latest_Qty_Completed,Latest_Qty_Rejected,Latest_Qty_for_MRB,remainingTime,prediction
1,10,10,10,10,15,15,15,15,2,0,1,2,0,3,4,5,2,6,7,8,9,1424400.0,781524.182598
100,30,30,34,34,30,30,30,30,24,0,1,24,0,3,28,29,24,6,28,9,9,2391300.0,825681.160078
111,10,10,10,10,15,15,51,51,10,76,1,10,76,12,77,5,10,6,69,9,9,1249920.0,1676988.21962
123,51,51,10,10,10,10,15,15,15,11,1,15,11,12,105,5,15,6,80,9,9,278040.0,1640741.06457
124,10,10,10,10,51,51,15,15,40,0,1,40,0,3,86,29,40,6,86,9,9,390720.0,1373471.91204
129,30,40,40,30,30,30,42,42,40,0,1,40,0,3,75,111,40,6,75,9,9,1044660.0,1576261.21447
153,88,88,88,88,40,40,40,40,94,95,1,94,95,95,131,37,94,6,102,9,9,3600.0,1610394.45186
156,70,70,70,70,70,70,70,70,70,17,1,70,17,19,133,134,70,6,9,9,9,1136880.0,1131173.11036
17,30,30,30,30,30,30,30,137,30,117,14,30,117,132,69,91,30,6,9,9,9,2732640.0,2093417.64332
177,57,57,139,139,139,139,142,142,2,121,1,2,121,3,138,5,2,6,9,9,9,6286500.0,905101.901338
178,144,144,142,142,93,93,93,54,57,113,1,57,113,114,143,5,57,6,9,9,9,5064900.0,1173051.10335
18,10,10,10,10,51,51,10,10,10,48,1,10,48,49,150,5,10,6,105,9,9,6177600.0,2058790.39016
182,24,24,88,88,24,24,24,24,94,95,1,94,95,95,151,29,94,6,101,9,9,1791240.0,1924884.78919
189,2,2,2,2,2,2,2,2,2,121,1,2,121,3,16,156,2,6,8,9,9,54000.0,439997.666189
195,40,40,54,54,57,57,57,54,57,113,14,57,113,114,105,159,57,6,97,9,9,854820.0,2661587.86609
211,24,24,142,142,144,144,54,54,57,113,1,57,113,114,177,21,57,6,178,9,9,481560.0,1891570.46538
232,46,51,46,93,51,93,88,88,88,195,1,88,195,149,101,5,88,13,9,9,9,597840.0,2150456.51836
233,70,23,70,23,23,23,10,10,40,0,1,40,0,3,41,29,40,6,60,65,9,924180.0,-757632.279639
238,18,18,34,34,34,34,18,18,15,11,1,15,11,12,206,63,15,13,8,9,9,3864360.0,2299106.38908
240,18,18,34,34,51,51,18,18,34,71,1,34,71,72,210,211,34,6,97,9,9,1101600.0,2252493.99355
243,18,18,34,40,34,34,40,34,24,0,1,24,0,3,4,21,24,6,7,8,9,1036740.0,679917.704168
244,88,88,88,88,88,88,88,88,88,195,1,88,195,149,101,5,88,6,8,9,9,324180.0,1232275.92733
246,70,70,23,23,70,70,40,40,54,58,1,54,58,59,162,212,54,6,66,9,9,400860.0,1666168.75578
25,51,51,51,51,51,51,34,34,34,48,1,34,48,49,52,103,34,6,33,9,9,3041040.0,862483.055737
254,57,57,57,57,57,57,54,54,24,121,1,24,121,3,220,21,24,6,9,9,9,154740.0,1475984.62438
261,42,42,42,42,24,24,30,30,24,0,1,24,0,3,118,211,24,6,118,9,9,586260.0,1659644.3594
264,83,83,83,34,83,34,18,18,24,0,1,24,0,3,227,211,24,6,9,9,9,192840.0,1294265.70536
272,23,23,70,70,70,70,23,24,23,17,14,23,17,19,82,21,23,6,75,9,9,1392900.0,1793350.60083
32,18,18,51,51,34,34,51,51,15,48,1,15,48,49,151,37,15,13,8,9,9,2449200.0,2315995.61691
34,26,26,23,23,23,23,10,10,26,67,1,26,67,68,82,37,26,6,65,9,9,1965480.0,1506322.32759
38,15,15,51,51,10,10,10,10,10,11,1,10,11,12,174,5,10,13,9,9,9,4798440.0,2141260.58498
50,42,42,42,42,42,42,42,42,24,0,1,24,0,3,7,29,24,6,7,9,9,1215300.0,547604.910373
65,23,23,24,24,70,70,23,23,18,17,1,18,17,19,73,211,18,6,187,9,9,43500.0,1583468.53021
73,10,10,51,51,15,15,34,34,51,11,1,51,11,12,62,203,51,13,8,9,9,889200.0,1433111.2352
77,70,70,70,70,23,23,23,23,70,17,1,70,17,19,97,168,70,6,75,9,9,1492020.0,1041804.17763
78,51,51,51,51,10,10,34,34,51,48,1,51,48,49,251,5,51,6,27,9,9,2493060.0,2384813.43056
83,51,51,51,51,15,15,34,34,51,48,1,51,48,49,177,37,51,6,4,9,9,378780.0,1754252.45976
84,30,30,30,30,30,30,30,30,30,31,1,30,31,32,60,119,30,13,8,9,9,1041900.0,1486189.42551
93,42,42,42,42,30,30,30,30,30,117,1,30,117,32,86,156,30,6,35,9,9,3754200.0,918864.797099
