Id,Event_1,Event_2,Event_3,Event_4,Event_5,Event_6,Event_7,Event_8,Event_9,remainingTime,prediction
103,30,30,42,42,30,30,42,42,42,505500.0,1704195.21609
108,18,18,34,40,40,34,34,34,40,850020.0,1610995.95921
122,51,51,51,51,51,51,51,2,2,1937400.0,1232781.12007
153,88,88,88,88,40,40,40,40,94,3600.0,1141383.71449
178,144,144,142,142,93,93,93,54,57,5064900.0,1041658.67852
19,15,15,2,2,10,10,2,2,57,1909500.0,1254101.34256
20,15,15,24,15,15,24,18,18,18,3206100.0,1761950.67764
207,51,34,51,34,51,34,51,34,34,1720800.0,1116845.05945
219,57,57,57,57,142,142,139,139,142,723120.0,1626002.17159
23,51,51,15,15,34,34,46,46,51,3111600.0,1466119.0072
236,88,88,88,88,24,93,24,93,88,205200.0,1919878.30135
237,24,24,15,15,24,24,24,24,57,4851720.0,1412588.72957
239,18,18,51,34,51,24,24,34,18,1223100.0,1998940.33134
24,10,10,10,10,46,46,54,54,208,3142800.0,833664.857503
248,23,23,23,23,70,70,54,54,46,695640.0,1667898.09915
250,216,216,216,216,2,216,2,216,216,496800.0,2430711.24371
251,51,51,10,10,10,10,2,2,57,3817500.0,1057815.16066
260,34,34,34,34,34,34,18,18,34,4580100.0,1457723.03905
262,15,15,34,34,34,34,24,24,24,187440.0,1690624.07036
266,2,2,51,51,10,10,51,2,51,7297080.0,1364907.25628
267,15,15,18,18,18,18,15,24,24,7226160.0,1714711.69649
272,23,23,70,70,70,70,23,24,23,1392900.0,1661005.94523
29,26,26,70,70,23,23,70,70,70,3476340.0,1943934.07278
3,15,2,15,2,10,10,2,2,57,1529520.0,1026664.4634
31,10,10,10,10,10,10,34,34,2,2706180.0,1938899.00135
34,26,26,23,23,23,23,10,10,26,1965480.0,1472765.09338
40,23,23,70,70,23,23,23,23,23,1189440.0,1780840.96317
41,23,23,23,24,23,23,24,23,70,1621680.0,1349568.09001
42,18,18,18,18,24,24,15,15,30,456960.0,1528642.37178
50,42,42,42,42,42,42,42,42,24,1215300.0,1701171.6314
52,42,42,30,30,30,30,30,30,30,583680.0,1546716.23772
54,51,51,15,15,10,10,10,40,40,244320.0,1635660.99836
6,42,42,42,42,30,30,30,30,42,1658880.0,1514378.19299
68,245,245,248,248,40,40,94,94,40,1800.0,1511360.82888
73,10,10,51,51,15,15,34,34,51,889200.0,1767805.67677
86,18,18,83,83,34,34,18,18,83,107760.0,1423993.78211
9,70,70,23,23,23,23,24,24,57,1695960.0,1157677.4548
91,51,51,15,15,15,34,15,34,24,498180.0,1611736.73805
93,42,42,42,42,30,30,30,30,30,3754200.0,1584109.40163
