Id,concept:name_1,lifecycle:transition_1,org:resource_1,Activity_1,Resource_1,Work_Order_Qty_1,Part_Desc__1,Worker_ID_1,Report_Type_1,Qty_Completed_1,Qty_Rejected_1,Qty_for_MRB_1,concept:name_2,lifecycle:transition_2,org:resource_2,Activity_2,Resource_2,Work_Order_Qty_2,Part_Desc__2,Worker_ID_2,Report_Type_2,Qty_Completed_2,Qty_Rejected_2,Qty_for_MRB_2,concept:name_3,lifecycle:transition_3,org:resource_3,Activity_3,Resource_3,Work_Order_Qty_3,Part_Desc__3,Worker_ID_3,Report_Type_3,Qty_Completed_3,Qty_Rejected_3,Qty_for_MRB_3,concept:name_4,lifecycle:transition_4,org:resource_4,Activity_4,Resource_4,Work_Order_Qty_4,Part_Desc__4,Worker_ID_4,Report_Type_4,Qty_Completed_4,Qty_Rejected_4,Qty_for_MRB_4,concept:name_5,lifecycle:transition_5,org:resource_5,Activity_5,Resource_5,Work_Order_Qty_5,Part_Desc__5,Worker_ID_5,Report_Type_5,Qty_Completed_5,Qty_Rejected_5,Qty_for_MRB_5,concept:name_6,lifecycle:transition_6,org:resource_6,Activity_6,Resource_6,Work_Order_Qty_6,Part_Desc__6,Worker_ID_6,Report_Type_6,Qty_Completed_6,Qty_Rejected_6,Qty_for_MRB_6,concept:name_7,lifecycle:transition_7,org:resource_7,Activity_7,Resource_7,Work_Order_Qty_7,Part_Desc__7,Worker_ID_7,Report_Type_7,Qty_Completed_7,Qty_Rejected_7,Qty_for_MRB_7,concept:name_8,lifecycle:transition_8,org:resource_8,Activity_8,Resource_8,Work_Order_Qty_8,Part_Desc__8,Worker_ID_8,Report_Type_8,Qty_Completed_8,Qty_Rejected_8,Qty_for_MRB_8,concept:name_9,lifecycle:transition_9,org:resource_9,Activity_9,Resource_9,Work_Order_Qty_9,Part_Desc__9,Worker_ID_9,Report_Type_9,Qty_Completed_9,Qty_Rejected_9,Qty_for_MRB_9,remainingTime,prediction
10,17,1,23,17,19,20,21,23,13,8,9,9,25,1,24,25,3,20,21,24,6,9,9,9,17,14,23,17,19,20,21,23,13,8,9,9,25,14,24,25,3,20,21,24,6,9,9,9,17,1,26,17,19,20,21,26,13,9,9,9,17,14,26,17,19,20,21,26,13,9,9,9,17,1,26,17,19,20,21,26,6,27,9,9,17,14,26,17,19,20,21,26,6,27,9,9,17,1,18,17,19,20,21,18,6,22,9,9,1386660.0,1849722.0
101,38,1,30,38,32,36,37,30,13,9,9,9,38,14,30,38,32,36,37,30,13,9,9,9,31,1,30,31,32,36,37,30,13,9,9,9,31,14,30,31,32,36,37,30,13,9,9,9,31,1,30,31,32,36,37,30,39,9,9,9,31,14,30,31,32,36,37,30,39,9,9,9,31,1,30,31,32,36,37,30,6,33,9,9,31,14,30,31,32,36,37,30,6,33,9,9,31,1,18,31,32,36,37,18,6,27,9,9,1036440.0,1605752.4
115,11,1,10,11,12,84,29,10,13,9,9,9,11,14,10,11,12,84,29,10,13,9,9,9,11,1,34,11,12,84,29,34,6,62,9,9,11,14,34,11,12,84,29,34,6,62,9,9,11,1,10,11,12,84,29,10,6,86,9,9,11,14,10,11,12,84,29,10,6,86,9,9,11,1,10,11,12,84,29,10,13,9,9,9,11,14,10,11,12,84,29,10,13,9,9,9,11,1,10,11,12,84,29,10,6,85,9,9,1696260.0,1147166.4
119,67,1,26,67,68,97,98,26,13,9,9,9,67,14,26,67,68,97,98,26,13,9,9,9,67,1,26,67,68,97,98,26,13,9,9,9,67,14,26,67,68,97,98,26,13,9,9,9,67,1,26,67,68,97,98,26,13,8,9,9,67,14,26,67,68,97,98,26,13,8,9,9,67,1,70,67,68,97,98,70,6,65,9,9,67,14,70,67,68,97,98,70,6,65,9,9,67,1,26,67,68,97,98,26,6,33,9,9,381540.0,1135323.6
120,48,1,34,48,49,101,5,34,13,102,9,9,48,14,34,48,49,101,5,34,13,102,9,9,48,1,51,48,49,101,5,51,13,8,9,9,48,14,51,48,49,101,5,51,13,8,9,9,48,1,18,48,49,101,5,18,39,9,9,9,48,14,18,48,49,101,5,18,39,9,9,9,0,1,46,0,3,101,5,46,6,102,8,9,0,14,46,0,3,101,5,46,6,102,8,9,58,1,57,58,59,101,5,57,6,102,9,9,589140.0,1833249.6
121,48,1,34,48,49,86,103,34,13,8,9,9,48,14,34,48,49,86,103,34,13,8,9,9,48,1,34,48,49,86,103,34,6,35,9,9,25,1,104,25,3,86,103,104,6,86,9,9,25,14,104,25,3,86,103,104,6,86,9,9,48,14,34,48,49,86,103,34,6,35,9,9,48,1,51,48,49,86,103,51,13,9,9,9,25,1,46,25,3,86,103,46,6,35,9,9,25,14,46,25,3,86,103,46,6,35,9,9,1917960.0,1053668.4
125,71,1,18,71,72,107,29,18,13,9,9,9,71,14,18,71,72,107,29,18,13,9,9,9,71,1,15,71,72,107,29,15,13,8,9,9,71,14,15,71,72,107,29,15,13,8,9,9,0,1,24,0,3,107,29,24,6,9,9,9,71,1,15,71,72,107,29,15,6,108,9,9,71,14,15,71,72,107,29,15,6,108,9,9,0,14,24,0,3,107,29,24,6,9,9,9,71,1,51,71,72,107,29,51,6,101,9,9,2640.0,1711471.2
129,31,1,30,31,32,75,111,30,13,9,9,9,0,1,40,0,3,75,111,40,13,9,9,9,0,14,40,0,3,75,111,40,13,9,9,9,31,14,30,31,32,75,111,30,13,9,9,9,31,1,30,31,32,75,111,30,13,8,9,9,31,14,30,31,32,75,111,30,13,8,9,9,31,1,42,31,32,75,111,42,6,65,9,9,31,14,42,31,32,75,111,42,6,65,9,9,0,1,40,0,3,75,111,40,6,75,9,9,1044660.0,1534550.4
135,48,1,34,48,49,73,37,34,13,8,9,9,48,14,34,48,49,73,37,34,13,8,9,9,48,1,51,48,49,73,37,51,13,9,9,9,48,1,83,48,49,73,37,83,13,9,9,9,48,14,83,48,49,73,37,83,13,9,9,9,48,14,51,48,49,73,37,51,13,9,9,9,48,1,34,48,49,73,37,34,13,9,9,9,48,14,34,48,49,73,37,34,13,9,9,9,48,1,34,48,49,73,37,34,13,9,9,9,635460.0,1396707.6
148,124,1,123,124,125,122,119,123,6,9,9,9,124,14,123,124,125,122,119,123,6,9,9,9,127,1,126,127,128,122,119,126,6,8,9,9,127,14,126,127,128,122,119,126,6,8,9,9,121,1,40,121,3,122,119,40,6,8,9,9,129,1,40,129,3,122,119,40,6,8,9,9,95,1,130,95,95,122,119,130,6,8,9,9,95,14,130,95,95,122,119,130,6,8,9,9,121,14,40,121,3,122,119,40,6,8,9,9,49080.0,1873142.4
