Id,Event_1,Event_2,Event_3,Event_4,Event_5,Event_6,Event_7,Event_8,Event_9,Latest_concept:name,Latest_lifecycle:transition,Latest_org:resource,Latest_Activity,Latest_Resource,Latest_Work_Order_Qty,Latest_Part_Desc_,Latest_Worker_ID,Latest_Report_Type,Latest_Qty_Completed,Latest_Qty_Rejected,Latest_Qty_for_MRB,remainingTime,prediction
109,10,15,10,15,24,34,34,34,24,0,14,24,0,3,62,63,24,6,64,9,9,1727100.0,1446985.2
112,70,70,23,23,26,26,40,23,40,0,14,40,0,3,81,29,40,6,9,75,9,1299240.0,1258176.0
12,70,70,26,26,24,24,26,26,70,99,1,70,99,19,100,21,70,6,45,9,9,1830540.0,1421496.0
126,51,51,15,15,10,40,10,10,40,0,14,40,0,3,4,37,40,6,9,8,9,493200.0,1292725.2
129,30,40,40,30,30,30,42,42,40,0,1,40,0,3,75,111,40,6,75,9,9,1044660.0,1281760.8
195,40,40,54,54,57,57,57,54,57,113,14,57,113,114,105,159,57,6,97,9,9,854820.0,395149.2
198,51,51,34,34,34,34,40,51,51,48,14,51,48,49,69,5,51,13,8,9,9,6071400.0,1125225.6
20,15,15,24,15,15,24,18,18,18,11,1,18,11,12,163,164,18,13,65,9,9,3206100.0,2570464.8
207,51,34,51,34,51,34,51,34,34,71,1,34,71,72,171,172,34,6,35,9,9,1720800.0,1089870.0
218,184,184,188,188,188,188,184,184,40,121,1,40,121,3,183,172,40,6,9,9,9,357600.0,3553244.4
22,70,70,23,23,23,23,23,23,70,17,1,70,17,19,101,29,70,13,8,9,9,469680.0,1534764.0
228,42,42,42,42,42,42,24,24,24,0,1,24,0,3,4,29,24,6,9,9,9,380700.0,1052353.2
230,18,18,18,18,18,18,18,24,24,0,14,24,0,3,194,21,24,6,101,9,9,4502460.0,1882527.6
236,88,88,88,88,24,93,24,93,88,87,1,88,87,89,82,21,88,6,112,9,9,205200.0,898357.2
240,18,18,34,34,51,51,18,18,34,71,1,34,71,72,210,211,34,6,97,9,9,1101600.0,2582248.8
241,51,51,51,51,15,15,40,18,40,0,14,40,0,3,112,29,40,6,9,8,9,313380.0,933628.8
25,51,51,51,51,51,51,34,34,34,48,1,34,48,49,52,103,34,6,33,9,9,3041040.0,1009886.4
256,42,42,10,10,18,18,40,40,42,117,1,42,117,32,69,222,42,13,9,9,9,3009600.0,1877404.8
257,18,18,10,10,51,51,83,83,34,48,1,34,48,49,135,5,34,6,221,9,9,6780960.0,2912520.0
26,15,15,18,18,18,18,10,10,10,11,1,10,11,12,52,103,10,6,86,9,9,3554760.0,2036563.2
264,83,83,83,34,83,34,18,18,24,0,1,24,0,3,227,211,24,6,9,9,9,192840.0,3104208.0
267,15,15,18,18,18,18,15,24,24,0,14,24,0,3,153,154,24,6,9,9,9,7226160.0,2018184.0
27,42,42,42,42,42,42,42,42,42,31,1,42,31,32,86,29,42,13,9,9,9,441960.0,906352.8
271,10,10,10,10,10,10,51,46,51,48,14,51,48,49,135,5,51,39,9,9,9,6625020.0,3527731.2
277,216,216,46,46,88,88,88,88,88,87,1,88,87,89,75,5,88,6,9,9,9,327540.0,1037230.8
28,18,18,18,18,15,24,24,15,24,0,1,24,0,3,143,29,24,6,9,9,9,3347820.0,1671100.8
30,34,2,2,34,83,83,51,51,15,48,1,15,48,49,62,5,15,6,82,9,9,29100.0,1704175.2
32,18,18,51,51,34,34,51,51,15,48,1,15,48,49,151,37,15,13,8,9,9,2449200.0,997938.0
34,26,26,23,23,23,23,10,10,26,67,1,26,67,68,82,37,26,6,65,9,9,1965480.0,1718617.2
40,23,23,70,70,23,23,23,23,23,99,1,23,99,19,162,21,23,39,9,9,9,1189440.0,2264704.8
48,15,15,10,10,10,10,40,40,15,11,1,15,11,12,74,5,15,6,101,9,9,3127320.0,2043043.2
63,34,34,34,34,51,2,2,51,18,11,1,18,11,12,243,5,18,6,115,9,9,4048800.0,1871805.6
65,23,23,24,24,70,70,23,23,18,17,1,18,17,19,73,211,18,6,187,9,9,43500.0,1828870.8
79,40,40,142,142,54,54,57,57,40,121,1,40,121,3,253,211,40,6,253,9,9,210600.0,2371044.0
84,30,30,30,30,30,30,30,30,30,31,1,30,31,32,60,119,30,13,8,9,9,1041900.0,1654482.0
87,15,15,10,10,10,24,10,24,42,11,1,42,11,12,254,255,42,6,232,9,9,3101820.0,2907316.8
89,10,10,15,15,34,34,34,34,10,48,1,10,48,49,152,256,10,6,62,9,9,278460.0,1768285.2
90,18,18,15,15,34,34,10,10,10,71,1,10,71,72,152,256,10,6,52,9,9,298860.0,2414792.4
99,24,24,24,24,24,24,54,54,57,58,1,57,58,59,262,134,57,6,263,9,9,315960.0,2899719.6
