Id,Event_1,Event_2,Event_3,Event_4,Event_5,Event_6,Event_7,Event_8,Event_9,remainingTime,prediction
101,30,30,30,30,30,30,30,30,18,1036440.0,1590471.6
103,30,30,42,42,30,30,42,42,42,505500.0,1037809.4
104,34,34,34,34,51,46,51,46,46,10440.0,1250105.2
108,18,18,34,40,40,34,34,34,40,850020.0,1002201.6
111,10,10,10,10,15,15,51,51,10,1249920.0,3209126.4
115,10,10,34,34,10,10,10,10,10,1696260.0,3291171.6
124,10,10,10,10,51,51,15,15,40,390720.0,1978430.4
125,18,18,15,15,24,15,15,24,51,2640.0,2535524.4
127,18,18,18,18,15,15,34,34,24,1297320.0,2663193.6
13,23,23,23,23,26,26,94,94,24,17520.0,3699796.8
153,88,88,88,88,40,40,40,40,94,3600.0,1267345.2
17,30,30,30,30,30,30,30,137,30,2732640.0,1875878.4
174,34,34,18,40,18,18,40,18,83,927420.0,1790594.4
18,10,10,10,10,51,51,10,10,10,6177600.0,2618299.2
182,24,24,88,88,24,24,24,24,94,1791240.0,1515184.8
201,46,46,46,46,30,30,30,30,30,4015320.0,1038298.69714
206,24,24,57,57,57,57,93,93,93,1268880.0,4081426.8
242,18,18,18,18,15,15,34,34,18,671880.0,2254434.0
253,70,70,70,70,24,23,24,24,23,573240.0,2294274.0
258,18,18,18,18,34,34,34,34,34,1520340.0,1125201.6
262,15,15,34,34,34,34,24,24,24,187440.0,1120114.8
267,15,15,18,18,18,18,15,24,24,7226160.0,3136105.2
28,18,18,18,18,15,24,24,15,24,3347820.0,1467280.8
33,18,18,24,18,24,18,18,18,15,1954260.0,3427521.6
36,34,34,51,51,10,10,10,10,46,1486500.0,2613527.76
47,30,30,30,24,30,30,24,30,30,1389600.0,1311716.4
54,51,51,15,15,10,10,10,40,40,244320.0,2161929.6
60,30,30,57,57,42,42,40,30,40,234000.0,1501792.8
62,30,30,30,30,30,30,30,30,30,2402820.0,1287607.2
64,51,51,10,10,34,34,10,10,10,60480.0,2113400.16
65,23,23,24,24,70,70,23,23,18,43500.0,1904025.6
67,51,51,51,51,10,10,10,10,15,4610940.0,2866454.4
7,15,15,10,10,15,15,51,51,10,277920.0,3210267.6
77,70,70,70,70,23,23,23,23,70,1492020.0,2555235.6
90,18,18,15,15,34,34,10,10,10,298860.0,2443863.6
92,18,18,18,18,18,18,24,24,24,1865460.0,2901764.4
93,42,42,42,42,30,30,30,30,30,3754200.0,1038298.69714
95,34,34,10,10,24,15,24,15,34,2623740.0,2510448.0
97,40,40,144,144,54,54,54,54,54,890700.0,938661.6
