Id,concept:name_1,lifecycle:transition_1,org:resource_1,Activity_1,Resource_1,Work_Order_Qty_1,Part_Desc__1,Worker_ID_1,Report_Type_1,Qty_Completed_1,Qty_Rejected_1,Qty_for_MRB_1,concept:name_2,lifecycle:transition_2,org:resource_2,Activity_2,Resource_2,Work_Order_Qty_2,Part_Desc__2,Worker_ID_2,Report_Type_2,Qty_Completed_2,Qty_Rejected_2,Qty_for_MRB_2,concept:name_3,lifecycle:transition_3,org:resource_3,Activity_3,Resource_3,Work_Order_Qty_3,Part_Desc__3,Worker_ID_3,Report_Type_3,Qty_Completed_3,Qty_Rejected_3,Qty_for_MRB_3,concept:name_4,lifecycle:transition_4,org:resource_4,Activity_4,Resource_4,Work_Order_Qty_4,Part_Desc__4,Worker_ID_4,Report_Type_4,Qty_Completed_4,Qty_Rejected_4,Qty_for_MRB_4,concept:name_5,lifecycle:transition_5,org:resource_5,Activity_5,Resource_5,Work_Order_Qty_5,Part_Desc__5,Worker_ID_5,Report_Type_5,Qty_Completed_5,Qty_Rejected_5,Qty_for_MRB_5,concept:name_6,lifecycle:transition_6,org:resource_6,Activity_6,Resource_6,Work_Order_Qty_6,Part_Desc__6,Worker_ID_6,Report_Type_6,Qty_Completed_6,Qty_Rejected_6,Qty_for_MRB_6,concept:name_7,lifecycle:transition_7,org:resource_7,Activity_7,Resource_7,Work_Order_Qty_7,Part_Desc__7,Worker_ID_7,Report_Type_7,Qty_Completed_7,Qty_Rejected_7,Qty_for_MRB_7,concept:name_8,lifecycle:transition_8,org:resource_8,Activity_8,Resource_8,Work_Order_Qty_8,Part_Desc__8,Worker_ID_8,Report_Type_8,Qty_Completed_8,Qty_Rejected_8,Qty_for_MRB_8,concept:name_9,lifecycle:transition_9,org:resource_9,Activity_9,Resource_9,Work_Order_Qty_9,Part_Desc__9,Worker_ID_9,Report_Type_9,Qty_Completed_9,Qty_Rejected_9,Qty_for_MRB_9,remainingTime,prediction
100,31,1,30,31,32,28,29,30,6,33,9,9,31,14,30,31,32,28,29,30,6,33,9,9,31,1,34,31,32,28,29,34,6,35,9,9,31,14,34,31,32,28,29,34,6,35,9,9,31,1,30,31,32,28,29,30,13,8,9,9,31,14,30,31,32,28,29,30,13,8,9,9,31,1,30,31,32,28,29,30,6,27,9,9,31,14,30,31,32,28,29,30,6,27,9,9,0,1,24,0,3,28,29,24,6,28,9,9,2391300.0,701070.375
109,11,1,10,11,12,62,63,10,13,9,9,9,11,1,15,11,12,62,63,15,13,65,9,9,11,14,10,11,12,62,63,10,13,9,9,9,11,14,15,11,12,62,63,15,13,65,9,9,0,1,24,0,3,62,63,24,6,64,9,9,11,1,34,11,12,62,63,34,13,8,9,9,11,14,34,11,12,62,63,34,13,8,9,9,11,1,34,11,12,62,63,34,6,66,9,9,0,14,24,0,3,62,63,24,6,64,9,9,1727100.0,2636431.75
11,67,1,26,67,68,69,21,26,13,9,9,9,67,14,26,67,68,69,21,26,13,9,9,9,67,1,70,67,68,69,21,70,6,8,9,9,0,1,40,0,3,69,21,40,6,9,9,9,67,14,70,67,68,69,21,70,6,8,9,9,67,1,70,67,68,69,21,70,6,27,9,9,0,14,40,0,3,69,21,40,6,9,9,9,67,14,70,67,68,69,21,70,6,27,9,9,67,1,26,67,68,69,21,26,6,28,9,9,763380.0,1096230.0
115,11,1,10,11,12,84,29,10,13,9,9,9,11,14,10,11,12,84,29,10,13,9,9,9,11,1,34,11,12,84,29,34,6,62,9,9,11,14,34,11,12,84,29,34,6,62,9,9,11,1,10,11,12,84,29,10,6,86,9,9,11,14,10,11,12,84,29,10,6,86,9,9,11,1,10,11,12,84,29,10,13,9,9,9,11,14,10,11,12,84,29,10,13,9,9,9,11,1,10,11,12,84,29,10,6,85,9,9,1696260.0,1617236.875
119,67,1,26,67,68,97,98,26,13,9,9,9,67,14,26,67,68,97,98,26,13,9,9,9,67,1,26,67,68,97,98,26,13,9,9,9,67,14,26,67,68,97,98,26,13,9,9,9,67,1,26,67,68,97,98,26,13,8,9,9,67,14,26,67,68,97,98,26,13,8,9,9,67,1,70,67,68,97,98,70,6,65,9,9,67,14,70,67,68,97,98,70,6,65,9,9,67,1,26,67,68,97,98,26,6,33,9,9,381540.0,1911682.125
123,11,1,51,11,12,105,5,51,13,9,9,9,11,14,51,11,12,105,5,51,13,9,9,9,11,1,10,11,12,105,5,10,13,9,9,9,11,14,10,11,12,105,5,10,13,9,9,9,11,1,10,11,12,105,5,10,6,106,9,9,11,14,10,11,12,105,5,10,6,106,9,9,11,1,15,11,12,105,5,15,6,9,9,9,11,14,15,11,12,105,5,15,6,9,9,9,11,1,15,11,12,105,5,15,6,80,9,9,278040.0,2032388.0
127,71,1,18,71,72,109,29,18,13,65,9,9,71,14,18,71,72,109,29,18,13,65,9,9,71,1,18,71,72,109,29,18,6,102,9,9,71,14,18,71,72,109,29,18,6,102,9,9,71,1,15,71,72,109,29,15,6,35,9,9,71,14,15,71,72,109,29,15,6,35,9,9,71,1,34,71,72,109,29,34,6,110,9,9,71,14,34,71,72,109,29,34,6,110,9,9,0,1,24,0,3,109,29,24,6,9,9,9,1297320.0,907845.5
140,48,1,51,48,49,101,5,51,13,65,9,9,48,14,51,48,49,101,5,51,13,65,9,9,48,1,15,48,49,101,5,15,6,75,9,9,48,14,15,48,49,101,5,15,6,75,9,9,0,1,46,0,3,101,5,46,6,75,65,9,0,14,46,0,3,101,5,46,6,75,65,9,58,1,54,58,59,101,5,54,6,75,9,9,58,14,54,58,59,101,5,54,6,75,9,9,113,1,57,113,114,101,5,57,6,75,9,9,261360.0,2727636.5
156,17,1,70,17,19,133,134,70,13,9,9,9,17,14,70,17,19,133,134,70,13,9,9,9,17,1,70,17,19,133,134,70,6,97,9,9,17,14,70,17,19,133,134,70,6,97,9,9,17,1,70,17,19,133,134,70,13,8,9,9,17,14,70,17,19,133,134,70,13,8,9,9,17,1,70,17,19,133,134,70,6,102,9,9,17,14,70,17,19,133,134,70,6,102,9,9,17,1,70,17,19,133,134,70,6,9,9,9,1136880.0,655622.3125
163,95,1,136,95,95,135,91,136,6,118,9,9,95,14,136,95,95,135,91,136,6,118,9,9,121,1,40,121,3,135,91,40,6,118,9,9,121,14,40,121,3,135,91,40,6,118,9,9,25,1,40,25,3,135,91,40,6,4,9,9,25,14,40,25,3,135,91,40,6,4,9,9,25,1,40,25,3,135,91,40,6,108,9,9,25,14,40,25,3,135,91,40,6,108,9,9,117,1,23,117,132,135,91,23,39,9,9,9,5212200.0,1425904.25
