Id,Event_1,Event_2,Event_3,Event_4,Event_5,Event_6,Event_7,Event_8,Event_9,Latest_concept:name,Latest_lifecycle:transition,Latest_org:resource,Latest_Activity,Latest_Resource,Latest_Work_Order_Qty,Latest_Part_Desc_,Latest_Worker_ID,Latest_Report_Type,Latest_Qty_Completed,Latest_Qty_Rejected,Latest_Qty_for_MRB,remainingTime,prediction
100,30,30,34,34,30,30,30,30,24,0,1,24,0,3,28,29,24,6,28,9,9,2391300.0,1185687.75
103,30,30,42,42,30,30,42,42,42,31,1,42,31,32,43,44,42,6,45,9,9,505500.0,1080045.75
108,18,18,34,40,40,34,34,34,40,0,1,40,0,3,60,61,40,6,45,8,9,850020.0,1585067.25
111,10,10,10,10,15,15,51,51,10,76,1,10,76,12,77,5,10,6,69,9,9,1249920.0,251921.25
115,10,10,34,34,10,10,10,10,10,11,1,10,11,12,84,29,10,6,85,9,9,1696260.0,1472797.5
122,51,51,51,51,51,51,51,2,2,0,14,2,0,3,86,103,2,6,9,9,9,1937400.0,1104814.0
147,30,30,42,42,42,42,30,94,94,95,14,94,95,95,118,119,94,6,120,9,9,46980.0,1648079.25
148,123,123,126,126,40,40,130,130,40,121,14,40,121,3,122,119,40,6,8,9,9,49080.0,463223.96875
17,30,30,30,30,30,30,30,137,30,117,14,30,117,132,69,91,30,6,9,9,9,2732640.0,2679522.75
177,57,57,139,139,139,139,142,142,2,121,1,2,121,3,138,5,2,6,9,9,9,6286500.0,3982220.25
203,24,24,57,57,54,54,57,57,54,113,1,54,113,114,101,168,54,6,101,9,9,82440.0,877121.4375
209,18,18,42,42,42,42,51,51,18,71,1,18,71,72,173,29,18,6,105,9,9,708840.0,758332.6875
210,34,34,18,18,18,18,34,34,18,71,1,18,71,72,176,21,18,6,28,9,9,967920.0,763932.1875
219,57,57,57,57,142,142,139,139,142,140,1,142,140,141,74,5,142,13,8,9,9,723120.0,5584152.0
235,2,2,2,26,2,26,26,26,26,67,1,26,67,68,52,201,26,13,9,9,9,2612400.0,1125471.375
238,18,18,34,34,34,34,18,18,15,11,1,15,11,12,206,63,15,13,8,9,9,3864360.0,2128079.5
244,88,88,88,88,88,88,88,88,88,195,1,88,195,149,101,5,88,6,8,9,9,324180.0,998436.6875
251,51,51,10,10,10,10,2,2,57,58,1,57,58,59,101,5,57,6,101,9,9,3817500.0,477897.84375
256,42,42,10,10,18,18,40,40,42,117,1,42,117,32,69,222,42,13,9,9,9,3009600.0,1252302.5
265,42,42,42,42,42,42,42,42,42,31,14,42,31,32,7,228,42,13,9,9,9,868320.0,684340.25
267,15,15,18,18,18,18,15,24,24,0,14,24,0,3,153,154,24,6,9,9,9,7226160.0,3426960.25
272,23,23,70,70,70,70,23,24,23,17,14,23,17,19,82,21,23,6,75,9,9,1392900.0,291593.625
273,23,23,23,26,26,24,23,24,57,53,1,57,53,55,86,21,57,6,86,9,9,1492620.0,870847.0625
33,18,18,24,18,24,18,18,18,15,71,1,15,71,72,74,29,15,6,82,9,9,1954260.0,1021628.25
36,34,34,51,51,10,10,10,10,46,0,1,46,0,3,82,5,46,6,9,9,9,1486500.0,1348675.75
38,15,15,51,51,10,10,10,10,10,11,1,10,11,12,174,5,10,13,9,9,9,4798440.0,4601017.5
39,70,70,70,40,40,70,70,40,70,67,14,70,67,68,4,21,70,6,16,9,9,439020.0,590744.875
43,30,30,42,24,42,24,42,42,30,31,1,30,31,32,160,29,30,6,28,9,9,376380.0,1025186.5
48,15,15,10,10,10,10,40,40,15,11,1,15,11,12,74,5,15,6,101,9,9,3127320.0,1376738.75
55,26,26,70,70,70,70,40,23,40,0,14,40,0,3,240,211,40,6,9,9,9,3260700.0,2039757.5
59,18,18,51,51,34,34,24,24,83,58,1,83,58,59,4,29,83,6,33,9,9,168120.0,429087.625
6,42,42,42,42,30,30,30,30,42,31,1,42,31,32,241,211,42,13,9,9,9,1658880.0,1881007.25
62,30,30,30,30,30,30,30,30,30,31,1,30,31,32,7,29,30,6,16,9,9,2402820.0,1366783.875
63,34,34,34,34,51,2,2,51,18,11,1,18,11,12,243,5,18,6,115,9,9,4048800.0,2739116.75
79,40,40,142,142,54,54,57,57,40,121,1,40,121,3,253,211,40,6,253,9,9,210600.0,665510.6875
84,30,30,30,30,30,30,30,30,30,31,1,30,31,32,60,119,30,13,8,9,9,1041900.0,2720161.5
9,70,70,23,23,23,23,24,24,57,113,1,57,113,114,82,21,57,6,9,9,9,1695960.0,719993.1875
93,42,42,42,42,30,30,30,30,30,117,1,30,117,32,86,156,30,6,35,9,9,3754200.0,2671141.25
99,24,24,24,24,24,24,54,54,57,58,1,57,58,59,262,134,57,6,263,9,9,315960.0,2334678.75
