Id,Event_1,Event_2,Event_3,Event_4,Event_5,Event_6,Event_7,Event_8,Event_9,remainingTime,prediction
101,30,30,30,30,30,30,30,30,18,1036440.0,1630717.5
103,30,30,42,42,30,30,42,42,42,505500.0,821793.5
104,34,34,34,34,51,46,51,46,46,10440.0,414142.25
12,70,70,26,26,24,24,26,26,70,1830540.0,1966925.75
122,51,51,51,51,51,51,51,2,2,1937400.0,1273925.25
13,23,23,23,23,26,26,94,94,24,17520.0,1596033.125
138,15,15,10,10,10,10,15,15,51,81420.0,4051503.0
156,70,70,70,70,70,70,70,70,70,1136880.0,651994.125
177,57,57,139,139,139,139,142,142,2,6286500.0,2751002.75
18,10,10,10,10,51,51,10,10,10,6177600.0,331782.25
182,24,24,88,88,24,24,24,24,94,1791240.0,313693.65625
19,15,15,2,2,10,10,2,2,57,1909500.0,1896378.25
199,54,54,57,54,54,54,57,57,57,7498740.0,877292.3125
203,24,24,57,57,54,54,57,57,54,82440.0,1168337.5
209,18,18,42,42,42,42,51,51,18,708840.0,663894.8125
21,15,15,34,34,24,10,10,10,10,3413400.0,4079446.25
212,18,18,18,18,18,24,18,24,34,1117500.0,3968537.0
219,57,57,57,57,142,142,139,139,142,723120.0,873372.5625
225,93,93,93,93,93,93,93,93,93,6916500.0,1504227.75
229,42,40,40,42,34,34,42,42,40,572520.0,1165636.625
240,18,18,34,34,51,51,18,18,34,1101600.0,1256496.25
251,51,51,10,10,10,10,2,2,57,3817500.0,408117.21875
252,18,18,18,24,18,24,24,24,18,323880.0,1590191.875
257,18,18,10,10,51,51,83,83,34,6780960.0,1351692.0
263,30,30,30,30,30,40,30,30,40,1609200.0,1689381.5
268,42,42,42,24,42,24,42,24,24,1807140.0,248380.015625
28,18,18,18,18,15,24,24,15,24,3347820.0,1543974.625
31,10,10,10,10,10,10,34,34,2,2706180.0,2014005.25
34,26,26,23,23,23,23,10,10,26,1965480.0,3360215.5
45,18,18,34,34,34,34,24,24,42,150420.0,1259223.375
47,30,30,30,24,30,30,24,30,30,1389600.0,1722718.0
49,42,2,42,2,42,42,104,104,24,1032420.0,2199679.5
54,51,51,15,15,10,10,10,40,40,244320.0,759829.6875
56,30,30,42,94,94,42,42,42,24,18420.0,3058671.0
58,88,88,88,88,93,93,88,88,24,65400.0,2966448.75
70,23,23,23,23,23,23,23,23,23,3112140.0,1883568.875
71,70,70,70,70,94,94,24,24,57,20520.0,3578201.0
77,70,70,70,70,23,23,23,23,70,1492020.0,716853.3125
92,18,18,18,18,18,18,24,24,24,1865460.0,2231263.0
