Id,Event_1,Event_2,Event_3,Event_4,Event_5,Event_6,Event_7,Event_8,Event_9,Event_10,Event_11,Event_12,Event_13,Event_14,Event_15,Event_16,remainingTime,prediction
102,38,38,38,38,46,46,46,52,52,46,46,46,38,38,33,33,1196940.0,1262365.61473
108,33,33,42,52,52,42,42,42,52,52,20,20,64,64,60,60,728580.0,2158797.30349
109,8,14,8,14,30,42,42,42,30,42,8,30,30,8,30,30,1694220.0,1650858.07988
115,8,8,42,42,8,8,8,8,8,52,52,52,52,8,2,2,1501680.0,2122096.92616
121,42,42,42,113,113,42,86,88,88,86,42,46,46,42,8,8,1177680.0,781966.73309
127,33,33,33,33,14,14,42,42,30,30,33,33,42,42,42,2,1235880.0,2911091.47138
140,86,86,14,14,88,88,2,2,20,20,125,125,125,125,125,125,228000.0,458678.840115
178,147,147,125,125,100,100,100,2,20,100,2,20,100,125,100,125,4959120.0,4734498.01859
20,14,14,30,14,14,30,33,33,33,33,33,33,86,86,42,42,3136080.0,2400196.4566
209,33,33,46,46,46,46,86,86,33,33,42,42,30,30,20,20,221760.0,653970.136455
21,14,14,42,42,30,8,8,8,8,30,8,33,33,33,42,42,3282300.0,2285431.37118
215,46,46,46,46,147,147,30,30,30,30,20,20,20,20,20,20,751260.0,63915.5674147
228,46,46,46,46,46,46,30,30,30,30,30,30,2,20,2,20,285360.0,936417.291745
234,52,52,52,52,159,159,204,204,159,159,52,52,52,52,86,86,3752580.0,4091318.37851
240,33,33,42,42,86,86,33,33,42,42,86,86,2,2,30,30,725880.0,207764.812638
246,72,72,29,29,72,72,52,52,2,2,20,20,2,2,20,20,311100.0,-509224.037745
253,72,72,72,72,30,29,30,30,29,30,20,20,20,20,20,20,478860.0,1394735.53714
259,72,72,72,72,24,24,33,33,72,72,24,24,24,24,33,33,6028200.0,3577407.49024
265,46,46,46,46,46,46,46,46,46,46,30,30,20,20,20,20,267840.0,2202772.64593
266,16,16,86,86,8,8,86,16,86,86,16,52,52,86,8,8,7273500.0,6802666.12685
27,46,46,46,46,46,46,46,46,46,46,46,46,46,46,30,30,248640.0,933185.813836
271,8,8,8,8,8,8,86,88,86,88,8,88,88,8,88,86,6543900.0,5460584.53943
272,29,29,72,72,72,72,29,30,29,30,20,20,30,20,20,30,335280.0,505524.516965
33,33,33,30,33,30,33,33,33,14,14,42,42,30,30,30,30,1633980.0,-514546.772078
39,72,72,72,52,52,72,72,52,72,52,72,72,24,24,72,72,374100.0,-62883.3350913
40,29,29,72,72,29,29,29,29,29,29,8,8,30,30,2,2,583680.0,565047.397071
46,86,86,42,42,86,33,86,33,33,33,52,52,20,20,20,52,122220.0,260145.378871
52,46,46,38,38,38,38,38,38,38,38,38,38,38,38,38,38,483420.0,964393.621671
64,86,86,8,8,42,42,8,8,8,8,86,86,42,42,42,42,0.0,-380127.916044
77,72,72,72,72,29,29,29,29,72,72,24,16,16,24,72,72,1389660.0,2171543.64287
83,86,86,86,86,14,14,42,42,86,52,52,86,8,8,42,42,326400.0,660691.417774
90,33,33,14,14,42,42,8,8,8,33,33,118,118,8,118,118,221160.0,1213671.26562
96,52,52,52,52,2,2,2,118,2,20,118,20,171,58,171,58,27600.0,-438094.335283
11,24,24,72,52,72,72,52,72,24,24,8,8,72,72,52,72,624960.0,1302298.29435
111,8,8,8,8,14,14,86,86,8,8,14,14,88,88,8,8,479160.0,209595.680887
124,8,8,8,8,86,86,14,14,52,52,20,20,118,118,52,52,218640.0,1562291.63611
155,46,46,46,46,46,46,46,30,30,46,30,30,2,2,20,20,229800.0,149114.958881
156,72,72,72,72,72,72,72,72,72,72,30,30,30,30,30,30,754440.0,1867229.42148
17,38,38,38,38,38,38,38,140,38,38,38,140,142,142,38,38,2674620.0,2885895.22102
174,42,42,33,52,33,33,52,33,118,118,46,46,42,42,33,33,852480.0,1521038.66134
187,2,2,144,144,125,125,147,147,144,144,125,125,147,147,144,144,3921840.0,2631720.40233
206,30,30,20,20,20,20,100,100,100,100,30,30,30,30,171,171,950400.0,2009119.40542
212,33,33,33,33,33,30,33,30,42,42,33,33,30,30,30,30,697200.0,1483202.27263
218,190,190,194,194,194,194,190,190,52,52,58,58,20,52,20,52,0.0,765937.355386
225,100,100,100,100,100,100,100,100,100,100,2,2,2,2,2,2,6006900.0,3225021.59517
231,20,20,125,125,125,125,144,64,144,64,16,16,16,16,16,16,340800.0,1448169.21913
237,30,30,14,14,30,30,30,30,20,2,20,2,147,147,147,147,4312080.0,2373720.87844
24,8,8,8,8,88,88,2,2,213,100,100,213,88,88,125,2,473640.0,284231.459489
243,33,33,42,52,42,42,52,42,30,30,20,20,20,20,144,144,324060.0,685354.590134
250,223,223,223,223,16,223,16,223,223,223,223,223,20,20,16,16,151200.0,162635.717743
256,46,46,8,8,33,33,52,52,46,46,38,38,38,38,38,38,2988900.0,1966677.36096
262,14,14,42,42,42,42,30,30,30,30,20,20,20,20,2,2,179460.0,1439330.62035
269,46,46,46,52,46,46,52,46,46,46,52,46,46,52,46,52,1624860.0,1347346.92779
36,42,42,86,86,8,8,8,8,88,42,88,42,42,42,86,86,1438260.0,815130.06249
42,33,33,33,33,30,30,14,14,38,38,33,30,33,14,30,30,405060.0,1564433.41088
49,46,16,46,16,46,46,113,113,30,30,100,100,30,30,20,20,72600.0,97426.5306024
55,24,24,72,72,72,72,52,29,52,29,24,24,72,72,29,29,3057360.0,146384.906587
61,29,29,29,29,29,29,8,8,29,52,29,52,72,72,29,52,3385260.0,690851.51161
80,42,42,42,42,52,52,20,20,2,2,20,20,144,144,144,147,86400.0,817574.697508
86,33,33,118,118,42,42,33,33,118,118,118,118,52,52,52,52,0.0,1243609.27878
93,46,46,46,46,38,38,38,38,38,38,16,16,263,263,72,72,1437900.0,2836273.4284
99,30,30,30,30,30,30,2,2,20,20,20,20,30,30,30,30,47160.0,203824.494113
