Id,concept:name_1,lifecycle:transition_1,org:resource_1,Activity_1,Resource_1,Work_Order_Qty_1,Part_Desc__1,Worker_ID_1,Report_Type_1,Qty_Completed_1,Qty_Rejected_1,Qty_for_MRB_1,concept:name_2,lifecycle:transition_2,org:resource_2,Activity_2,Resource_2,Work_Order_Qty_2,Part_Desc__2,Worker_ID_2,Report_Type_2,Qty_Completed_2,Qty_Rejected_2,Qty_for_MRB_2,concept:name_3,lifecycle:transition_3,org:resource_3,Activity_3,Resource_3,Work_Order_Qty_3,Part_Desc__3,Worker_ID_3,Report_Type_3,Qty_Completed_3,Qty_Rejected_3,Qty_for_MRB_3,remainingTime,actual,predicted
66,95,1,25,95,21,4,97,25,9,7,8,8,95,10,25,95,21,4,97,25,9,7,8,8,95,1,25,95,21,4,97,25,6,172,8,8,1808820.0,False,False
223,19,1,31,19,21,180,23,31,9,7,8,8,63,1,87,63,18,180,23,87,9,8,8,8,19,10,31,19,21,180,23,31,9,7,8,8,2112000.0,False,False
21,0,1,41,0,3,128,158,41,9,8,8,8,0,10,41,0,3,128,158,41,9,8,8,8,0,1,20,0,3,128,158,20,6,168,8,8,3460800.0,False,False
273,11,1,12,11,13,82,15,12,9,7,8,8,11,10,12,11,13,82,15,12,9,7,8,8,11,1,12,11,13,82,15,12,6,56,8,8,1914240.0,False,False
256,95,1,31,95,120,51,124,31,6,64,8,8,95,10,31,95,120,51,124,31,6,64,8,8,95,1,2,95,120,51,124,2,6,203,8,8,3070140.0,False,False
206,63,1,16,63,18,98,164,16,6,8,8,8,63,10,16,63,18,98,164,16,6,8,8,8,112,1,129,112,113,98,164,129,6,98,8,8,2128560.0,False,False
263,19,1,25,19,21,22,206,25,9,8,8,8,19,10,25,19,21,22,206,25,9,8,8,8,19,1,25,19,21,22,206,25,9,8,8,8,1688880.0,True,False
62,19,1,25,19,21,172,23,25,9,8,8,8,19,10,25,19,21,172,23,25,9,8,8,8,19,1,25,19,21,172,23,25,34,8,8,8,2487540.0,False,False
20,0,1,41,0,3,157,158,41,9,7,8,8,0,10,41,0,3,157,158,41,9,7,8,8,63,1,16,63,18,157,158,16,6,8,8,8,3235980.0,False,False
208,48,1,49,48,50,161,5,49,9,8,8,8,48,10,49,48,50,161,5,49,9,8,8,8,48,1,12,48,50,161,5,12,9,8,8,8,3688260.0,False,False
187,130,1,146,130,131,145,5,146,6,8,8,8,130,10,146,130,131,145,5,146,6,8,8,8,108,1,126,108,109,145,5,126,9,8,8,8,4103400.0,False,False
