Id,Event_1,Event_2,Event_3,Event_4,Event_5,Latest_concept:name,Latest_lifecycle:transition,Latest_org:resource,Latest_Activity,Latest_Resource,Latest_Work_Order_Qty,Latest_Part_Desc_,Latest_Worker_ID,Latest_Report_Type,Latest_Qty_Completed,Latest_Qty_Rejected,Latest_Qty_for_MRB,remainingTime,actual,predicted
60,22,22,137,137,33,104,1,33,104,23,46,231,33,6,7,7,7,400020.0,True,True
85,48,48,48,48,27,59,1,27,59,60,80,25,27,11,91,7,7,40320.0,True,True
189,57,57,57,57,57,43,1,57,43,20,146,156,57,11,7,9,7,212400.0,True,True
73,8,8,38,38,2,0,1,2,0,3,49,198,2,6,7,7,7,927720.0,True,True
126,38,38,2,2,8,0,1,8,0,3,4,30,8,6,7,7,7,496980.0,True,True
74,83,83,45,45,45,109,1,45,109,20,61,25,45,11,61,7,7,4500.0,True,True
150,18,18,18,18,18,117,10,18,117,118,24,25,18,11,7,90,7,30720.0,True,True
53,33,33,22,22,22,21,1,22,21,23,4,228,22,31,7,7,7,890820.0,True,True
253,54,54,54,54,18,43,1,18,43,20,103,211,18,11,7,7,7,582960.0,True,True
136,48,48,48,48,18,43,1,18,43,20,102,25,18,11,7,7,7,2700.0,True,True
114,48,48,18,70,70,59,10,70,59,60,71,25,70,6,7,7,7,604980.0,True,True
49,33,57,33,57,33,21,1,33,21,23,26,25,33,11,223,7,7,1209660.0,True,True
86,48,48,70,70,27,59,1,27,59,60,229,25,27,11,91,7,7,160020.0,True,True
240,48,48,27,27,38,59,1,38,59,60,202,203,38,11,103,7,7,1152960.0,True,True
79,45,45,144,144,152,138,1,152,138,139,243,203,152,11,7,7,7,349200.0,True,True
215,33,33,33,33,142,21,1,142,21,23,178,25,142,11,179,7,7,995820.0,True,True
82,38,38,38,38,27,37,1,27,37,39,40,5,27,6,9,7,7,1584060.0,True,True
155,33,33,33,33,33,21,1,33,21,23,96,25,33,11,41,7,7,562920.0,True,True
154,67,67,126,126,67,109,1,67,109,20,29,25,67,11,80,9,7,237600.0,True,True
64,38,38,8,8,27,37,1,27,37,39,233,5,27,11,179,7,7,255600.0,True,True
232,67,38,67,75,38,37,10,38,37,39,90,5,38,11,61,7,7,1309800.0,True,True
231,137,137,144,144,144,133,1,144,133,135,71,5,144,11,52,7,7,668580.0,True,True
233,54,17,54,17,17,191,1,17,191,14,34,25,17,11,26,7,7,989280.0,True,True
27,33,33,33,33,33,21,1,33,21,23,73,25,33,6,7,7,7,517860.0,True,True
198,38,38,27,27,27,37,1,27,37,39,56,5,27,11,125,7,7,6093540.0,False,False
163,132,132,45,45,45,19,1,45,19,20,131,78,45,11,4,7,7,6325380.0,False,False
178,142,142,144,144,75,140,1,75,140,76,141,5,75,11,7,7,7,5365440.0,False,False
225,75,75,75,75,75,186,1,75,186,135,187,5,75,11,7,7,7,7024980.0,False,False
237,18,18,2,2,18,43,1,18,43,20,197,198,18,11,199,7,7,5493000.0,False,False
110,48,48,27,57,57,43,10,57,43,20,58,25,57,11,7,7,7,2503680.0,False,False
70,17,17,17,17,17,12,1,17,12,14,40,241,17,6,9,7,7,3195360.0,False,False
87,2,2,8,8,8,0,1,8,0,3,244,245,8,11,41,7,7,3155220.0,False,False
251,38,38,8,8,8,37,1,8,37,39,90,5,8,11,91,7,7,3895620.0,False,False
17,22,22,22,22,22,104,1,22,104,129,56,78,22,31,7,7,7,2740620.0,False,False
61,17,17,17,17,17,12,1,17,12,14,86,158,17,11,61,7,7,3622980.0,False,False
95,27,27,8,8,18,43,1,18,43,20,248,154,18,11,7,7,7,2657160.0,False,False
145,22,22,33,33,22,104,1,22,104,23,105,106,22,11,7,7,7,1819080.0,False,False
80,27,27,27,27,45,43,1,45,43,20,24,5,45,11,150,9,7,2029200.0,False,False
109,8,2,8,2,18,43,1,18,43,20,49,50,18,11,51,7,7,1731600.0,False,False
29,13,13,54,54,17,53,1,17,53,55,173,5,17,6,7,7,7,3550020.0,False,False
235,57,57,57,13,57,43,10,57,43,20,41,196,57,6,7,7,7,3178200.0,False,False
121,27,27,27,92,92,19,10,92,19,20,73,93,92,11,73,7,7,1943280.0,False,False
182,18,18,79,79,18,109,1,18,109,20,147,25,18,11,90,9,7,1820940.0,False,False
