Run,Fmeasure,AUC
DecisionTree_simpleIndex_None_clustering,1.0,0
KNN_simpleIndex_None_clustering,1.0,0
RandomForest_simpleIndex_None_clustering,1.0,0
DecisionTree_indexLatestPayload_None_clustering,1.0,0
KNN_indexLatestPayload_None_clustering,1.0,0
RandomForest_indexLatestPayload_None_clustering,0.9787234042553191,0
DecisionTree_complexIndex_None_clustering,1.0,0
KNN_complexIndex_None_clustering,1.0,0
RandomForest_complexIndex_None_clustering,1.0,0
DecisionTree_boolean_None_clustering,1.0,0
KNN_boolean_None_clustering,1.0,0
RandomForest_boolean_None_clustering,1.0,0
KNN_simpleIndex_Kmeans_clustering,1.0,0
DecisionTree_simpleIndex_Kmeans_clustering,1.0,0
RandomForest_simpleIndex_Kmeans_clustering,1.0,0
KNN_frequency_Kmeans_clustering,1.0,0
DecisionTree_frequency_Kmeans_clustering,1.0,0
RandomForest_frequency_Kmeans_clustering,1.0,0
KNN_indexLatestPayload_Kmeans_clustering,1.0,0
DecisionTree_indexLatestPayload_Kmeans_clustering,1.0,0
RandomForest_indexLatestPayload_Kmeans_clustering,1.0,0
KNN_boolean_Kmeans_clustering,1.0,0
DecisionTree_boolean_Kmeans_clustering,1.0,0
RandomForest_boolean_Kmeans_clustering,1.0,0
KNN_complexIndex_Kmeans_clustering,1.0,0
DecisionTree_complexIndex_Kmeans_clustering,1.0,0
RandomForest_complexIndex_Kmeans_clustering,1.0,0
KNN_frequency_None_clustering,1.0,0
DecisionTree_frequency_None_clustering,1.0,0
RandomForest_frequency_None_clustering,0.9795918367346939,0
