Id,Event_1,Event_2,Event_3,Event_4,Event_5,remainingTime,actual,predicted
60,22,22,137,137,33,400020.0,True,True
85,48,48,48,48,27,40320.0,True,True
189,57,57,57,57,57,212400.0,True,True
73,8,8,38,38,2,927720.0,True,True
126,38,38,2,2,8,496980.0,True,True
74,83,83,45,45,45,4500.0,True,True
150,18,18,18,18,18,30720.0,True,True
53,33,33,22,22,22,890820.0,True,True
253,54,54,54,54,18,582960.0,True,True
136,48,48,48,48,18,2700.0,True,True
114,48,48,18,70,70,604980.0,True,True
49,33,57,33,57,33,1209660.0,True,True
86,48,48,70,70,27,160020.0,True,True
240,48,48,27,27,38,1152960.0,True,True
79,45,45,144,144,152,349200.0,True,True
215,33,33,33,33,142,995820.0,True,True
82,38,38,38,38,27,1584060.0,True,True
155,33,33,33,33,33,562920.0,True,True
154,67,67,126,126,67,237600.0,True,True
64,38,38,8,8,27,255600.0,True,True
232,67,38,67,75,38,1309800.0,True,True
231,137,137,144,144,144,668580.0,True,True
233,54,17,54,17,17,989280.0,True,True
27,33,33,33,33,33,517860.0,True,True
198,38,38,27,27,27,6093540.0,False,False
163,132,132,45,45,45,6325380.0,False,False
178,142,142,144,144,75,5365440.0,False,False
225,75,75,75,75,75,7024980.0,False,False
237,18,18,2,2,18,5493000.0,False,False
110,48,48,27,57,57,2503680.0,False,False
70,17,17,17,17,17,3195360.0,False,False
87,2,2,8,8,8,3155220.0,False,False
251,38,38,8,8,8,3895620.0,False,False
17,22,22,22,22,22,2740620.0,False,False
61,17,17,17,17,17,3622980.0,False,False
95,27,27,8,8,18,2657160.0,False,False
145,22,22,33,33,22,1819080.0,False,False
80,27,27,27,27,45,2029200.0,False,False
109,8,2,8,2,18,1731600.0,False,False
29,13,13,54,54,17,3550020.0,False,False
235,57,57,57,13,57,3178200.0,False,False
121,27,27,27,92,92,1943280.0,False,False
182,18,18,79,79,18,1820940.0,False,False
