Id,Event_1,Event_2,Event_3,Event_4,Event_5,remainingTime,actual,predicted
71,54,54,54,54,83,57960.0,True,True
89,8,8,2,2,27,317280.0,True,True
194,13,13,13,45,13,2277120.0,False,False
258,48,48,48,48,27,1604040.0,True,True
38,2,2,38,38,8,4809900.0,False,False
264,70,70,70,27,70,247320.0,True,True
41,17,17,17,18,17,1648680.0,True,True
69,33,33,83,83,18,4500.0,True,True
33,48,48,18,48,18,1974180.0,False,False
137,38,38,8,8,2,187200.0,True,True
140,38,38,2,2,67,856860.0,True,True
115,8,8,27,27,8,1706460.0,False,False
48,2,2,8,8,8,3159960.0,False,False
263,22,22,22,22,22,1620060.0,True,True
182,18,18,79,79,18,1820940.0,False,False
253,54,54,54,54,18,582960.0,True,True
3,2,57,2,57,8,1572660.0,True,True
112,54,54,17,17,13,1339560.0,True,True
28,48,48,48,48,2,3519420.0,False,False
19,2,2,57,57,8,2041320.0,False,False
32,48,48,38,38,27,2523720.0,False,False
118,38,38,48,48,48,134940.0,True,True
127,48,48,48,48,2,1343160.0,True,True
150,18,18,18,18,18,30720.0,True,True
199,152,152,137,152,152,7509900.0,False,False
110,48,48,27,57,57,2503680.0,False,False
232,67,38,67,75,38,1309800.0,True,True
77,54,54,54,54,17,1787640.0,False,False
196,57,57,79,79,67,121500.0,True,True
39,54,54,54,45,45,453240.0,True,True
67,38,38,38,38,8,4637940.0,False,False
12,54,54,13,13,18,1864140.0,False,False
93,33,33,33,33,22,3767700.0,False,False
21,2,2,27,27,18,3434400.0,False,False
1,8,8,8,8,2,1533660.0,True,True
230,48,48,48,48,48,4514160.0,False,False
145,22,22,33,33,22,1819080.0,False,False
274,22,22,22,45,45,145200.0,True,True
22,54,54,17,17,17,494100.0,True,True
215,33,33,33,33,142,995820.0,True,True
262,2,2,27,27,27,220140.0,True,True
124,8,8,8,8,38,464460.0,True,True
40,17,17,54,54,17,1194000.0,True,True
