Id,concept:name_1,lifecycle:transition_1,org:resource_1,Activity_1,Resource_1,Work_Order_Qty_1,Part_Desc__1,Worker_ID_1,Report_Type_1,Qty_Completed_1,Qty_Rejected_1,Qty_for_MRB_1,concept:name_2,lifecycle:transition_2,org:resource_2,Activity_2,Resource_2,Work_Order_Qty_2,Part_Desc__2,Worker_ID_2,Report_Type_2,Qty_Completed_2,Qty_Rejected_2,Qty_for_MRB_2,concept:name_3,lifecycle:transition_3,org:resource_3,Activity_3,Resource_3,Work_Order_Qty_3,Part_Desc__3,Worker_ID_3,Report_Type_3,Qty_Completed_3,Qty_Rejected_3,Qty_for_MRB_3,concept:name_4,lifecycle:transition_4,org:resource_4,Activity_4,Resource_4,Work_Order_Qty_4,Part_Desc__4,Worker_ID_4,Report_Type_4,Qty_Completed_4,Qty_Rejected_4,Qty_for_MRB_4,concept:name_5,lifecycle:transition_5,org:resource_5,Activity_5,Resource_5,Work_Order_Qty_5,Part_Desc__5,Worker_ID_5,Report_Type_5,Qty_Completed_5,Qty_Rejected_5,Qty_for_MRB_5,remainingTime,actual,predicted
60,104,1,22,104,23,46,231,22,6,7,7,7,104,10,22,104,23,46,231,22,6,7,7,7,138,1,137,138,139,46,231,137,11,46,7,7,138,10,137,138,139,46,231,137,11,46,7,7,104,1,33,104,23,46,231,33,6,7,7,7,400020.0,True,True
85,59,1,48,59,60,80,25,48,6,52,7,7,59,10,48,59,60,80,25,48,6,52,7,7,59,1,48,59,60,80,25,48,11,91,7,7,59,10,48,59,60,80,25,48,11,91,7,7,59,1,27,59,60,80,25,27,11,91,7,7,40320.0,True,True
189,43,1,57,43,20,146,156,57,11,7,9,7,43,10,57,43,20,146,156,57,11,7,9,7,43,1,57,43,20,146,156,57,11,7,9,7,43,10,57,43,20,146,156,57,11,7,9,7,43,1,57,43,20,146,156,57,11,7,9,7,212400.0,True,True
73,0,1,8,0,3,49,198,8,6,7,7,7,0,10,8,0,3,49,198,8,6,7,7,7,0,1,38,0,3,49,198,38,6,7,7,7,0,10,38,0,3,49,198,38,6,7,7,7,0,1,2,0,3,49,198,2,6,7,7,7,927720.0,True,True
126,0,1,38,0,3,4,30,38,6,7,7,7,0,10,38,0,3,4,30,38,6,7,7,7,0,1,2,0,3,4,30,2,6,52,7,7,0,10,2,0,3,4,30,2,6,52,7,7,0,1,8,0,3,4,30,8,6,7,7,7,496980.0,True,True
74,84,1,83,84,84,61,25,83,11,61,7,7,84,10,83,84,84,61,25,83,11,61,7,7,109,1,45,109,20,61,25,45,11,7,7,7,109,10,45,109,20,61,25,45,11,7,7,7,109,1,45,109,20,61,25,45,11,61,7,7,4500.0,True,True
150,119,1,18,119,120,24,25,18,11,7,52,7,121,1,18,121,122,24,25,18,11,7,61,7,117,1,18,117,118,24,25,18,11,7,90,7,119,10,18,119,120,24,25,18,11,7,52,7,117,10,18,117,118,24,25,18,11,7,90,7,30720.0,True,True
53,21,1,33,21,23,4,228,33,6,7,7,7,21,10,33,21,23,4,228,33,6,7,7,7,21,1,22,21,23,4,228,22,6,7,7,7,21,10,22,21,23,4,228,22,6,7,7,7,21,1,22,21,23,4,228,22,31,7,7,7,890820.0,True,True
253,12,1,54,12,14,103,211,54,6,9,7,7,12,10,54,12,14,103,211,54,6,9,7,7,12,1,54,12,14,103,211,54,11,52,7,7,12,10,54,12,14,103,211,54,11,52,7,7,43,1,18,43,20,103,211,18,11,7,7,7,582960.0,True,True
136,59,1,48,59,60,102,25,48,6,52,7,7,59,10,48,59,60,102,25,48,6,52,7,7,59,1,48,59,60,102,25,48,11,73,7,7,59,10,48,59,60,102,25,48,11,73,7,7,43,1,18,43,20,102,25,18,11,7,7,7,2700.0,True,True
114,59,1,48,59,60,71,25,48,6,9,7,7,59,10,48,59,60,71,25,48,6,9,7,7,43,1,18,43,20,71,25,18,11,7,7,7,59,1,70,59,60,71,25,70,6,7,7,7,59,10,70,59,60,71,25,70,6,7,7,7,604980.0,True,True
49,21,1,33,21,23,26,25,33,6,7,7,7,43,1,57,43,20,26,25,57,6,7,7,7,21,10,33,21,23,26,25,33,6,7,7,7,43,10,57,43,20,26,25,57,6,7,7,7,21,1,33,21,23,26,25,33,11,223,7,7,1209660.0,True,True
86,59,1,48,59,60,229,25,48,6,7,7,7,59,10,48,59,60,229,25,48,6,7,7,7,59,1,70,59,60,229,25,70,6,91,7,7,59,10,70,59,60,229,25,70,6,91,7,7,59,1,27,59,60,229,25,27,11,91,7,7,160020.0,True,True
240,59,1,48,59,60,202,203,48,6,7,7,7,59,10,48,59,60,202,203,48,6,7,7,7,59,1,27,59,60,202,203,27,6,9,7,7,59,10,27,59,60,202,203,27,6,9,7,7,59,1,38,59,60,202,203,38,11,103,7,7,1152960.0,True,True
79,43,1,45,43,20,243,203,45,11,243,7,7,43,10,45,43,20,243,203,45,11,243,7,7,121,1,144,121,122,243,203,144,11,243,7,7,121,10,144,121,122,243,203,144,11,243,7,7,138,1,152,138,139,243,203,152,11,7,7,7,349200.0,True,True
215,21,1,33,21,23,178,25,33,6,7,7,7,21,10,33,21,23,178,25,33,6,7,7,7,21,1,33,21,23,178,25,33,11,110,7,7,21,10,33,21,23,178,25,33,11,110,7,7,21,1,142,21,23,178,25,142,11,179,7,7,995820.0,True,True
82,37,1,38,37,39,40,5,38,6,9,7,7,37,10,38,37,39,40,5,38,6,9,7,7,37,1,38,37,39,40,5,38,11,7,7,7,37,10,38,37,39,40,5,38,11,7,7,7,37,1,27,37,39,40,5,27,6,9,7,7,1584060.0,True,True
155,104,1,33,104,129,96,25,33,6,7,7,7,104,10,33,104,129,96,25,33,6,7,7,7,21,1,33,21,23,96,25,33,11,7,7,7,21,10,33,21,23,96,25,33,11,7,7,7,21,1,33,21,23,96,25,33,11,41,7,7,562920.0,True,True
154,124,1,67,124,20,29,25,67,11,125,9,7,124,10,67,124,20,29,25,67,11,125,9,7,127,1,126,127,128,29,25,126,11,125,7,7,127,10,126,127,128,29,25,126,11,125,7,7,109,1,67,109,20,29,25,67,11,80,9,7,237600.0,True,True
64,37,1,38,37,39,233,5,38,6,52,7,7,37,10,38,37,39,233,5,38,6,52,7,7,37,1,8,37,39,233,5,8,11,234,7,7,37,10,8,37,39,233,5,8,11,234,7,7,37,1,27,37,39,233,5,27,11,179,7,7,255600.0,True,True
232,43,1,67,43,20,90,5,67,11,91,9,7,37,1,38,37,39,90,5,38,11,61,7,7,43,10,67,43,20,90,5,67,11,91,9,7,121,1,75,121,122,90,5,75,11,91,7,7,37,10,38,37,39,90,5,38,11,61,7,7,1309800.0,True,True
231,138,1,137,138,139,71,5,137,11,42,7,7,138,10,137,138,139,71,5,137,11,42,7,7,133,1,144,133,135,71,5,144,6,9,7,7,133,10,144,133,135,71,5,144,6,9,7,7,133,1,144,133,135,71,5,144,11,52,7,7,668580.0,True,True
233,191,1,54,191,14,34,25,54,11,7,7,7,191,1,17,191,14,34,25,17,6,52,7,7,191,10,54,191,14,34,25,54,11,7,7,7,191,10,17,191,14,34,25,17,6,52,7,7,191,1,17,191,14,34,25,17,11,26,7,7,989280.0,True,True
27,21,1,33,21,23,73,25,33,6,7,7,7,21,10,33,21,23,73,25,33,6,7,7,7,21,1,33,21,23,73,25,33,6,9,7,7,21,10,33,21,23,73,25,33,6,9,7,7,21,1,33,21,23,73,25,33,6,7,7,7,517860.0,True,True
198,37,1,38,37,39,56,5,38,6,7,7,7,37,10,38,37,39,56,5,38,6,7,7,7,37,1,27,37,39,56,5,27,6,9,7,7,37,10,27,37,39,56,5,27,6,9,7,7,37,1,27,37,39,56,5,27,11,125,7,7,6093540.0,False,False
163,84,1,132,84,84,131,78,132,11,107,7,7,84,10,132,84,84,131,78,132,11,107,7,7,109,1,45,109,20,131,78,45,11,107,7,7,109,10,45,109,20,131,78,45,11,107,7,7,19,1,45,19,20,131,78,45,11,4,7,7,6325380.0,False,False
178,117,1,142,117,118,141,5,142,11,143,7,7,117,10,142,117,118,141,5,142,11,143,7,7,133,1,144,133,135,141,5,144,6,7,7,7,133,10,144,133,135,141,5,144,6,7,7,7,140,1,75,140,76,141,5,75,11,7,7,7,5365440.0,False,False
225,140,1,75,140,76,187,5,75,11,7,7,7,140,10,75,140,76,187,5,75,11,7,7,7,121,1,75,121,122,187,5,75,11,188,7,7,121,10,75,121,122,187,5,75,11,188,7,7,186,1,75,186,135,187,5,75,11,7,7,7,7024980.0,False,False
237,43,1,18,43,20,197,198,18,11,200,7,7,43,10,18,43,20,197,198,18,11,200,7,7,0,1,2,0,3,197,198,2,11,143,7,7,0,10,2,0,3,197,198,2,11,143,7,7,43,1,18,43,20,197,198,18,11,199,7,7,5493000.0,False,False
110,59,1,48,59,60,58,25,48,6,9,7,7,59,10,48,59,60,58,25,48,6,9,7,7,59,1,27,59,60,58,25,27,6,61,7,7,43,1,57,43,20,58,25,57,11,7,7,7,43,10,57,43,20,58,25,57,11,7,7,7,2503680.0,False,False
70,12,1,17,12,14,40,241,17,6,7,7,7,12,1,17,12,14,40,241,17,31,7,7,7,12,10,17,12,14,40,241,17,31,7,7,7,12,10,17,12,14,40,241,17,6,7,7,7,12,1,17,12,14,40,241,17,6,9,7,7,3195360.0,False,False
87,0,1,2,0,3,244,245,2,6,7,7,7,0,10,2,0,3,244,245,2,6,7,7,7,0,1,8,0,3,244,245,8,6,9,7,7,0,10,8,0,3,244,245,8,6,9,7,7,0,1,8,0,3,244,245,8,11,41,7,7,3155220.0,False,False
251,37,1,38,37,39,90,5,38,6,7,7,7,37,10,38,37,39,90,5,38,6,7,7,7,37,1,8,37,39,90,5,8,6,9,7,7,37,10,8,37,39,90,5,8,6,9,7,7,37,1,8,37,39,90,5,8,11,91,7,7,3895620.0,False,False
17,104,1,22,104,129,56,78,22,6,7,7,7,104,10,22,104,129,56,78,22,6,7,7,7,104,1,22,104,129,56,78,22,6,7,7,7,104,10,22,104,129,56,78,22,6,7,7,7,104,1,22,104,129,56,78,22,31,7,7,7,2740620.0,False,False
61,12,1,17,12,14,86,158,17,6,9,7,7,12,1,17,12,14,86,158,17,31,7,7,7,12,10,17,12,14,86,158,17,31,7,7,7,12,10,17,12,14,86,158,17,6,9,7,7,12,1,17,12,14,86,158,17,11,61,7,7,3622980.0,False,False
95,0,1,27,0,3,248,154,27,6,7,7,7,0,10,27,0,3,248,154,27,6,7,7,7,0,1,8,0,3,248,154,8,6,52,7,7,0,10,8,0,3,248,154,8,6,52,7,7,43,1,18,43,20,248,154,18,11,7,7,7,2657160.0,False,False
145,104,1,22,104,23,105,106,22,6,52,7,7,104,10,22,104,23,105,106,22,6,52,7,7,104,1,33,104,23,105,106,33,11,29,7,7,104,10,33,104,23,105,106,33,11,29,7,7,104,1,22,104,23,105,106,22,11,7,7,7,1819080.0,False,False
80,37,1,27,37,39,24,5,27,6,9,7,7,37,10,27,37,39,24,5,27,6,9,7,7,37,1,27,37,39,24,5,27,11,150,7,7,37,10,27,37,39,24,5,27,11,150,7,7,43,1,45,43,20,24,5,45,11,150,9,7,2029200.0,False,False
109,0,1,8,0,3,49,50,8,6,7,7,7,0,1,2,0,3,49,50,2,6,52,7,7,0,10,8,0,3,49,50,8,6,7,7,7,0,10,2,0,3,49,50,2,6,52,7,7,43,1,18,43,20,49,50,18,11,51,7,7,1731600.0,False,False
29,53,1,13,53,55,173,5,13,6,7,7,7,53,10,13,53,55,173,5,13,6,7,7,7,53,1,54,53,55,173,5,54,6,7,7,7,53,10,54,53,55,173,5,54,6,7,7,7,53,1,17,53,55,173,5,17,6,7,7,7,3550020.0,False,False
235,43,1,57,43,20,41,196,57,6,7,7,7,43,10,57,43,20,41,196,57,6,7,7,7,43,1,57,43,20,41,196,57,6,7,7,7,53,1,13,53,55,41,196,13,6,7,7,7,43,10,57,43,20,41,196,57,6,7,7,7,3178200.0,False,False
121,37,1,27,37,39,73,93,27,6,9,7,7,37,10,27,37,39,73,93,27,6,9,7,7,37,1,27,37,39,73,93,27,11,28,7,7,19,1,92,19,20,73,93,92,11,73,7,7,19,10,92,19,20,73,93,92,11,73,7,7,1943280.0,False,False
182,43,1,18,43,20,147,25,18,11,7,7,7,43,10,18,43,20,147,25,18,11,7,7,7,148,1,79,148,149,147,25,79,11,7,7,7,148,10,79,148,149,147,25,79,11,7,7,7,109,1,18,109,20,147,25,18,11,90,9,7,1820940.0,False,False
