Id,Event_1,Event_2,Event_3,Event_4,Event_5,Latest_concept:name,Latest_lifecycle:transition,Latest_org:resource,Latest_Activity,Latest_Resource,Latest_Work_Order_Qty,Latest_Part_Desc_,Latest_Worker_ID,Latest_Report_Type,Latest_Qty_Completed,Latest_Qty_Rejected,Latest_Qty_for_MRB,remainingTime,actual,predicted
71,54,54,54,54,83,84,1,83,84,84,44,16,83,11,73,7,7,57960.0,True,True
89,8,8,2,2,27,37,1,27,37,39,151,246,27,6,4,7,7,317280.0,True,True
194,13,13,13,45,13,53,10,13,53,55,86,158,13,6,7,7,7,2277120.0,False,False
258,48,48,48,48,27,59,1,27,59,60,49,25,27,11,61,7,7,1604040.0,True,True
38,2,2,38,38,8,0,1,8,0,3,172,5,8,6,7,7,7,4809900.0,False,False
264,70,70,70,27,70,59,10,70,59,60,219,203,70,11,52,7,7,247320.0,True,True
41,17,17,17,18,17,12,10,17,12,14,71,16,17,6,7,7,7,1648680.0,True,False
69,33,33,83,83,18,109,1,18,109,20,90,25,18,11,90,7,7,4500.0,True,True
33,48,48,18,48,18,43,10,18,43,20,179,25,18,11,7,7,7,1974180.0,False,False
137,38,38,8,8,2,0,1,2,0,3,46,30,2,11,101,7,7,187200.0,True,True
140,38,38,2,2,67,43,1,67,43,20,90,5,67,11,61,52,7,856860.0,True,True
115,8,8,27,27,8,0,1,8,0,3,72,25,8,11,73,7,7,1706460.0,False,True
48,2,2,8,8,8,0,1,8,0,3,179,5,8,11,184,7,7,3159960.0,False,False
263,22,22,22,22,22,21,1,22,21,23,24,218,22,6,9,7,7,1620060.0,True,False
182,18,18,79,79,18,109,1,18,109,20,147,25,18,11,90,9,7,1820940.0,False,False
253,54,54,54,54,18,43,1,18,43,20,103,211,18,11,7,7,7,582960.0,True,True
3,2,57,2,57,8,0,1,8,0,3,4,5,8,11,146,7,7,1572660.0,True,True
112,54,54,17,17,13,12,1,13,12,14,66,25,13,6,61,7,7,1339560.0,True,True
28,48,48,48,48,2,59,1,2,59,60,141,25,2,6,52,7,7,3519420.0,False,False
19,2,2,57,57,8,0,1,8,0,3,40,5,8,11,95,7,7,2041320.0,False,False
32,48,48,38,38,27,37,1,27,37,39,147,30,27,6,7,7,7,2523720.0,False,False
118,38,38,48,48,48,59,1,48,59,60,4,25,48,11,85,7,7,134940.0,True,True
127,48,48,48,48,2,59,1,2,59,60,97,25,2,11,28,7,7,1343160.0,True,True
150,18,18,18,18,18,117,10,18,117,118,24,25,18,11,7,90,7,30720.0,True,True
199,152,152,137,152,152,138,10,152,138,139,160,5,152,11,7,7,7,7509900.0,False,False
110,48,48,27,57,57,43,10,57,43,20,58,25,57,11,7,7,7,2503680.0,False,False
232,67,38,67,75,38,37,10,38,37,39,90,5,38,11,61,7,7,1309800.0,True,True
77,54,54,54,54,17,12,1,17,12,14,86,165,17,6,7,7,7,1787640.0,False,False
196,57,57,79,79,67,109,1,67,109,20,86,5,67,11,61,9,7,121500.0,True,True
39,54,54,54,45,45,43,10,45,43,20,4,16,45,11,7,7,7,453240.0,True,True
67,38,38,38,38,8,37,1,8,37,39,131,5,8,11,96,7,7,4637940.0,False,False
12,54,54,13,13,18,19,1,18,19,20,88,16,18,11,7,7,7,1864140.0,False,False
93,33,33,33,33,22,104,1,22,104,23,73,156,22,11,223,7,7,3767700.0,False,False
21,2,2,27,27,18,43,1,18,43,20,136,163,18,11,7,7,7,3434400.0,False,False
1,8,8,8,8,2,0,1,2,0,3,4,5,2,6,7,7,7,1533660.0,True,True
230,48,48,48,48,48,59,1,48,59,60,190,16,48,6,9,7,7,4514160.0,False,False
145,22,22,33,33,22,104,1,22,104,23,105,106,22,11,7,7,7,1819080.0,False,False
274,22,22,22,45,45,43,10,45,43,20,61,16,45,11,7,7,7,145200.0,True,True
22,54,54,17,17,17,12,1,17,12,14,90,25,17,11,61,7,7,494100.0,True,True
215,33,33,33,33,142,21,1,142,21,23,178,25,142,11,179,7,7,995820.0,True,True
262,2,2,27,27,27,59,1,27,59,60,161,16,27,11,217,7,7,220140.0,True,True
124,8,8,8,8,38,0,1,38,0,3,73,25,38,11,7,7,7,464460.0,True,True
40,17,17,54,54,17,89,1,17,89,14,161,16,17,6,9,7,7,1194000.0,True,True
