Id,Event_1,Event_2,Event_3,Event_4,Event_5,remainingTime,duration,actual,predicted
4,8,8,27,67,27,75660.0,123600.0,False,False
118,38,38,48,48,48,134940.0,474060.0,False,False
116,79,79,79,79,75,573600.0,608940.0,False,False
102,22,22,22,22,33,1260000.0,1326000.0,False,False
209,48,48,33,33,33,739140.0,778380.0,False,False
42,48,48,48,48,18,495960.0,534900.0,False,False
154,67,67,126,126,67,237600.0,608400.0,False,False
22,54,54,17,17,17,494100.0,534480.0,False,False
119,13,13,13,13,13,640800.0,813960.0,False,False
150,18,18,18,18,18,30720.0,35220.0,False,False
60,22,22,137,137,33,400020.0,441420.0,False,False
277,208,208,67,67,79,336540.0,626340.0,False,False
156,54,54,54,54,54,1222020.0,1314000.0,False,False
239,48,48,38,27,38,1261560.0,1303440.0,False,False
272,17,17,54,54,54,1421820.0,1479360.0,False,False
218,185,185,181,181,181,486540.0,613860.0,False,False
30,27,57,57,27,70,94980.0,115500.0,False,False
249,33,33,33,33,45,779520.0,861720.0,False,False
153,79,79,79,79,45,114600.0,280800.0,False,False
120,27,27,38,38,48,1499580.0,1547520.0,False,False
215,33,33,33,33,142,995820.0,1030200.0,False,False
258,48,48,48,48,27,1604040.0,1658640.0,False,False
205,75,75,75,75,18,37800.0,111600.0,False,False
195,45,45,152,152,137,879840.0,1303500.0,False,False
136,48,48,48,48,18,2700.0,43560.0,False,False
123,38,38,8,8,8,309180.0,402780.0,False,False
155,33,33,33,33,33,562920.0,582540.0,False,False
267,2,2,48,48,48,7256700.0,7303560.0,False,False
199,152,152,137,152,152,7509900.0,7556100.0,False,False
177,137,137,134,134,134,7034760.0,7404900.0,False,False
70,17,17,17,17,17,3195360.0,3285300.0,False,False
223,33,45,33,33,33,2105460.0,2123400.0,False,False
55,13,13,54,54,54,3297180.0,3322080.0,False,False
37,33,54,54,33,33,1937580.0,1955580.0,False,False
23,38,38,2,2,27,3149820.0,3198240.0,False,False
269,33,33,33,45,33,1717140.0,1807260.0,False,False
12,54,54,13,13,18,1864140.0,1894920.0,False,False
115,8,8,27,27,8,1706460.0,1783140.0,False,False
62,22,22,22,22,22,2434860.0,2496960.0,False,False
192,111,111,45,45,13,1656600.0,3996240.0,False,False
33,48,48,18,48,18,1974180.0,1993260.0,False,False
95,27,27,8,8,18,2657160.0,2717640.0,False,False
61,17,17,17,17,17,3622980.0,3639840.0,False,False
