Id,concept:name_1,lifecycle:transition_1,org:resource_1,Activity_1,Resource_1,Work_Order_Qty_1,Part_Desc__1,Worker_ID_1,Report_Type_1,Qty_Completed_1,Qty_Rejected_1,Qty_for_MRB_1,concept:name_2,lifecycle:transition_2,org:resource_2,Activity_2,Resource_2,Work_Order_Qty_2,Part_Desc__2,Worker_ID_2,Report_Type_2,Qty_Completed_2,Qty_Rejected_2,Qty_for_MRB_2,concept:name_3,lifecycle:transition_3,org:resource_3,Activity_3,Resource_3,Work_Order_Qty_3,Part_Desc__3,Worker_ID_3,Report_Type_3,Qty_Completed_3,Qty_Rejected_3,Qty_for_MRB_3,concept:name_4,lifecycle:transition_4,org:resource_4,Activity_4,Resource_4,Work_Order_Qty_4,Part_Desc__4,Worker_ID_4,Report_Type_4,Qty_Completed_4,Qty_Rejected_4,Qty_for_MRB_4,concept:name_5,lifecycle:transition_5,org:resource_5,Activity_5,Resource_5,Work_Order_Qty_5,Part_Desc__5,Worker_ID_5,Report_Type_5,Qty_Completed_5,Qty_Rejected_5,Qty_for_MRB_5,concept:name_6,lifecycle:transition_6,org:resource_6,Activity_6,Resource_6,Work_Order_Qty_6,Part_Desc__6,Worker_ID_6,Report_Type_6,Qty_Completed_6,Qty_Rejected_6,Qty_for_MRB_6,concept:name_7,lifecycle:transition_7,org:resource_7,Activity_7,Resource_7,Work_Order_Qty_7,Part_Desc__7,Worker_ID_7,Report_Type_7,Qty_Completed_7,Qty_Rejected_7,Qty_for_MRB_7,concept:name_8,lifecycle:transition_8,org:resource_8,Activity_8,Resource_8,Work_Order_Qty_8,Part_Desc__8,Worker_ID_8,Report_Type_8,Qty_Completed_8,Qty_Rejected_8,Qty_for_MRB_8,concept:name_9,lifecycle:transition_9,org:resource_9,Activity_9,Resource_9,Work_Order_Qty_9,Part_Desc__9,Worker_ID_9,Report_Type_9,Qty_Completed_9,Qty_Rejected_9,Qty_for_MRB_9,concept:name_10,lifecycle:transition_10,org:resource_10,Activity_10,Resource_10,Work_Order_Qty_10,Part_Desc__10,Worker_ID_10,Report_Type_10,Qty_Completed_10,Qty_Rejected_10,Qty_for_MRB_10,remainingTime,prediction
225,143,12,95,143,93,189,5,95,6,9,9,9,143,1,95,143,93,189,5,95,6,9,9,9,58,12,95,58,59,189,5,95,6,191,9,9,58,1,95,58,59,189,5,95,6,191,9,9,192,12,95,192,141,189,5,95,6,9,9,9,192,1,95,192,141,189,5,95,6,9,9,9,143,12,95,143,93,189,5,95,6,9,9,9,143,1,95,143,93,189,5,95,6,9,9,9,58,12,95,58,59,189,5,95,6,190,9,9,58,1,95,58,59,189,5,95,6,190,9,9,6912000.0,-55130.0428926
266,0,12,2,0,3,229,5,2,6,9,9,9,0,1,2,0,3,229,5,2,6,9,9,9,48,12,51,48,49,229,5,51,14,9,9,9,48,1,51,48,49,229,5,51,14,9,9,9,48,12,10,48,49,229,5,10,6,230,9,9,48,1,10,48,49,229,5,10,6,230,9,9,48,12,51,48,49,229,5,51,6,162,9,9,0,12,2,0,3,229,5,2,14,9,9,9,48,1,51,48,49,229,5,51,6,162,9,9,48,12,51,48,49,229,5,51,14,8,9,9,7296780.0,-660038.019985
267,11,12,15,11,13,153,154,15,14,9,9,9,11,1,15,11,13,153,154,15,14,9,9,9,11,12,18,11,13,153,154,18,14,65,9,9,11,1,18,11,13,153,154,18,14,65,9,9,11,12,18,11,13,153,154,18,6,60,9,9,11,1,18,11,13,153,154,18,6,60,9,9,11,12,15,11,13,153,154,15,6,82,9,9,0,12,24,0,3,153,154,24,6,9,9,9,0,1,24,0,3,153,154,24,6,9,9,9,11,1,15,11,13,153,154,15,6,82,9,9,7214880.0,400717.359911
104,48,12,34,48,49,47,5,34,14,8,9,9,48,1,34,48,49,47,5,34,14,8,9,9,48,12,34,48,49,47,5,34,6,50,9,9,48,1,34,48,49,47,5,34,6,50,9,9,48,12,51,48,49,47,5,51,6,52,9,9,0,12,46,0,3,47,5,46,6,9,9,9,48,1,51,48,49,47,5,51,6,52,9,9,0,1,46,0,3,47,5,46,6,9,9,9,0,12,46,0,3,47,5,46,6,47,9,9,0,1,46,0,3,47,5,46,6,47,9,9,7680.0,7039116.87091
106,31,12,40,31,32,56,29,40,14,9,9,9,31,1,40,31,32,56,29,40,14,9,9,9,31,12,30,31,32,56,29,30,6,56,9,9,31,1,30,31,32,56,29,30,6,56,9,9,0,12,24,0,3,56,29,24,6,56,9,9,0,1,24,0,3,56,29,24,6,56,9,9,58,12,57,58,59,56,29,57,6,56,9,9,58,1,57,58,59,56,29,57,6,56,9,9,53,12,54,53,55,56,29,54,6,56,9,9,53,1,54,53,55,56,29,54,6,56,9,9,251100.0,6816119.42408
112,17,12,70,17,19,81,29,70,14,9,9,9,17,1,70,17,19,81,29,70,14,9,9,9,17,12,23,17,19,81,29,23,14,8,9,9,17,1,23,17,19,81,29,23,14,8,9,9,17,12,26,17,19,81,29,26,14,75,9,9,17,1,26,17,19,81,29,26,14,75,9,9,0,12,42,0,3,81,29,42,6,9,75,9,17,12,23,17,19,81,29,23,39,9,9,9,0,1,42,0,3,81,29,42,6,9,75,9,17,1,23,17,19,81,29,23,39,9,9,9,1297920.0,5346035.42061
115,11,12,10,11,13,84,29,10,14,9,9,9,11,1,10,11,13,84,29,10,14,9,9,9,11,12,34,11,13,84,29,34,6,62,9,9,11,1,34,11,13,84,29,34,6,62,9,9,11,12,10,11,13,84,29,10,6,85,9,9,11,1,10,11,13,84,29,10,6,85,9,9,11,12,10,11,13,84,29,10,14,9,9,9,11,1,10,11,13,84,29,10,14,9,9,9,11,12,10,11,13,84,29,10,6,86,9,9,0,12,42,0,3,84,29,42,6,9,9,9,1693800.0,6172562.87231
120,48,12,34,48,49,102,5,34,14,103,9,9,48,1,34,48,49,102,5,34,14,103,9,9,48,12,51,48,49,102,5,51,14,8,9,9,48,1,51,48,49,102,5,51,14,8,9,9,48,12,18,48,49,102,5,18,39,9,9,9,48,1,18,48,49,102,5,18,39,9,9,9,0,12,46,0,3,102,5,46,6,103,8,9,0,1,46,0,3,102,5,46,6,103,8,9,58,12,57,58,59,102,5,57,6,103,9,9,58,1,57,58,59,102,5,57,6,103,9,9,585000.0,5337119.46311
140,48,12,51,48,49,102,5,51,14,65,9,9,48,1,51,48,49,102,5,51,14,65,9,9,48,12,15,48,49,102,5,15,6,75,9,9,48,1,15,48,49,102,5,15,6,75,9,9,0,12,46,0,3,102,5,46,6,75,65,9,0,1,46,0,3,102,5,46,6,75,65,9,58,12,54,58,59,102,5,54,6,75,9,9,58,1,54,58,59,102,5,54,6,75,9,9,114,12,57,114,115,102,5,57,6,75,9,9,114,1,57,114,115,102,5,57,6,75,9,9,254460.0,58988718.6072
147,118,12,30,118,32,119,120,30,14,8,9,9,118,1,30,118,32,119,120,30,14,8,9,9,118,12,40,118,32,119,120,40,14,9,9,9,118,1,40,118,32,119,120,40,14,9,9,9,118,12,40,118,32,119,120,40,6,86,9,9,118,1,40,118,32,119,120,40,6,86,9,9,118,12,30,118,32,119,120,30,6,64,9,9,97,12,96,97,97,119,120,96,6,121,9,9,97,1,96,97,97,119,120,96,6,121,9,9,118,1,30,118,32,119,120,30,6,64,9,9,43140.0,11745916.1207
