Id,Event_1,Event_2,Event_3,Event_4,Event_5,Event_6,Event_7,Event_8,Event_9,Event_10,Latest_concept:name,Latest_lifecycle:transition,Latest_org:resource,Latest_Activity,Latest_Resource,Latest_Work_Order_Qty,Latest_Part_Desc_,Latest_Worker_ID,Latest_Report_Type,Latest_Qty_Completed,Latest_Qty_Rejected,Latest_Qty_for_MRB,remainingTime,prediction
12,70,70,26,26,24,24,26,26,70,70,100,1,70,100,19,101,21,70,6,45,9,9,1795320.0,584787.731401
121,34,34,34,105,105,34,51,46,46,51,48,1,51,48,49,85,104,51,14,9,9,9,1910400.0,156875.391238
188,57,54,54,54,57,54,57,57,24,24,0,1,24,0,3,153,154,24,6,36,9,9,1827660.0,572326.77926
208,70,70,23,23,70,70,70,70,26,26,67,1,26,67,68,52,5,26,14,65,9,9,3257400.0,580885.103087
25,51,51,51,51,51,51,34,34,34,34,48,1,34,48,49,52,104,34,6,33,9,9,3034980.0,709525.419607
251,51,51,10,10,10,10,2,2,57,57,58,1,57,58,59,102,5,57,6,102,9,9,3816780.0,626521.2211
268,40,40,40,24,40,24,40,24,24,40,31,1,40,31,32,116,231,40,14,9,9,9,1799100.0,1077904.3378
269,40,40,40,42,40,40,42,40,40,40,31,1,40,31,32,85,29,40,6,102,9,9,1637280.0,613578.776782
32,18,18,51,51,34,34,51,51,15,15,48,1,15,48,49,151,37,15,14,8,9,9,2423700.0,753350.107268
34,26,26,23,23,23,23,10,10,26,42,0,12,42,0,3,82,37,42,6,82,9,9,1965360.0,873390.211519
37,40,70,70,40,40,40,18,18,233,233,31,1,233,31,32,162,29,233,6,187,9,9,1839600.0,1155010.74674
55,26,26,70,70,70,70,42,23,42,23,235,1,23,235,68,240,211,23,6,4,9,9,3241320.0,236778.237549
6,40,40,40,40,30,30,30,30,40,40,31,1,40,31,32,241,211,40,14,9,9,9,1633020.0,747737.564637
61,23,23,23,23,23,23,10,10,23,42,0,12,42,0,3,98,158,42,14,9,9,9,3559860.0,1147203.21382
63,34,34,34,34,51,2,2,51,18,10,11,12,10,11,13,243,5,10,6,78,9,9,4044720.0,-7301.04968547
70,23,23,23,23,23,23,23,23,23,23,17,12,23,17,19,47,250,23,6,33,9,9,3097620.0,817885.185531
78,51,51,51,51,10,10,34,34,51,51,48,1,51,48,49,251,5,51,6,27,9,9,2481960.0,493795.431521
9,70,70,23,23,23,23,24,24,57,57,114,1,57,114,115,82,21,57,6,9,9,9,1690920.0,557004.542505
177,57,57,139,139,139,139,142,142,2,2,87,1,2,87,3,138,5,2,6,9,9,9,6280500.0,5086699.94982
178,145,145,142,142,95,95,95,54,57,95,143,1,95,143,93,144,5,95,6,9,9,9,5053500.0,2634463.20396
18,10,10,10,10,51,51,10,10,10,10,11,12,10,11,13,150,5,10,14,9,9,9,6154860.0,1935771.38014
199,54,54,57,54,54,54,57,57,57,145,140,12,145,140,141,161,5,145,14,9,9,9,7498680.0,661985.393794
230,18,18,18,18,18,18,18,24,24,18,71,1,18,71,72,194,21,18,6,45,9,9,4483200.0,2882735.51471
123,51,51,10,10,10,10,15,15,15,15,11,1,15,11,13,106,5,15,6,80,9,9,251820.0,5990341.18689
126,51,51,15,15,10,42,10,10,42,10,11,1,10,11,13,4,37,10,6,16,9,9,481560.0,11588421.1522
156,70,70,70,70,70,70,70,70,70,70,17,1,70,17,19,133,134,70,6,9,9,9,1102740.0,6886955.22929
189,2,2,2,2,2,2,2,2,2,2,87,1,2,87,3,16,156,2,6,8,9,9,43800.0,7130844.07049
233,70,23,70,23,23,23,10,10,42,42,0,1,42,0,3,41,29,42,6,60,65,9,914940.0,55873134.6476
239,18,18,51,34,51,24,24,34,18,18,71,1,18,71,72,113,29,18,6,85,9,9,1203780.0,6075106.57932
254,57,57,57,57,57,57,54,54,24,24,87,1,24,87,3,220,21,24,6,9,9,9,152880.0,1851284.0999
255,40,40,24,24,57,57,24,24,96,96,97,1,96,97,97,98,61,96,6,98,9,9,0.0,9742780.15401
39,70,70,70,42,42,70,70,42,70,42,0,1,42,0,3,4,21,42,6,4,9,9,439020.0,14644340.9488
52,40,40,30,30,30,30,30,30,30,30,31,1,30,31,32,221,29,30,14,8,9,9,574860.0,4124542.7426
53,40,40,30,30,30,30,30,30,30,30,31,1,30,31,32,4,239,30,6,7,9,9,872460.0,9198004.42174
59,18,18,51,51,34,34,24,24,83,83,58,1,83,58,59,4,29,83,6,33,9,9,167820.0,10109306.1039
60,30,30,57,57,40,40,42,30,42,30,118,1,30,118,32,60,242,30,39,9,9,9,231660.0,12741392.9905
71,70,70,70,70,96,96,24,24,57,57,58,1,57,58,59,56,21,57,6,85,9,9,18360.0,9745156.24607
91,51,51,15,15,15,34,15,34,24,24,25,1,24,25,3,153,258,24,6,9,9,9,497820.0,3552835.52955
99,24,24,24,24,24,24,54,54,57,57,58,1,57,58,59,262,134,57,6,263,9,9,312480.0,6632829.14942
