Id,Event_1,Event_2,Event_3,Event_4,Event_5,Event_6,Event_7,Event_8,Event_9,Event_10,remainingTime,prediction
103,30,30,40,40,30,30,40,40,40,40,495180.0,723429.595311
104,34,34,34,34,51,46,51,46,46,46,7680.0,657702.470996
120,34,34,51,51,18,18,46,46,57,57,585000.0,777674.983376
13,23,23,23,23,26,26,96,96,24,24,14340.0,681549.243059
140,51,51,15,15,46,46,54,54,57,57,254460.0,624430.078543
148,124,124,127,127,42,42,130,130,42,42,49080.0,684101.116513
179,95,95,2,2,96,96,91,91,2,2,74400.0,371295.945106
210,34,34,18,18,18,18,34,34,18,18,930780.0,722556.750013
232,46,51,46,95,51,95,91,91,91,91,594240.0,537735.671962
249,40,40,40,40,42,42,40,40,40,40,566820.0,678002.922432
42,18,18,18,18,24,24,15,15,30,30,452220.0,730957.00425
56,30,30,40,96,96,40,40,40,24,24,16380.0,255275.279514
68,245,245,248,248,42,42,96,96,42,42,0.0,773227.062529
71,70,70,70,70,96,96,24,24,57,57,18360.0,540665.67912
72,30,30,30,30,24,24,54,54,57,57,179520.0,729529.470061
90,18,18,15,15,34,34,10,10,10,18,270120.0,730475.303581
99,24,24,24,24,24,24,54,54,57,57,312480.0,726010.240662
178,145,145,142,142,95,95,95,54,57,95,5053500.0,12232399.6328
18,10,10,10,10,51,51,10,10,10,10,6154860.0,5868200.40593
198,51,51,34,34,34,34,42,51,51,42,6067860.0,4245164.6783
230,18,18,18,18,18,18,18,24,24,18,4483200.0,4684151.90104
237,24,24,15,15,24,24,24,24,57,54,4849020.0,5545414.67299
259,70,70,70,70,26,26,18,18,70,70,6107400.0,5805768.87327
266,2,2,51,51,10,10,51,2,51,51,7296780.0,12140071.572
267,15,15,18,18,18,18,15,24,24,15,7214880.0,4262254.51603
67,51,51,51,51,10,10,10,10,15,15,4590900.0,5603960.98102
109,10,15,10,15,24,34,34,34,24,34,1707420.0,2591349.52857
111,10,10,10,10,15,15,51,51,10,10,1210260.0,2885857.56054
122,51,51,51,51,51,51,51,2,2,51,1933440.0,1916627.95761
145,30,30,40,40,30,30,30,30,24,24,1786380.0,2759646.61809
17,30,30,30,30,30,30,30,137,30,30,2732580.0,4541952.55872
192,124,124,42,42,26,26,42,26,42,26,1574580.0,2164001.77658
206,24,24,57,57,57,57,95,95,95,95,1242720.0,3070703.57179
239,18,18,51,34,51,24,24,34,18,18,1203780.0,3270308.94522
256,40,40,10,10,18,18,42,42,40,40,3002400.0,2735725.13926
272,23,23,70,70,70,70,23,24,23,24,1390740.0,2909818.20676
41,23,23,23,24,23,23,24,23,70,70,1606440.0,2712070.39301
47,30,30,30,24,30,30,24,30,30,30,1386060.0,2912416.2859
78,51,51,51,51,10,10,34,34,51,51,2481960.0,2588117.42736
