Id,concept:name_1,lifecycle:transition_1,org:resource_1,Activity_1,Resource_1,Work_Order_Qty_1,Part_Desc__1,Worker_ID_1,Report_Type_1,Qty_Completed_1,Qty_Rejected_1,Qty_for_MRB_1,concept:name_2,lifecycle:transition_2,org:resource_2,Activity_2,Resource_2,Work_Order_Qty_2,Part_Desc__2,Worker_ID_2,Report_Type_2,Qty_Completed_2,Qty_Rejected_2,Qty_for_MRB_2,concept:name_3,lifecycle:transition_3,org:resource_3,Activity_3,Resource_3,Work_Order_Qty_3,Part_Desc__3,Worker_ID_3,Report_Type_3,Qty_Completed_3,Qty_Rejected_3,Qty_for_MRB_3,concept:name_4,lifecycle:transition_4,org:resource_4,Activity_4,Resource_4,Work_Order_Qty_4,Part_Desc__4,Worker_ID_4,Report_Type_4,Qty_Completed_4,Qty_Rejected_4,Qty_for_MRB_4,concept:name_5,lifecycle:transition_5,org:resource_5,Activity_5,Resource_5,Work_Order_Qty_5,Part_Desc__5,Worker_ID_5,Report_Type_5,Qty_Completed_5,Qty_Rejected_5,Qty_for_MRB_5,concept:name_6,lifecycle:transition_6,org:resource_6,Activity_6,Resource_6,Work_Order_Qty_6,Part_Desc__6,Worker_ID_6,Report_Type_6,Qty_Completed_6,Qty_Rejected_6,Qty_for_MRB_6,concept:name_7,lifecycle:transition_7,org:resource_7,Activity_7,Resource_7,Work_Order_Qty_7,Part_Desc__7,Worker_ID_7,Report_Type_7,Qty_Completed_7,Qty_Rejected_7,Qty_for_MRB_7,concept:name_8,lifecycle:transition_8,org:resource_8,Activity_8,Resource_8,Work_Order_Qty_8,Part_Desc__8,Worker_ID_8,Report_Type_8,Qty_Completed_8,Qty_Rejected_8,Qty_for_MRB_8,concept:name_9,lifecycle:transition_9,org:resource_9,Activity_9,Resource_9,Work_Order_Qty_9,Part_Desc__9,Worker_ID_9,Report_Type_9,Qty_Completed_9,Qty_Rejected_9,Qty_for_MRB_9,concept:name_10,lifecycle:transition_10,org:resource_10,Activity_10,Resource_10,Work_Order_Qty_10,Part_Desc__10,Worker_ID_10,Report_Type_10,Qty_Completed_10,Qty_Rejected_10,Qty_for_MRB_10,remainingTime,prediction
178,146,12,145,146,147,144,5,145,6,64,9,9,146,1,145,146,147,144,5,145,6,64,9,9,140,12,142,140,141,144,5,142,14,9,9,9,140,1,142,140,141,144,5,142,14,9,9,9,143,12,95,143,93,144,5,95,6,9,9,9,143,1,95,143,93,144,5,95,6,9,9,9,143,12,95,143,93,144,5,95,6,9,9,9,114,12,54,114,115,144,5,54,6,9,9,9,114,12,57,114,115,144,5,57,6,9,9,9,143,1,95,143,93,144,5,95,6,9,9,9,5053500.0,6581295.6
201,167,12,46,167,3,82,166,46,6,52,9,9,0,12,46,0,3,82,166,46,6,52,9,9,167,1,46,167,3,82,166,46,6,52,9,9,0,1,46,0,3,82,166,46,6,52,9,9,118,12,30,118,132,82,166,30,6,9,9,9,118,1,30,118,132,82,166,30,6,9,9,9,118,12,30,118,132,82,166,30,14,8,9,9,118,1,30,118,132,82,166,30,14,8,9,9,118,12,30,118,132,82,166,30,6,65,9,9,118,1,30,118,132,82,166,30,6,65,9,9,4001880.0,5563070.4
23,193,12,51,193,49,52,104,51,14,9,9,9,193,1,51,193,49,52,104,51,14,9,9,9,193,12,15,193,49,52,104,15,6,52,9,9,193,1,15,193,49,52,104,15,6,52,9,9,48,12,34,48,49,52,104,34,14,9,9,9,48,1,34,48,49,52,104,34,14,9,9,9,25,12,46,25,3,52,104,46,6,52,9,9,0,12,46,0,3,52,104,46,6,85,8,9,48,12,51,48,49,52,104,51,6,52,9,9,0,1,46,0,3,52,104,46,6,85,8,9,3110760.0,5794293.6
234,25,12,42,25,3,119,199,42,6,9,9,9,25,1,42,25,3,119,199,42,6,9,9,9,25,12,42,25,3,119,199,42,6,121,8,9,25,1,42,25,3,119,199,42,6,121,8,9,197,12,127,197,198,119,199,127,6,9,9,9,197,1,127,197,198,119,199,127,6,9,9,9,197,12,200,197,198,119,199,200,6,9,9,9,197,1,200,197,198,119,199,200,6,9,9,9,197,12,127,197,198,119,199,127,6,9,9,9,197,1,127,197,198,119,199,127,6,9,9,9,4727160.0,6454052.4
24,48,12,10,48,49,52,104,10,14,8,9,9,48,1,10,48,49,52,104,10,14,8,9,9,48,12,10,48,49,52,104,10,6,85,9,9,48,1,10,48,49,52,104,10,6,85,9,9,0,12,46,0,3,52,104,46,6,85,8,9,0,1,46,0,3,52,104,46,6,85,8,9,58,12,54,58,59,52,104,54,6,85,9,9,58,1,54,58,59,52,104,54,6,85,9,9,208,12,207,208,209,52,104,207,6,85,9,9,114,12,95,114,115,52,104,95,6,85,9,9,3134880.0,6354769.2
245,17,12,23,17,19,102,5,23,14,9,9,9,17,12,23,17,19,102,5,23,39,9,9,9,17,1,23,17,19,102,5,23,39,9,9,9,0,12,2,0,3,102,5,2,14,9,9,9,0,1,2,0,3,102,5,2,14,9,9,9,17,1,23,17,19,102,5,23,14,9,9,9,17,12,23,17,19,102,5,23,14,8,9,9,17,1,23,17,19,102,5,23,14,8,9,9,17,12,23,17,19,102,5,23,6,103,9,9,17,1,23,17,19,102,5,23,6,103,9,9,2637120.0,5773063.2
25,48,12,51,48,49,52,104,51,14,103,9,9,48,1,51,48,49,52,104,51,14,103,9,9,48,12,51,48,49,52,104,51,6,7,9,9,48,1,51,48,49,52,104,51,6,7,9,9,48,12,51,48,49,52,104,51,14,9,9,9,48,1,51,48,49,52,104,51,14,9,9,9,48,12,34,48,49,52,104,34,14,8,9,9,48,1,34,48,49,52,104,34,14,8,9,9,48,12,34,48,49,52,104,34,6,33,9,9,48,1,34,48,49,52,104,34,6,33,9,9,3034980.0,5527351.2
251,48,12,51,48,49,102,5,51,14,9,9,9,48,1,51,48,49,102,5,51,14,9,9,9,48,12,10,48,49,102,5,10,14,8,9,9,48,1,10,48,49,102,5,10,14,8,9,9,48,12,10,48,49,102,5,10,6,103,9,9,48,1,10,48,49,102,5,10,6,103,9,9,0,12,2,0,3,102,5,2,6,102,9,9,0,1,2,0,3,102,5,2,6,102,9,9,58,12,57,58,59,102,5,57,6,102,9,9,58,1,57,58,59,102,5,57,6,102,9,9,3816780.0,5362527.6
256,118,12,40,118,132,69,222,40,6,82,9,9,118,1,40,118,132,69,222,40,6,82,9,9,118,12,10,118,132,69,222,10,6,223,9,9,118,1,10,118,132,69,222,10,6,223,9,9,118,12,18,118,132,69,222,18,6,116,9,9,118,1,18,118,132,69,222,18,6,116,9,9,25,12,42,25,3,69,222,42,6,69,9,9,25,1,42,25,3,69,222,42,6,69,9,9,118,12,40,118,32,69,222,40,14,9,9,9,118,1,40,118,32,69,222,40,14,9,9,9,3002400.0,5756989.2
26,11,12,15,11,13,52,104,15,14,9,9,9,11,1,15,11,13,52,104,15,14,9,9,9,11,12,18,11,13,52,104,18,14,8,9,9,11,1,18,11,13,52,104,18,14,8,9,9,11,12,18,11,13,52,104,18,39,9,9,9,11,1,18,11,13,52,104,18,39,9,9,9,11,12,10,11,13,52,104,10,14,9,9,9,11,1,10,11,13,52,104,10,14,9,9,9,11,12,10,11,13,52,104,10,6,85,9,9,11,1,10,11,13,52,104,10,6,85,9,9,3537000.0,5476190.4
