Id,Event_1,Event_2,Event_3,Event_4,Event_5,Event_6,Event_7,Event_8,Event_9,Event_10,Latest_concept:name,Latest_lifecycle:transition,Latest_org:resource,Latest_Activity,Latest_Resource,Latest_Work_Order_Qty,Latest_Part_Desc_,Latest_Worker_ID,Latest_Report_Type,Latest_Qty_Completed,Latest_Qty_Rejected,Latest_Qty_for_MRB,remainingTime,prediction
18,10,10,10,10,51,51,10,10,10,10,11,12,10,11,13,150,5,10,14,9,9,9,6154860.0,2979096.0
201,46,46,46,46,30,30,30,30,30,30,118,1,30,118,132,82,166,30,6,65,9,9,4001880.0,2047604.4
230,18,18,18,18,18,18,18,24,24,18,71,1,18,71,72,194,21,18,6,45,9,9,4483200.0,2499082.8
238,18,18,34,34,34,34,18,18,15,15,11,12,15,11,13,206,63,15,6,9,9,9,3864300.0,2352474.0
260,34,34,34,34,34,34,18,18,34,34,71,1,34,71,72,225,29,34,6,86,9,9,4551300.0,1993455.6
266,2,2,51,51,10,10,51,2,51,51,48,12,51,48,49,229,5,51,14,8,9,9,7296780.0,2781303.6
38,15,15,51,51,10,10,10,10,10,10,11,1,10,11,13,174,5,10,14,9,9,9,4795980.0,2999863.2
93,40,40,40,40,30,30,30,30,30,30,118,1,30,118,32,85,156,30,6,35,9,9,3744300.0,1971280.8
100,30,30,34,34,30,30,30,30,24,24,0,1,24,0,3,28,29,24,6,28,9,9,2389980.0,903930.0
12,70,70,26,26,24,24,26,26,70,70,100,1,70,100,19,101,21,70,6,45,9,9,1795320.0,548624.4
145,30,30,40,40,30,30,30,30,24,24,25,1,24,25,3,116,117,24,6,116,9,9,1786380.0,597816.0
17,30,30,30,30,30,30,30,137,30,30,118,12,30,118,132,69,89,30,6,102,9,9,2732580.0,547723.2
19,15,15,2,2,10,10,2,2,57,57,58,1,57,58,59,47,5,57,6,47,9,9,1906380.0,644814.0
23,51,51,15,15,34,34,46,46,51,46,0,1,46,0,3,52,104,46,6,85,8,9,3110760.0,477619.2
32,18,18,51,51,34,34,51,51,15,15,48,1,15,48,49,151,37,15,14,8,9,9,2423700.0,618064.8
47,30,30,30,24,30,30,24,30,30,30,31,1,30,31,32,4,29,30,14,9,9,9,1386060.0,994279.2
62,30,30,30,30,30,30,30,30,30,30,31,1,30,31,32,7,29,30,6,16,9,9,2397360.0,911983.2
70,23,23,23,23,23,23,23,23,23,23,17,12,23,17,19,47,250,23,6,33,9,9,3097620.0,883683.6
77,70,70,70,70,23,23,23,23,70,70,17,1,70,17,19,98,168,70,6,75,9,9,1476120.0,647642.4
9,70,70,23,23,23,23,24,24,57,57,114,1,57,114,115,82,21,57,6,9,9,9,1690920.0,659283.6
102,30,30,30,30,40,40,40,42,42,40,31,1,40,31,32,41,21,40,14,9,9,9,1241280.0,5999036.4
124,10,10,10,10,51,51,15,15,42,42,0,1,42,0,3,85,29,42,6,85,9,9,384780.0,6524793.6
135,34,34,51,83,83,51,34,34,34,34,48,1,34,48,49,73,37,34,14,9,9,9,635400.0,5881102.8
140,51,51,15,15,46,46,54,54,57,57,114,1,57,114,115,102,5,57,6,75,9,9,254460.0,5879560.8
153,91,91,91,91,42,42,42,42,96,96,97,1,96,97,97,131,37,96,6,103,9,9,0.0,6294153.6
156,70,70,70,70,70,70,70,70,70,70,17,1,70,17,19,133,134,70,6,9,9,9,1102740.0,6287211.6
218,184,184,188,188,188,188,184,184,42,42,87,1,42,87,3,183,172,42,6,9,9,9,350040.0,6117855.6
241,51,51,51,51,15,15,42,18,42,18,71,1,18,71,72,113,29,18,14,8,9,9,310740.0,5709198.0
242,18,18,18,18,15,15,34,34,18,18,71,1,18,71,72,98,21,18,6,8,9,9,668940.0,5747859.6
249,40,40,40,40,42,42,40,40,40,40,31,1,40,31,32,213,29,40,6,214,9,9,566820.0,6317000.4
39,70,70,70,42,42,70,70,42,70,42,0,1,42,0,3,4,21,42,6,4,9,9,439020.0,6248036.4
42,18,18,18,18,24,24,15,15,30,30,71,1,30,71,72,69,21,30,6,103,9,9,452220.0,6331282.8
52,40,40,30,30,30,30,30,30,30,30,31,1,30,31,32,221,29,30,14,8,9,9,574860.0,5912966.4
53,40,40,30,30,30,30,30,30,30,30,31,1,30,31,32,4,239,30,6,7,9,9,872460.0,5309626.8
56,30,30,40,96,96,40,40,40,24,24,25,1,24,25,3,41,21,24,6,41,9,9,16380.0,6210590.4
7,15,15,10,10,15,15,51,51,10,10,11,1,10,11,13,16,211,10,14,9,9,9,275760.0,5889259.2
83,51,51,51,51,15,15,34,34,51,42,0,12,42,0,3,177,37,42,6,9,9,9,376800.0,6192866.4
89,10,10,15,15,34,34,34,34,10,10,48,1,10,48,49,152,256,10,6,62,9,9,257340.0,5469060.0
91,51,51,15,15,15,34,15,34,24,24,25,1,24,25,3,153,258,24,6,9,9,9,497820.0,5664751.2
