Id,concept:name_1,lifecycle:transition_1,org:resource_1,Activity_1,Resource_1,Work_Order_Qty_1,Part_Desc__1,Worker_ID_1,Report_Type_1,Qty_Completed_1,Qty_Rejected_1,Qty_for_MRB_1,concept:name_2,lifecycle:transition_2,org:resource_2,Activity_2,Resource_2,Work_Order_Qty_2,Part_Desc__2,Worker_ID_2,Report_Type_2,Qty_Completed_2,Qty_Rejected_2,Qty_for_MRB_2,concept:name_3,lifecycle:transition_3,org:resource_3,Activity_3,Resource_3,Work_Order_Qty_3,Part_Desc__3,Worker_ID_3,Report_Type_3,Qty_Completed_3,Qty_Rejected_3,Qty_for_MRB_3,concept:name_4,lifecycle:transition_4,org:resource_4,Activity_4,Resource_4,Work_Order_Qty_4,Part_Desc__4,Worker_ID_4,Report_Type_4,Qty_Completed_4,Qty_Rejected_4,Qty_for_MRB_4,concept:name_5,lifecycle:transition_5,org:resource_5,Activity_5,Resource_5,Work_Order_Qty_5,Part_Desc__5,Worker_ID_5,Report_Type_5,Qty_Completed_5,Qty_Rejected_5,Qty_for_MRB_5,concept:name_6,lifecycle:transition_6,org:resource_6,Activity_6,Resource_6,Work_Order_Qty_6,Part_Desc__6,Worker_ID_6,Report_Type_6,Qty_Completed_6,Qty_Rejected_6,Qty_for_MRB_6,concept:name_7,lifecycle:transition_7,org:resource_7,Activity_7,Resource_7,Work_Order_Qty_7,Part_Desc__7,Worker_ID_7,Report_Type_7,Qty_Completed_7,Qty_Rejected_7,Qty_for_MRB_7,concept:name_8,lifecycle:transition_8,org:resource_8,Activity_8,Resource_8,Work_Order_Qty_8,Part_Desc__8,Worker_ID_8,Report_Type_8,Qty_Completed_8,Qty_Rejected_8,Qty_for_MRB_8,concept:name_9,lifecycle:transition_9,org:resource_9,Activity_9,Resource_9,Work_Order_Qty_9,Part_Desc__9,Worker_ID_9,Report_Type_9,Qty_Completed_9,Qty_Rejected_9,Qty_for_MRB_9,concept:name_10,lifecycle:transition_10,org:resource_10,Activity_10,Resource_10,Work_Order_Qty_10,Part_Desc__10,Worker_ID_10,Report_Type_10,Qty_Completed_10,Qty_Rejected_10,Qty_for_MRB_10,remainingTime,prediction
106,31,12,40,31,32,56,29,40,14,9,9,9,31,1,40,31,32,56,29,40,14,9,9,9,31,12,30,31,32,56,29,30,6,56,9,9,31,1,30,31,32,56,29,30,6,56,9,9,0,12,24,0,3,56,29,24,6,56,9,9,0,1,24,0,3,56,29,24,6,56,9,9,58,12,57,58,59,56,29,57,6,56,9,9,58,1,57,58,59,56,29,57,6,56,9,9,53,12,54,53,55,56,29,54,6,56,9,9,53,1,54,53,55,56,29,54,6,56,9,9,251100.0,3167950.0
111,76,12,10,76,13,77,5,10,14,8,9,9,76,1,10,76,13,77,5,10,14,8,9,9,76,12,10,76,13,77,5,10,6,78,9,9,76,1,10,76,13,77,5,10,6,78,9,9,76,12,15,76,13,77,5,15,6,79,9,9,76,1,15,76,13,77,5,15,6,79,9,9,76,12,51,76,13,77,5,51,6,80,9,9,76,1,51,76,13,77,5,51,6,80,9,9,76,12,10,76,13,77,5,10,6,69,9,9,76,1,10,76,13,77,5,10,6,69,9,9,1210260.0,2933430.0
114,71,12,18,71,72,82,29,18,14,8,9,9,71,1,18,71,72,82,29,18,14,8,9,9,0,12,24,0,3,82,29,24,6,9,9,9,71,12,83,71,72,82,29,83,14,9,9,9,71,1,83,71,72,82,29,83,14,9,9,9,0,1,24,0,3,82,29,24,6,9,9,9,71,12,18,71,72,82,29,18,6,50,9,9,71,1,18,71,72,82,29,18,6,50,9,9,0,12,24,0,3,82,29,24,6,50,9,9,0,1,24,0,3,82,29,24,6,50,9,9,197340.0,2422733.5
135,48,12,34,48,49,73,37,34,14,8,9,9,48,1,34,48,49,73,37,34,14,8,9,9,48,12,51,48,49,73,37,51,14,9,9,9,48,12,83,48,49,73,37,83,14,9,9,9,48,1,83,48,49,73,37,83,14,9,9,9,48,1,51,48,49,73,37,51,14,9,9,9,48,12,34,48,49,73,37,34,14,9,9,9,48,1,34,48,49,73,37,34,14,9,9,9,48,12,34,48,49,73,37,34,14,9,9,9,48,1,34,48,49,73,37,34,14,9,9,9,635400.0,2440842.0
153,92,12,91,92,93,131,37,91,14,9,9,9,92,1,91,92,93,131,37,91,14,9,9,9,92,12,91,92,93,131,37,91,6,103,9,9,92,1,91,92,93,131,37,91,6,103,9,9,87,12,42,87,3,131,37,42,6,9,9,9,87,1,42,87,3,131,37,42,6,9,9,9,87,12,42,87,3,131,37,42,6,103,9,9,87,1,42,87,3,131,37,42,6,103,9,9,97,12,96,97,97,131,37,96,6,103,9,9,97,1,96,97,97,131,37,96,6,103,9,9,0.0,2103559.75
189,0,12,2,0,3,16,156,2,6,9,8,9,0,1,2,0,3,16,156,2,6,9,8,9,0,12,2,0,3,16,156,2,6,9,8,9,0,1,2,0,3,16,156,2,6,9,8,9,0,12,2,0,3,16,156,2,6,9,8,9,0,1,2,0,3,16,156,2,6,9,8,9,87,12,2,87,3,16,156,2,6,9,9,9,87,1,2,87,3,16,156,2,6,9,9,9,87,12,2,87,3,16,156,2,6,8,9,9,87,1,2,87,3,16,156,2,6,8,9,9,43800.0,1626333.0
190,97,12,96,97,97,113,157,96,6,33,9,9,97,1,96,97,97,113,157,96,6,33,9,9,87,12,46,87,3,113,157,46,6,33,9,9,87,1,46,87,3,113,157,46,6,33,9,9,0,12,46,0,3,113,157,46,6,9,9,9,0,1,46,0,3,113,157,46,6,9,9,9,87,12,46,87,3,113,157,46,6,9,9,9,87,1,46,87,3,113,157,46,6,9,9,9,0,12,46,0,3,113,157,46,6,9,9,9,0,1,46,0,3,113,157,46,6,9,9,9,0.0,2486835.0
203,0,12,24,0,3,102,168,24,6,102,9,9,0,1,24,0,3,102,168,24,6,102,9,9,58,12,57,58,59,102,168,57,6,102,9,9,58,1,57,58,59,102,168,57,6,102,9,9,114,12,54,114,115,102,168,54,6,9,9,9,114,1,54,114,115,102,168,54,6,9,9,9,53,12,57,53,55,102,168,57,6,102,9,9,53,1,57,53,55,102,168,57,6,102,9,9,114,12,54,114,115,102,168,54,6,102,9,9,114,1,54,114,115,102,168,54,6,102,9,9,80700.0,2843225.0
231,114,12,57,114,115,82,5,57,6,50,9,9,114,1,57,114,115,82,5,57,6,50,9,9,140,12,142,140,141,82,5,142,14,8,9,9,140,1,142,140,141,82,5,142,14,8,9,9,140,12,142,140,141,82,5,142,6,65,9,9,140,1,142,140,141,82,5,142,6,65,9,9,140,12,139,140,141,82,5,139,6,4,9,9,140,12,91,140,141,82,5,91,6,109,9,9,140,1,139,140,141,82,5,139,6,4,9,9,140,1,91,140,141,82,5,91,6,109,9,9,617820.0,2343048.0
242,71,12,18,71,72,98,21,18,14,65,9,9,71,1,18,71,72,98,21,18,14,65,9,9,71,12,18,71,72,98,21,18,6,75,9,9,71,1,18,71,72,98,21,18,6,75,9,9,71,12,15,71,72,98,21,15,6,103,9,9,71,1,15,71,72,98,21,15,6,103,9,9,71,12,34,71,72,98,21,34,6,27,9,9,71,1,34,71,72,98,21,34,6,27,9,9,71,12,18,71,72,98,21,18,6,8,9,9,71,1,18,71,72,98,21,18,6,8,9,9,668940.0,2879120.25
