Id,Event_1,Event_2,Event_3,Event_4,Event_5,Event_6,Event_7,Event_8,Event_9,Event_10,Latest_concept:name,Latest_lifecycle:transition,Latest_org:resource,Latest_Activity,Latest_Resource,Latest_Work_Order_Qty,Latest_Part_Desc_,Latest_Worker_ID,Latest_Report_Type,Latest_Qty_Completed,Latest_Qty_Rejected,Latest_Qty_for_MRB,remainingTime,prediction
271,10,10,10,10,10,10,51,46,51,46,0,1,46,0,3,135,5,46,6,9,9,9,6600240.0,1904232.25
10,23,24,23,24,26,26,26,26,18,18,17,1,18,17,19,20,21,18,6,22,9,9,1362480.0,4991926.5
101,30,30,30,30,30,30,30,30,18,18,31,1,18,31,32,36,37,18,6,27,9,9,1017120.0,4968873.0
103,30,30,40,40,30,30,40,40,40,40,31,1,40,31,32,43,44,40,6,45,9,9,495180.0,6414836.0
106,40,40,30,30,24,24,57,57,54,54,53,1,54,53,55,56,29,54,6,56,9,9,251100.0,6668547.0
13,23,23,23,23,26,26,96,96,24,24,25,1,24,25,3,82,21,24,6,82,9,9,14340.0,6787970.0
148,124,124,127,127,42,42,130,130,42,42,122,1,42,122,3,123,120,42,6,8,9,9,49080.0,6653979.5
155,40,40,40,40,40,40,40,24,24,40,31,1,40,31,32,108,29,40,6,116,9,9,379260.0,6308728.0
200,105,105,95,95,46,46,46,46,96,96,97,1,96,97,97,62,5,96,6,8,9,9,1296900.0,5994755.0
211,24,24,142,142,145,145,54,54,57,57,114,1,57,114,115,177,21,57,6,178,9,9,458940.0,5832193.0
215,40,40,40,40,145,145,24,24,24,24,0,1,24,0,3,182,29,24,6,182,9,9,944880.0,5015987.5
228,40,40,40,40,40,40,24,24,24,24,0,1,24,0,3,4,29,24,6,9,9,9,377760.0,5857581.5
242,18,18,18,18,15,15,34,34,18,18,71,1,18,71,72,98,21,18,6,8,9,9,668940.0,5096066.5
249,40,40,40,40,42,42,40,40,40,40,31,1,40,31,32,213,29,40,6,214,9,9,566820.0,5652586.5
27,40,40,40,40,40,40,40,40,40,40,31,1,40,31,32,85,29,40,14,9,9,9,425760.0,6288661.0
273,23,23,23,26,26,24,23,24,57,57,53,1,57,53,55,85,21,57,6,85,9,9,1483680.0,6037435.0
30,34,2,2,34,83,83,51,51,15,2,0,12,2,0,3,62,5,2,6,62,9,9,2400.0,6043668.0
45,18,18,34,34,34,34,24,24,40,40,238,1,40,238,32,60,21,40,6,9,9,9,144660.0,5074940.0
59,18,18,51,51,34,34,24,24,83,83,58,1,83,58,59,4,29,83,6,33,9,9,167820.0,5759432.0
85,18,18,18,18,34,105,40,34,105,40,71,1,40,71,72,94,29,40,6,4,9,9,15960.0,5827971.0
91,51,51,15,15,15,34,15,34,24,24,25,1,24,25,3,153,258,24,6,9,9,9,497820.0,5307727.5
96,42,42,42,42,54,54,54,83,54,57,114,12,57,114,115,152,29,57,6,135,9,9,79200.0,6281829.0
110,18,18,34,2,2,34,34,34,18,18,71,1,18,71,72,73,29,18,6,74,9,9,2433660.0,1033054.5
188,57,54,54,54,57,54,57,57,24,24,0,1,24,0,3,153,154,24,6,36,9,9,1827660.0,467364.21875
19,15,15,2,2,10,10,2,2,57,57,58,1,57,58,59,47,5,57,6,47,9,9,1906380.0,158036.875
201,46,46,46,46,30,30,30,30,30,30,118,1,30,118,132,82,166,30,6,65,9,9,4001880.0,358387.28125
208,70,70,23,23,70,70,70,70,26,26,67,1,26,67,68,52,5,26,14,65,9,9,3257400.0,316471.78125
24,10,10,10,10,46,46,54,54,207,95,114,12,95,114,115,52,104,95,6,85,9,9,3134880.0,496536.6875
256,40,40,10,10,18,18,42,42,40,40,118,1,40,118,32,69,222,40,14,9,9,9,3002400.0,437679.59375
26,15,15,18,18,18,18,10,10,10,10,11,1,10,11,13,52,104,10,6,85,9,9,3537000.0,784074.9375
28,18,18,18,18,15,24,24,15,24,24,0,1,24,0,3,144,29,24,6,9,9,9,3347040.0,672677.4375
31,10,10,10,10,10,10,34,34,2,2,0,1,2,0,3,74,5,2,6,86,8,9,2700180.0,580526.9375
32,18,18,51,51,34,34,51,51,15,15,48,1,15,48,49,151,37,15,14,8,9,9,2423700.0,782629.5
33,18,18,24,18,24,18,18,18,15,15,71,1,15,71,72,74,29,15,6,82,9,9,1934400.0,750983.75
55,26,26,70,70,70,70,42,23,42,23,235,1,23,235,68,240,211,23,6,4,9,9,3241320.0,198249.921875
70,23,23,23,23,23,23,23,23,23,23,17,12,23,17,19,47,250,23,6,33,9,9,3097620.0,774692.75
78,51,51,51,51,10,10,34,34,51,51,48,1,51,48,49,251,5,51,6,27,9,9,2481960.0,280527.6875
93,40,40,40,40,30,30,30,30,30,30,118,1,30,118,32,85,156,30,6,35,9,9,3744300.0,328141.0625
95,34,34,10,10,24,15,24,15,34,34,11,1,34,11,13,259,154,34,6,102,9,9,2617980.0,229286.109375
