Id,Event_1,Event_2,Event_3,Event_4,Event_5,Event_6,Event_7,Event_8,Event_9,Event_10,remainingTime,prediction
1,10,10,10,10,15,15,15,15,2,2,1419000.0,2991252.0
10,23,24,23,24,26,26,26,26,18,18,1362480.0,2329779.0
103,30,30,40,40,30,30,40,40,40,40,495180.0,1953922.25
11,26,26,70,42,70,70,42,70,26,26,743580.0,2197135.0
127,18,18,18,18,15,15,34,34,24,24,1293480.0,1991686.5
135,34,34,51,83,83,51,34,34,34,34,635400.0,2303071.25
138,15,15,10,10,10,10,15,15,51,51,74040.0,2156496.75
140,51,51,15,15,46,46,54,54,57,57,254460.0,3003249.25
174,34,34,18,42,18,18,42,18,83,83,923280.0,1937286.5
192,124,124,42,42,26,26,42,26,42,26,1574580.0,2430224.0
200,105,105,95,95,46,46,46,46,96,96,1296900.0,2891963.0
209,18,18,40,40,40,40,51,51,18,18,670440.0,2509925.0
215,40,40,40,40,145,145,24,24,24,24,944880.0,2872697.0
243,18,18,34,42,34,34,42,34,24,24,1029180.0,2627220.5
246,70,70,23,23,70,70,42,42,54,54,398340.0,2900783.5
248,23,23,23,23,70,70,54,54,46,46,692040.0,2913904.5
269,40,40,40,42,40,40,42,40,40,40,1637280.0,2024885.125
272,23,23,70,70,70,70,23,24,23,24,1390740.0,2075455.5
3,15,2,15,2,10,10,2,2,57,57,1528320.0,2089315.875
30,34,2,2,34,83,83,51,51,15,2,2400.0,2718216.5
36,34,34,51,51,10,10,10,10,46,34,1484400.0,2526515.5
45,18,18,34,34,34,34,24,24,40,40,144660.0,1743638.0
53,40,40,30,30,30,30,30,30,30,30,872460.0,3508103.0
59,18,18,51,51,34,34,24,24,83,83,167820.0,1738024.375
65,23,23,24,24,70,70,23,23,18,18,21960.0,2947405.5
66,30,30,30,30,24,24,57,57,57,57,847680.0,2795976.75
7,15,15,10,10,15,15,51,51,10,10,275760.0,2854229.5
9,70,70,23,23,23,23,24,24,57,57,1690920.0,1742256.0
100,30,30,34,34,30,30,30,30,24,24,2389980.0,925037.375
121,34,34,34,105,105,34,51,46,46,51,1910400.0,166252.546875
17,30,30,30,30,30,30,30,137,30,30,2732580.0,884149.0625
23,51,51,15,15,34,34,46,46,51,46,3110760.0,539093.8125
55,26,26,70,70,70,70,42,23,42,23,3241320.0,162128.390625
61,23,23,23,23,23,23,10,10,23,42,3559860.0,442106.03125
87,15,15,10,10,10,24,10,24,40,51,3100080.0,289881.65625
178,145,145,142,142,95,95,95,54,57,95,5053500.0,6539149.5
18,10,10,10,10,51,51,10,10,10,10,6154860.0,5055887.5
185,26,26,91,91,96,96,96,96,42,42,7338420.0,6820827.5
38,15,15,51,51,10,10,10,10,10,10,4795980.0,6330555.5
