Run,Rmse,Mae
xgboost_simpleIndex_Kmeans_clustering,1176.7227393880007,1034.7108255912162
randomforest_simpleIndex_Kmeans_clustering,537.8876544308237,331.25581981981981
linear_simpleIndex_Kmeans_clustering,1498.337039528776,1349.4560233273198
xgboost_simpleIndex_None_clustering,496.0685113939718,357.14750671569595
randomforest_simpleIndex_None_clustering,508.1713789039197,383.36374774774782
linear_simpleIndex_None_clustering,567.856053795495,397.72842982197454
xgboost_frequency_Kmeans_clustering,246.01666397933812,173.402283335276
randomforest_frequency_Kmeans_clustering,515.8435908711922,477.59099999999995
linear_frequency_Kmeans_clustering,1634.542586357936,1435.5746374050827
xgboost_frequency_None_clustering,661.8501873528036,471.50130806587845
randomforest_frequency_None_clustering,468.55898211095166,318.82225525525519
linear_frequency_None_clustering,550.1841026885085,395.02820172081829
xgboost_indexLatestPayload_Kmeans_clustering,371.3786411219441,225.42316890132733
randomforest_indexLatestPayload_Kmeans_clustering,874.7830248123616,829.65345045045058
linear_indexLatestPayload_Kmeans_clustering,1753.3136625978414,1463.6314490283787
xgboost_indexLatestPayload_None_clustering,531.3058593768083,375.30582817192197
randomforest_indexLatestPayload_None_clustering,382.19392960971595,295.18041441441443
linear_indexLatestPayload_None_clustering,638.0408210374045,435.41902806756764
xgboost_boolean_Kmeans_clustering,274.3449731144879,200.61616653762763
randomforest_boolean_Kmeans_clustering,1291.876154510937,1110.3862589448199
linear_boolean_Kmeans_clustering,1143.927433228015,987.37522807569837
xgboost_boolean_None_clustering,478.8794067560196,362.74510513441913
randomforest_boolean_None_clustering,617.1974866918807,416.54705017291292
linear_boolean_None_clustering,443.0717613998896,336.09942072047295
xgboost_complexIndex_Kmeans_clustering,159.30178646578526,113.51048658033031
randomforest_complexIndex_Kmeans_clustering,279.344479651938,219.40972972972972
linear_complexIndex_Kmeans_clustering,910.2164034251741,652.59347569689191
xgboost_complexIndex_None_clustering,569.2743681926711,416.34962532845344
randomforest_complexIndex_None_clustering,544.3459045070438,419.01126126126121
linear_complexIndex_None_clustering,800.1403396822649,617.76338212823646
