Id,concept:name_1,lifecycle:transition_1,org:resource_1,Activity_1,Resource_1,Work_Order_Qty_1,Part_Desc__1,Worker_ID_1,Report_Type_1,Qty_Completed_1,Qty_Rejected_1,Qty_for_MRB_1,concept:name_2,lifecycle:transition_2,org:resource_2,Activity_2,Resource_2,Work_Order_Qty_2,Part_Desc__2,Worker_ID_2,Report_Type_2,Qty_Completed_2,Qty_Rejected_2,Qty_for_MRB_2,concept:name_3,lifecycle:transition_3,org:resource_3,Activity_3,Resource_3,Work_Order_Qty_3,Part_Desc__3,Worker_ID_3,Report_Type_3,Qty_Completed_3,Qty_Rejected_3,Qty_for_MRB_3,concept:name_4,lifecycle:transition_4,org:resource_4,Activity_4,Resource_4,Work_Order_Qty_4,Part_Desc__4,Worker_ID_4,Report_Type_4,Qty_Completed_4,Qty_Rejected_4,Qty_for_MRB_4,concept:name_5,lifecycle:transition_5,org:resource_5,Activity_5,Resource_5,Work_Order_Qty_5,Part_Desc__5,Worker_ID_5,Report_Type_5,Qty_Completed_5,Qty_Rejected_5,Qty_for_MRB_5,concept:name_6,lifecycle:transition_6,org:resource_6,Activity_6,Resource_6,Work_Order_Qty_6,Part_Desc__6,Worker_ID_6,Report_Type_6,Qty_Completed_6,Qty_Rejected_6,Qty_for_MRB_6,concept:name_7,lifecycle:transition_7,org:resource_7,Activity_7,Resource_7,Work_Order_Qty_7,Part_Desc__7,Worker_ID_7,Report_Type_7,Qty_Completed_7,Qty_Rejected_7,Qty_for_MRB_7,concept:name_8,lifecycle:transition_8,org:resource_8,Activity_8,Resource_8,Work_Order_Qty_8,Part_Desc__8,Worker_ID_8,Report_Type_8,Qty_Completed_8,Qty_Rejected_8,Qty_for_MRB_8,concept:name_9,lifecycle:transition_9,org:resource_9,Activity_9,Resource_9,Work_Order_Qty_9,Part_Desc__9,Worker_ID_9,Report_Type_9,Qty_Completed_9,Qty_Rejected_9,Qty_for_MRB_9,concept:name_10,lifecycle:transition_10,org:resource_10,Activity_10,Resource_10,Work_Order_Qty_10,Part_Desc__10,Worker_ID_10,Report_Type_10,Qty_Completed_10,Qty_Rejected_10,Qty_for_MRB_10,concept:name_11,lifecycle:transition_11,org:resource_11,Activity_11,Resource_11,Work_Order_Qty_11,Part_Desc__11,Worker_ID_11,Report_Type_11,Qty_Completed_11,Qty_Rejected_11,Qty_for_MRB_11,concept:name_12,lifecycle:transition_12,org:resource_12,Activity_12,Resource_12,Work_Order_Qty_12,Part_Desc__12,Worker_ID_12,Report_Type_12,Qty_Completed_12,Qty_Rejected_12,Qty_for_MRB_12,concept:name_13,lifecycle:transition_13,org:resource_13,Activity_13,Resource_13,Work_Order_Qty_13,Part_Desc__13,Worker_ID_13,Report_Type_13,Qty_Completed_13,Qty_Rejected_13,Qty_for_MRB_13,concept:name_14,lifecycle:transition_14,org:resource_14,Activity_14,Resource_14,Work_Order_Qty_14,Part_Desc__14,Worker_ID_14,Report_Type_14,Qty_Completed_14,Qty_Rejected_14,Qty_for_MRB_14,remainingTime,prediction
108,9,1,32,9,10,61,62,32,11,12,7,7,9,13,32,9,10,61,62,32,11,12,7,7,9,1,43,9,10,61,62,43,11,12,7,7,17,1,52,17,18,61,62,52,6,7,7,7,17,13,52,17,18,61,62,52,6,7,7,7,9,13,43,9,10,61,62,43,11,12,7,7,9,1,43,9,10,61,62,43,6,63,7,7,9,13,43,9,10,61,62,43,6,63,7,7,17,1,52,17,18,61,62,52,6,55,12,7,17,13,52,17,18,61,62,52,6,55,12,7,21,1,20,21,22,61,62,20,6,55,7,7,21,13,20,21,22,61,62,20,6,55,7,7,35,1,60,35,36,61,62,60,6,7,7,7,35,13,60,35,36,61,62,60,6,7,7,7,807120.0,-449484.106719
138,9,1,14,9,10,101,5,14,11,7,7,7,9,13,14,9,10,101,5,14,11,7,7,7,9,1,8,9,10,101,5,8,11,12,7,7,9,13,8,9,10,101,5,8,11,12,7,7,9,1,8,9,10,101,5,8,6,66,7,7,9,13,8,9,10,101,5,8,6,66,7,7,9,1,14,9,10,101,5,14,6,37,7,7,9,13,14,9,10,101,5,14,6,37,7,7,109,1,86,109,110,101,5,86,6,108,7,7,109,13,86,109,110,101,5,86,6,108,7,7,17,1,16,17,18,101,5,16,6,7,12,7,17,13,16,17,18,101,5,16,6,7,12,7,17,1,16,17,18,101,5,16,6,7,67,7,17,13,16,17,18,101,5,16,6,7,67,7,13380.0,6724645.95352
147,123,1,39,123,41,124,125,39,11,12,7,7,123,13,39,123,41,124,125,39,11,12,7,7,123,1,45,123,41,124,125,45,11,7,7,7,123,13,45,123,41,124,125,45,11,7,7,7,123,1,45,123,41,124,125,45,6,92,7,7,123,13,45,123,41,124,125,45,6,92,7,7,123,1,39,123,41,124,125,39,6,69,7,7,56,1,57,56,56,124,125,57,6,126,7,7,56,13,57,56,56,124,125,57,6,126,7,7,123,13,39,123,41,124,125,39,6,69,7,7,30,1,52,30,18,124,125,52,6,126,7,7,30,13,52,30,18,124,125,52,6,126,7,7,128,1,127,128,129,124,125,127,6,126,7,7,59,1,52,59,18,124,125,52,6,126,7,7,2580.0,302064.054835
185,70,1,24,70,72,31,5,24,6,67,7,7,70,13,24,70,72,31,5,24,6,67,7,7,157,1,60,157,95,31,5,60,6,7,7,7,157,13,60,157,95,31,5,60,6,7,7,7,56,1,57,56,56,31,5,57,6,108,7,7,56,1,57,56,56,31,5,57,6,7,7,7,56,13,57,56,56,31,5,57,6,108,7,7,56,13,57,56,56,31,5,57,6,7,7,7,59,1,52,59,18,31,5,52,6,108,7,7,59,13,52,59,18,31,5,52,6,108,7,7,17,1,52,17,18,31,5,52,6,7,7,7,17,13,52,17,18,31,5,52,6,7,7,7,17,1,52,17,18,31,5,52,6,42,7,7,17,13,52,17,18,31,5,52,6,42,7,7,7075560.0,1119004.21214
206,17,1,29,17,18,78,177,29,6,7,7,7,17,13,29,17,18,78,177,29,6,7,7,7,21,1,20,21,22,78,177,20,6,78,7,7,21,13,20,21,22,78,177,20,6,78,7,7,0,1,20,0,3,78,177,20,6,78,7,7,0,13,20,0,3,78,177,20,6,78,7,7,94,1,99,94,95,78,177,99,11,7,7,7,94,13,99,94,95,78,177,99,11,7,7,7,94,1,99,94,95,78,177,99,6,4,7,7,94,13,99,94,95,78,177,99,6,4,7,7,59,1,29,59,18,78,177,29,6,7,7,7,59,13,29,59,18,78,177,29,6,7,7,7,59,1,29,59,18,78,177,29,6,4,7,7,59,13,29,59,18,78,177,29,6,4,7,7,1011000.0,1486123.23657
211,17,1,29,17,18,184,27,29,6,7,7,7,17,13,29,17,18,184,27,29,6,7,7,7,21,1,120,21,22,184,27,120,6,98,7,7,21,13,120,21,22,184,27,120,6,98,7,7,21,1,154,21,22,184,27,154,6,186,7,7,21,13,154,21,22,184,27,154,6,186,7,7,0,1,2,0,3,184,27,2,6,7,7,7,0,13,2,0,3,184,27,2,6,7,7,7,0,1,20,0,3,184,27,20,6,187,7,7,0,13,20,0,3,184,27,20,6,187,7,7,59,1,29,59,18,184,27,29,6,7,7,7,59,13,29,59,18,184,27,29,6,7,7,7,59,1,29,59,18,184,27,29,6,185,7,7,59,13,29,59,18,184,27,29,6,185,7,7,128520.0,84387.2571289
212,75,1,32,75,76,188,38,32,11,7,7,7,75,13,32,75,76,188,38,32,11,7,7,7,75,1,32,75,76,188,38,32,11,67,7,7,75,13,32,75,76,188,38,32,11,67,7,7,75,1,32,75,76,188,38,32,6,15,7,7,17,1,29,17,18,188,38,29,6,7,7,7,75,13,32,75,76,188,38,32,6,15,7,7,17,13,29,17,18,188,38,29,6,7,7,7,75,1,43,75,76,188,38,43,6,114,7,7,75,13,43,75,76,188,38,43,6,114,7,7,75,1,32,75,76,188,38,32,6,51,7,7,75,13,32,75,76,188,38,32,6,51,7,7,17,1,29,17,18,188,38,29,6,7,12,7,17,13,29,17,18,188,38,29,6,7,12,7,1038480.0,3720761.68986
225,157,1,99,157,95,198,5,99,6,7,7,7,157,13,99,157,95,198,5,99,6,7,7,7,21,1,99,21,22,198,5,99,6,185,7,7,21,13,99,21,22,198,5,99,6,185,7,7,152,1,99,152,121,198,5,99,6,7,7,7,152,13,99,152,121,198,5,99,6,7,7,7,157,1,99,157,95,198,5,99,6,7,7,7,157,13,99,157,95,198,5,99,6,7,7,7,21,1,99,21,22,198,5,99,6,199,7,7,21,13,99,21,22,198,5,99,6,199,7,7,0,1,2,0,3,198,5,2,6,7,7,7,0,13,2,0,3,198,5,2,6,7,7,7,0,1,2,0,3,198,5,2,6,7,7,7,0,13,2,0,3,198,5,2,6,7,7,7,6021240.0,2130334.53105
228,40,1,45,40,41,4,38,45,6,4,7,7,40,13,45,40,41,4,38,45,6,4,7,7,40,1,45,40,41,4,38,45,11,7,7,7,40,13,45,40,41,4,38,45,11,7,7,7,40,1,45,40,41,4,38,45,6,19,7,7,40,13,45,40,41,4,38,45,6,19,7,7,17,1,29,17,18,4,38,29,6,19,12,7,17,13,29,17,18,4,38,29,6,19,12,7,17,1,29,17,18,4,38,29,6,7,7,7,17,13,29,17,18,4,38,29,6,7,7,7,17,1,29,17,18,4,38,29,6,19,7,7,17,13,29,17,18,4,38,29,6,19,7,7,21,1,2,21,22,4,38,2,6,19,7,7,35,1,20,35,36,4,38,20,6,19,7,7,292500.0,628279.76674
234,30,1,52,30,18,124,203,52,6,7,7,7,30,13,52,30,18,124,203,52,6,7,7,7,30,1,52,30,18,124,203,52,6,126,12,7,30,13,52,30,18,124,203,52,6,126,12,7,204,1,136,204,205,124,203,136,6,7,7,7,204,13,136,204,205,124,203,136,6,7,7,7,204,1,206,204,205,124,203,206,6,7,7,7,204,13,206,204,205,124,203,206,6,7,7,7,204,1,136,204,205,124,203,136,6,7,7,7,204,13,136,204,205,124,203,136,6,7,7,7,30,1,52,30,18,124,203,52,6,7,7,7,30,1,52,30,18,124,203,52,6,7,7,7,30,13,52,30,18,124,203,52,6,7,7,7,30,13,52,30,18,124,203,52,6,7,7,7,4413180.0,-976267.961665
