Id,Event_1,Event_2,Event_3,Event_4,Event_5,Event_6,Event_7,Event_8,Event_9,Event_10,Event_11,Event_12,Event_13,Event_14,Latest_concept:name,Latest_lifecycle:transition,Latest_org:resource,Latest_Activity,Latest_Resource,Latest_Work_Order_Qty,Latest_Part_Desc_,Latest_Worker_ID,Latest_Report_Type,Latest_Qty_Completed,Latest_Qty_Rejected,Latest_Qty_for_MRB,remainingTime,prediction
10,28,29,28,29,24,24,24,24,32,32,28,28,24,24,23,13,24,23,25,26,27,24,11,12,7,7,1321500.0,848316.139226
109,8,14,8,14,29,43,43,43,29,43,8,29,29,8,9,13,8,9,10,64,65,8,6,66,7,7,1696740.0,1852645.88165
174,43,43,32,52,32,32,52,32,90,90,45,45,43,43,75,13,43,75,76,84,38,43,6,61,7,7,877020.0,1382300.67428
177,20,20,151,151,151,151,120,120,16,16,16,16,16,16,59,13,16,59,18,150,5,16,6,7,34,7,6196500.0,858128.611624
179,99,99,16,16,57,57,60,60,16,16,57,57,16,16,59,13,16,59,18,147,5,16,6,67,12,7,0.0,793482.359099
18,8,8,8,8,86,86,8,8,8,8,8,8,86,14,9,1,14,9,10,159,5,14,11,67,7,7,6135240.0,1882892.80998
182,29,29,60,60,29,29,29,29,57,57,29,29,112,112,75,13,112,75,76,160,38,112,6,108,7,7,749940.0,2236018.52813
187,2,2,151,151,120,120,154,154,151,151,120,120,154,154,155,13,154,155,156,161,5,154,6,33,7,7,3954660.0,3166471.41353
194,24,24,24,52,24,52,24,52,52,24,71,71,28,52,17,1,52,17,18,101,167,52,6,33,7,7,2124000.0,339488.500756
198,86,86,43,43,43,43,52,86,86,52,8,8,86,86,109,13,86,109,110,73,5,86,6,67,7,7,6035700.0,918058.989932
210,43,43,32,32,32,32,43,43,32,32,29,29,43,43,75,13,43,75,76,183,27,43,6,142,7,7,892800.0,1674758.17589
223,45,52,45,45,45,45,52,45,43,43,45,45,52,52,17,13,52,17,18,79,38,52,6,79,7,7,1959600.0,1321965.73474
229,45,52,52,45,43,43,45,45,52,52,20,20,20,2,21,1,2,21,22,51,38,2,6,7,7,7,382560.0,1443351.79258
236,60,60,60,60,29,99,29,99,60,60,60,60,29,29,59,13,29,59,18,89,27,29,6,89,7,7,34260.0,514934.200762
239,32,32,86,43,86,29,29,43,32,32,29,29,29,29,213,13,29,213,18,66,38,29,6,66,7,7,555060.0,165791.879428
24,8,8,8,8,81,81,2,2,214,99,99,214,81,81,175,13,81,175,18,63,111,81,6,19,50,7,2804640.0,174662.786948
241,86,86,86,86,14,14,52,32,52,32,32,32,52,52,17,13,52,17,18,66,38,52,6,61,7,7,231600.0,1213042.13642
257,32,32,8,8,86,86,90,90,43,43,86,86,43,43,109,13,43,109,110,147,5,43,6,169,7,7,6660780.0,988706.337016
262,14,14,43,43,43,43,29,29,29,29,20,20,20,20,35,13,20,35,36,80,27,20,6,7,7,7,182640.0,1130386.52964
264,90,90,90,43,90,43,32,32,29,29,14,14,86,86,75,13,86,75,76,235,218,86,6,108,7,7,151980.0,2634776.14477
265,45,45,45,45,45,45,45,45,45,45,29,29,20,20,21,13,20,21,22,19,236,20,6,19,7,7,271980.0,823393.546214
267,14,14,32,32,32,32,14,29,29,14,43,43,43,43,9,13,43,9,10,163,164,43,6,79,7,7,7090200.0,1290355.54952
272,28,28,71,71,71,71,28,29,28,29,20,20,29,20,21,1,20,21,22,89,27,20,6,37,7,7,343620.0,1095182.2303
3,14,16,14,16,8,8,16,16,20,20,20,20,154,151,155,1,151,155,156,4,5,151,11,7,7,7,205200.0,1619049.97952
34,24,24,28,28,28,28,8,8,24,52,24,52,20,20,21,13,20,21,22,89,47,20,6,89,7,7,1782360.0,1785288.74409
38,14,14,86,86,8,8,8,8,8,8,8,8,45,45,9,1,45,9,10,181,5,45,6,67,7,7,4765320.0,2060462.8908
40,28,28,71,71,28,28,28,28,28,28,8,8,29,29,30,13,29,30,18,80,27,29,6,80,7,7,1139400.0,1080599.11804
41,28,28,28,29,28,28,29,28,71,71,20,20,81,81,17,13,81,17,18,89,27,81,6,89,7,7,1316580.0,1668852.65081
46,86,86,43,43,86,32,86,32,32,32,52,52,20,20,0,1,20,0,3,4,38,20,6,4,7,7,123000.0,732382.281512
50,45,45,45,45,45,45,45,45,29,29,20,20,20,20,21,13,20,21,22,19,38,20,6,19,7,7,256620.0,682671.580273
67,86,86,86,86,8,8,8,8,14,14,8,8,71,71,9,13,71,9,10,147,5,71,6,196,7,7,4440420.0,1389567.24335
72,39,39,39,39,29,29,2,2,20,20,20,2,20,2,35,13,2,35,36,93,27,2,6,44,7,7,162720.0,671530.36861
75,45,45,45,45,39,39,39,39,45,45,45,45,81,81,17,13,81,17,18,4,38,81,6,4,7,7,1373400.0,1020082.43523
77,71,71,71,71,28,28,28,28,71,71,24,16,16,24,23,13,24,23,25,101,176,24,6,42,7,7,1435980.0,1302396.65467
78,86,86,86,86,8,8,43,43,86,86,86,86,32,32,109,13,32,109,110,259,5,32,11,12,7,7,2450880.0,2794660.37118
90,32,32,14,14,43,43,8,8,8,32,32,90,90,8,75,13,8,75,76,161,263,8,6,63,7,7,226860.0,3454995.01867
96,52,52,52,52,2,2,2,90,2,20,90,20,140,57,56,1,57,56,56,161,38,57,6,44,7,7,31200.0,980218.43899
