Id,Event_1,Event_2,Event_3,Event_4,Event_5,Event_6,Event_7,Event_8,Event_9,Event_10,Event_11,Event_12,Event_13,Event_14,remainingTime,prediction
122,86,86,86,86,86,86,86,16,16,86,81,81,20,20,1780620.0,1023631.02278
194,24,24,24,52,24,52,24,52,52,24,71,71,28,52,2124000.0,212248.686182
23,86,86,14,14,43,43,81,81,86,81,81,86,86,86,3076260.0,640311.776207
24,8,8,8,8,81,81,2,2,214,99,99,214,81,81,2804640.0,366931.448384
34,24,24,28,28,28,28,8,8,24,52,24,52,20,20,1782360.0,776700.684817
55,24,24,71,71,71,71,52,28,52,28,24,24,71,71,3088080.0,544796.126351
163,146,146,52,52,52,52,52,52,28,28,52,52,146,146,5061840.0,3185390.18317
178,154,154,120,120,99,99,99,2,20,99,2,20,99,120,4978860.0,3551552.15502
185,24,24,60,60,57,57,57,57,52,52,52,52,52,52,7075560.0,3257091.36221
234,52,52,52,52,136,136,206,206,136,136,52,52,52,52,4413180.0,2419976.47257
259,71,71,71,71,24,24,32,32,71,71,24,24,24,24,6065700.0,3661136.11768
271,8,8,8,8,8,8,86,81,86,81,8,81,81,8,6545100.0,4920391.26586
1,8,8,8,8,14,14,14,14,16,16,20,20,2,2,262800.0,7465067.70074
101,39,39,39,39,39,39,39,39,32,32,45,45,45,45,1000200.0,6709764.46749
106,45,45,39,39,29,29,20,20,2,2,29,29,57,57,43500.0,6301426.70897
108,32,32,43,52,52,43,43,43,52,52,20,20,60,60,807120.0,6603646.06877
111,8,8,8,8,14,14,86,86,8,8,14,14,81,81,1180260.0,7202747.98034
145,39,39,45,45,39,39,39,39,29,29,20,20,20,20,840300.0,6814195.77795
155,45,45,45,45,45,45,45,29,29,45,29,29,2,2,233280.0,6763911.49254
156,71,71,71,71,71,71,71,71,71,71,29,29,29,29,754560.0,6328520.12077
182,29,29,60,60,29,29,29,29,57,57,29,29,112,112,749940.0,6397809.77791
209,32,32,45,45,45,45,86,86,32,32,43,43,29,29,492780.0,7225820.09169
210,43,43,32,32,32,32,43,43,32,32,29,29,43,43,892800.0,6707433.20312
229,45,52,52,45,43,43,45,45,52,52,20,20,20,2,382560.0,5863843.33985
231,20,20,120,120,120,120,151,60,151,60,16,16,16,16,403320.0,6501893.07782
232,81,86,81,99,86,99,60,60,60,60,60,60,60,60,516900.0,4746243.22322
233,71,28,71,28,28,28,8,8,52,52,20,20,20,20,836520.0,13453174.4673
240,32,32,43,43,86,86,32,32,43,43,86,86,2,2,776700.0,6702877.71021
242,32,32,32,32,14,14,43,43,32,32,52,52,52,52,604440.0,7181792.15014
244,60,60,60,60,60,60,60,60,60,52,60,60,60,60,303720.0,6357591.03396
261,45,45,45,45,29,29,39,39,29,29,2,2,20,20,508320.0,6789773.94026
56,39,39,45,57,57,45,45,45,29,29,20,20,20,29,2940.0,6666628.90553
75,45,45,45,45,39,39,39,39,45,45,45,45,81,81,1373400.0,6365001.94068
77,71,71,71,71,28,28,28,28,71,71,24,16,16,24,1435980.0,6634539.58308
83,86,86,86,86,14,14,43,43,86,52,52,86,8,8,346320.0,7410039.38684
9,71,71,28,28,28,28,29,29,20,20,20,20,99,99,406260.0,5627848.62581
91,86,86,14,14,14,43,14,43,29,29,32,32,8,8,465540.0,6310368.83344
