Id,Event_1,Event_2,Event_3,Event_4,Event_5,Event_6,Event_7,Event_8,Event_9,Event_10,Event_11,Event_12,Event_13,Event_14,remainingTime,prediction
10,28,29,28,29,24,24,24,24,32,32,28,28,24,24,1321500.0,1284620.35059
100,39,39,43,43,39,39,39,39,29,29,20,20,20,20,843480.0,1314478.10784
108,32,32,43,52,52,43,43,43,52,52,20,20,60,60,807120.0,1669276.79793
109,8,14,8,14,29,43,43,43,29,43,8,29,29,8,1696740.0,2097285.73875
110,32,32,43,16,16,43,43,43,32,32,14,14,43,71,2285520.0,1939783.15025
111,8,8,8,8,14,14,86,86,8,8,14,14,81,81,1180260.0,2439807.88957
120,43,43,86,86,32,32,81,81,20,20,20,20,99,99,81900.0,2774185.77045
122,86,86,86,86,86,86,86,16,16,86,81,81,20,20,1780620.0,833795.976897
140,86,86,14,14,81,81,2,2,20,20,120,120,120,120,230220.0,110247.648832
17,39,39,39,39,39,39,39,149,39,39,39,149,148,148,2677680.0,5245072.00975
178,154,154,120,120,99,99,99,2,20,99,2,20,99,120,4978860.0,2178581.66368
179,99,99,16,16,57,57,60,60,16,16,57,57,16,16,0.0,164073.403888
185,24,24,60,60,57,57,57,57,52,52,52,52,52,52,7075560.0,1654157.15052
19,14,14,16,16,8,8,16,16,20,20,2,2,2,2,240780.0,1369849.26231
192,133,133,52,52,24,24,52,24,52,24,24,24,71,71,1532820.0,930354.242897
194,24,24,24,52,24,52,24,52,52,24,71,71,28,52,2124000.0,720533.240291
195,52,52,2,2,20,20,20,2,20,2,2,2,120,120,483300.0,1716840.8055
201,81,81,81,81,39,39,39,39,39,39,39,39,39,39,3950100.0,1321906.85859
208,71,71,28,28,71,71,71,71,24,24,28,28,71,71,3203460.0,1233909.05327
22,71,71,28,28,28,28,28,28,71,71,81,81,20,20,346260.0,477417.412125
225,99,99,99,99,99,99,99,99,99,99,2,2,2,2,6021240.0,1226519.43392
229,45,52,52,45,43,43,45,45,52,52,20,20,20,2,382560.0,1469494.87681
241,86,86,86,86,14,14,52,32,52,32,32,32,52,52,231600.0,1615020.15469
246,71,71,28,28,71,71,52,52,2,2,20,20,2,2,344700.0,485812.152212
250,224,224,224,224,16,224,16,224,224,224,224,224,20,20,205980.0,322987.132703
252,32,32,32,29,32,29,29,29,32,32,29,29,20,20,232800.0,1226157.27734
253,71,71,71,71,29,28,29,29,28,29,20,20,20,20,478860.0,1305747.23584
257,32,32,8,8,86,86,90,90,43,43,86,86,43,43,6660780.0,718556.073847
260,43,43,43,43,43,43,32,32,43,43,71,71,29,32,4500720.0,893569.958682
35,86,86,32,32,43,86,43,86,16,16,16,16,154,154,2315460.0,2116616.06475
39,71,71,71,52,52,71,71,52,71,52,71,71,24,24,413040.0,920050.2383
43,39,39,45,29,45,29,45,45,39,39,29,29,20,20,123420.0,1396011.97809
59,32,32,86,86,43,43,29,29,90,90,251,251,57,57,131580.0,288175.612825
62,39,39,39,39,39,39,39,39,39,39,39,39,29,29,2229360.0,1225789.31217
70,28,28,28,28,28,28,28,28,28,28,28,28,71,71,3027960.0,1710560.47857
92,32,32,32,32,32,32,29,29,29,29,29,29,60,60,540000.0,1572134.01535
97,52,52,154,154,2,2,2,2,2,2,20,20,20,20,844200.0,2255129.63777
