Id,concept:name_1,lifecycle:transition_1,org:resource_1,Activity_1,Resource_1,Work_Order_Qty_1,Part_Desc__1,Worker_ID_1,Report_Type_1,Qty_Completed_1,Qty_Rejected_1,Qty_for_MRB_1,concept:name_2,lifecycle:transition_2,org:resource_2,Activity_2,Resource_2,Work_Order_Qty_2,Part_Desc__2,Worker_ID_2,Report_Type_2,Qty_Completed_2,Qty_Rejected_2,Qty_for_MRB_2,concept:name_3,lifecycle:transition_3,org:resource_3,Activity_3,Resource_3,Work_Order_Qty_3,Part_Desc__3,Worker_ID_3,Report_Type_3,Qty_Completed_3,Qty_Rejected_3,Qty_for_MRB_3,concept:name_4,lifecycle:transition_4,org:resource_4,Activity_4,Resource_4,Work_Order_Qty_4,Part_Desc__4,Worker_ID_4,Report_Type_4,Qty_Completed_4,Qty_Rejected_4,Qty_for_MRB_4,concept:name_5,lifecycle:transition_5,org:resource_5,Activity_5,Resource_5,Work_Order_Qty_5,Part_Desc__5,Worker_ID_5,Report_Type_5,Qty_Completed_5,Qty_Rejected_5,Qty_for_MRB_5,concept:name_6,lifecycle:transition_6,org:resource_6,Activity_6,Resource_6,Work_Order_Qty_6,Part_Desc__6,Worker_ID_6,Report_Type_6,Qty_Completed_6,Qty_Rejected_6,Qty_for_MRB_6,concept:name_7,lifecycle:transition_7,org:resource_7,Activity_7,Resource_7,Work_Order_Qty_7,Part_Desc__7,Worker_ID_7,Report_Type_7,Qty_Completed_7,Qty_Rejected_7,Qty_for_MRB_7,concept:name_8,lifecycle:transition_8,org:resource_8,Activity_8,Resource_8,Work_Order_Qty_8,Part_Desc__8,Worker_ID_8,Report_Type_8,Qty_Completed_8,Qty_Rejected_8,Qty_for_MRB_8,concept:name_9,lifecycle:transition_9,org:resource_9,Activity_9,Resource_9,Work_Order_Qty_9,Part_Desc__9,Worker_ID_9,Report_Type_9,Qty_Completed_9,Qty_Rejected_9,Qty_for_MRB_9,concept:name_10,lifecycle:transition_10,org:resource_10,Activity_10,Resource_10,Work_Order_Qty_10,Part_Desc__10,Worker_ID_10,Report_Type_10,Qty_Completed_10,Qty_Rejected_10,Qty_for_MRB_10,concept:name_11,lifecycle:transition_11,org:resource_11,Activity_11,Resource_11,Work_Order_Qty_11,Part_Desc__11,Worker_ID_11,Report_Type_11,Qty_Completed_11,Qty_Rejected_11,Qty_for_MRB_11,concept:name_12,lifecycle:transition_12,org:resource_12,Activity_12,Resource_12,Work_Order_Qty_12,Part_Desc__12,Worker_ID_12,Report_Type_12,Qty_Completed_12,Qty_Rejected_12,Qty_for_MRB_12,concept:name_13,lifecycle:transition_13,org:resource_13,Activity_13,Resource_13,Work_Order_Qty_13,Part_Desc__13,Worker_ID_13,Report_Type_13,Qty_Completed_13,Qty_Rejected_13,Qty_for_MRB_13,concept:name_14,lifecycle:transition_14,org:resource_14,Activity_14,Resource_14,Work_Order_Qty_14,Part_Desc__14,Worker_ID_14,Report_Type_14,Qty_Completed_14,Qty_Rejected_14,Qty_for_MRB_14,remainingTime,prediction
101,48,1,39,48,41,46,47,39,11,7,7,7,48,13,39,48,41,46,47,39,11,7,7,7,40,1,39,40,41,46,47,39,11,7,7,7,40,13,39,40,41,46,47,39,11,7,7,7,40,1,39,40,41,46,47,39,49,7,7,7,40,13,39,40,41,46,47,39,49,7,7,7,40,1,39,40,41,46,47,39,6,42,7,7,40,13,39,40,41,46,47,39,6,42,7,7,40,1,32,40,41,46,47,32,6,31,7,7,40,13,32,40,41,46,47,32,6,31,7,7,40,1,45,40,41,46,47,45,6,50,7,7,40,13,45,40,41,46,47,45,6,50,7,7,40,1,45,40,41,46,47,45,11,7,7,7,40,13,45,40,41,46,47,45,11,7,7,7,1000200.0,843681.6
116,94,1,60,94,95,96,97,60,11,7,7,7,94,13,60,94,95,96,97,60,11,7,7,7,94,1,60,94,95,96,97,60,6,98,7,7,94,13,60,94,95,96,97,60,6,98,7,7,94,1,99,94,95,96,97,99,6,46,7,7,94,13,99,94,95,96,97,99,6,46,7,7,56,1,57,56,56,96,97,57,6,100,7,7,56,13,57,56,56,96,97,57,6,100,7,7,94,1,60,94,95,96,97,60,6,67,7,7,59,1,16,59,18,96,97,16,6,100,7,7,59,13,16,59,18,96,97,16,6,100,7,7,94,13,60,94,95,96,97,60,6,67,7,7,94,1,60,94,95,96,97,60,6,79,7,7,94,13,60,94,95,96,97,60,6,79,7,7,490320.0,1084862.4
123,9,1,86,9,10,113,5,86,11,7,7,7,9,13,86,9,10,113,5,86,11,7,7,7,9,1,8,9,10,113,5,8,11,7,7,7,9,13,8,9,10,113,5,8,11,7,7,7,9,1,8,9,10,113,5,8,6,114,7,7,9,13,8,9,10,113,5,8,6,114,7,7,9,1,14,9,10,113,5,14,6,7,7,7,9,13,14,9,10,113,5,14,6,7,7,7,9,1,14,9,10,113,5,14,6,87,7,7,9,13,14,9,10,113,5,14,6,87,7,7,9,1,8,9,10,113,5,8,11,12,7,7,9,13,8,9,10,113,5,8,11,12,7,7,9,1,8,9,10,113,5,8,6,67,7,7,9,13,8,9,10,113,5,8,6,67,7,7,217380.0,1467422.4
13,104,1,28,104,25,89,27,28,11,7,7,7,104,13,28,104,25,89,27,28,11,7,7,7,104,1,28,104,25,89,27,28,6,67,7,7,104,13,28,104,25,89,27,28,6,67,7,7,104,1,24,104,25,89,27,24,6,37,7,7,104,13,24,104,25,89,27,24,6,37,7,7,56,1,57,56,56,89,27,57,6,89,7,7,56,13,57,56,56,89,27,57,6,89,7,7,30,1,29,30,18,89,27,29,6,89,7,7,30,13,29,30,18,89,27,29,6,89,7,7,21,1,99,21,22,89,27,99,6,89,7,7,21,13,99,21,22,89,27,99,6,89,7,7,59,1,29,59,18,89,27,29,6,89,7,7,59,13,29,59,18,89,27,29,6,89,7,7,0.0,550962.0
140,109,1,86,109,110,108,5,86,11,67,7,7,109,13,86,109,110,108,5,86,11,67,7,7,109,1,14,109,110,108,5,14,6,50,7,7,109,13,14,109,110,108,5,14,6,50,7,7,17,1,81,17,18,108,5,81,6,50,67,7,17,13,81,17,18,108,5,81,6,50,67,7,21,1,2,21,22,108,5,2,6,50,7,7,21,13,2,21,22,108,5,2,6,50,7,7,0,1,20,0,3,108,5,20,6,50,7,7,0,13,20,0,3,108,5,20,6,50,7,7,119,1,120,119,121,108,5,120,11,12,7,7,119,13,120,119,121,108,5,120,11,12,7,7,119,1,120,119,121,108,5,120,6,67,7,7,119,13,120,119,121,108,5,120,6,67,7,7,230220.0,1413766.8
148,134,1,133,134,135,132,125,133,6,7,7,7,134,13,133,134,135,132,125,133,6,7,7,7,137,1,136,137,138,132,125,136,6,12,7,7,137,13,136,137,138,132,125,136,6,12,7,7,59,1,52,59,18,132,125,52,6,12,7,7,139,1,52,139,18,132,125,52,6,12,7,7,56,1,140,56,56,132,125,140,6,12,7,7,56,13,140,56,56,132,125,140,6,12,7,7,59,13,52,59,18,132,125,52,6,12,7,7,139,13,52,139,18,132,125,52,6,12,7,7,130,1,52,130,131,132,125,52,6,12,7,7,59,1,52,59,18,132,125,52,6,7,7,7,59,13,52,59,18,132,125,52,6,7,7,7,130,13,52,130,131,132,125,52,6,12,7,7,0.0,2104774.8
17,123,1,39,123,143,73,97,39,11,7,7,7,123,13,39,123,143,73,97,39,11,7,7,7,123,1,39,123,143,73,97,39,11,7,7,7,123,13,39,123,143,73,97,39,11,7,7,7,123,1,39,123,143,73,97,39,49,7,7,7,123,13,39,123,143,73,97,39,49,7,7,7,123,1,39,123,143,73,97,39,6,7,7,7,123,1,149,123,143,73,97,149,6,89,7,7,123,13,39,123,143,73,97,39,6,7,7,7,123,1,39,123,143,73,97,39,6,108,7,7,123,13,39,123,143,73,97,39,6,108,7,7,123,13,149,123,143,73,97,149,6,89,7,7,123,1,148,123,143,73,97,148,6,51,7,7,123,13,148,123,143,73,97,148,6,51,7,7,2677680.0,2662614.0
174,75,1,43,75,76,84,38,43,11,7,7,7,75,13,43,75,76,84,38,43,11,7,7,7,75,1,32,75,76,84,38,32,11,12,7,7,17,1,52,17,18,84,38,52,11,7,7,7,75,13,32,75,76,84,38,32,11,12,7,7,75,1,32,75,76,84,38,32,6,42,7,7,17,13,52,17,18,84,38,52,11,7,7,7,75,13,32,75,76,84,38,32,6,42,7,7,75,1,90,75,76,84,38,90,6,34,7,7,75,13,90,75,76,84,38,90,6,34,7,7,75,1,45,75,76,84,38,45,6,61,7,7,75,13,45,75,76,84,38,45,6,61,7,7,75,1,43,75,76,84,38,43,6,61,7,7,75,13,43,75,76,84,38,43,6,61,7,7,877020.0,1380859.2
198,109,1,86,109,110,73,5,86,11,7,7,7,109,13,86,109,110,73,5,86,11,7,7,7,109,1,43,109,110,73,5,43,11,12,7,7,109,13,43,109,110,73,5,43,11,12,7,7,109,1,43,109,110,73,5,43,6,169,7,7,109,13,43,109,110,73,5,43,6,169,7,7,17,1,52,17,18,73,5,52,6,7,12,7,109,1,86,109,110,73,5,86,11,12,7,7,109,13,86,109,110,73,5,86,11,12,7,7,17,13,52,17,18,73,5,52,6,7,12,7,109,1,8,109,110,73,5,8,6,44,7,7,109,13,8,109,110,73,5,8,6,44,7,7,109,1,86,109,110,73,5,86,6,67,7,7,109,13,86,109,110,73,5,86,6,67,7,7,6035700.0,2609274.0
200,173,1,112,173,72,64,5,112,6,12,7,7,173,13,112,173,72,64,5,112,6,12,7,7,157,1,99,157,95,64,5,99,6,7,7,7,157,13,99,157,95,64,5,99,6,7,7,7,59,1,81,59,18,64,5,81,6,12,7,7,59,13,81,59,18,64,5,81,6,12,7,7,59,1,81,59,18,64,5,81,6,7,12,7,59,13,81,59,18,64,5,81,6,7,12,7,56,1,57,56,56,64,5,57,6,12,7,7,56,13,57,56,56,64,5,57,6,12,7,7,0,1,120,0,3,64,5,120,6,12,7,7,155,1,120,155,156,64,5,120,6,12,7,7,0,13,120,0,3,64,5,120,6,12,7,7,155,13,120,155,156,64,5,120,6,12,7,7,0.0,1429291.2
