Id,Event_1,Event_2,Event_3,Event_4,Event_5,Event_6,Event_7,Event_8,Event_9,Event_10,Event_11,Event_12,Event_13,Event_14,Latest_concept:name,Latest_lifecycle:transition,Latest_org:resource,Latest_Activity,Latest_Resource,Latest_Work_Order_Qty,Latest_Part_Desc_,Latest_Worker_ID,Latest_Report_Type,Latest_Qty_Completed,Latest_Qty_Rejected,Latest_Qty_for_MRB,remainingTime,prediction
1,8,8,8,8,14,14,14,14,16,16,20,20,2,2,0,1,2,0,3,4,5,2,6,7,7,7,262800.0,2702187.6
103,39,39,45,45,39,39,45,45,45,45,29,39,39,29,17,13,29,17,18,53,54,29,6,7,7,7,483720.0,2618582.4
126,86,86,14,14,8,52,8,8,52,8,52,52,20,20,21,13,20,21,22,4,47,20,6,19,7,7,206340.0,2912427.6
127,32,32,32,32,14,14,43,43,29,29,32,32,43,43,75,1,43,75,76,115,38,43,11,7,7,7,1249440.0,3003105.6
129,39,52,52,39,39,39,45,45,52,52,20,20,52,52,0,13,52,0,18,50,118,52,6,50,7,7,939360.0,2578663.2
145,39,39,45,45,39,39,39,39,29,29,20,20,20,20,0,13,20,0,3,117,122,20,6,117,7,7,840300.0,3006002.4
147,39,39,45,45,45,45,39,57,57,39,52,52,127,52,59,1,52,59,18,124,125,52,6,126,7,7,2580.0,3091496.4
179,99,99,16,16,57,57,60,60,16,16,57,57,16,16,59,13,16,59,18,147,5,16,6,67,12,7,0.0,2960768.4
195,52,52,2,2,20,20,20,2,20,2,2,2,120,120,119,13,120,119,121,113,168,120,11,7,7,7,483300.0,3282198.0
206,29,29,20,20,20,20,99,99,99,99,29,29,29,29,59,13,29,59,18,78,177,29,6,4,7,7,1011000.0,2866972.8
210,43,43,32,32,32,32,43,43,32,32,29,29,43,43,75,13,43,75,76,183,27,43,6,142,7,7,892800.0,3258978.0
211,29,29,120,120,154,154,2,2,20,20,29,29,29,29,59,13,29,59,18,184,27,29,6,185,7,7,128520.0,3291495.6
219,20,20,20,20,120,120,151,151,120,120,120,120,154,154,119,13,154,119,121,79,5,154,6,55,7,7,675660.0,3189850.8
231,20,20,120,120,120,120,151,60,151,60,16,16,16,16,175,13,16,175,18,89,5,16,6,7,7,7,403320.0,3239502.0
244,60,60,60,60,60,60,60,60,60,52,60,60,60,60,106,1,60,106,107,108,5,60,6,34,7,7,303720.0,3034785.6
262,14,14,43,43,43,43,29,29,29,29,20,20,20,20,35,13,20,35,36,80,27,20,6,7,7,7,182640.0,2624695.2
264,90,90,90,43,90,43,32,32,29,29,14,14,86,86,75,13,86,75,76,235,218,86,6,108,7,7,151980.0,3448293.6
265,45,45,45,45,45,45,45,45,45,45,29,29,20,20,21,13,20,21,22,19,236,20,6,19,7,7,271980.0,2748289.2
3,14,16,14,16,8,8,16,16,20,20,20,20,154,151,155,1,151,155,156,4,5,151,11,7,7,7,205200.0,3102955.2
41,28,28,28,29,28,28,29,28,71,71,20,20,81,81,17,13,81,17,18,89,27,81,6,89,7,7,1316580.0,2852971.2
45,32,32,43,43,43,43,29,29,45,45,29,29,29,29,17,13,29,17,18,61,27,29,6,4,7,7,0.0,2601656.4
50,45,45,45,45,45,45,45,45,29,29,20,20,20,20,21,13,20,21,22,19,38,20,6,19,7,7,256620.0,2475944.4
54,86,86,14,14,8,8,8,52,52,8,14,14,52,52,17,13,52,17,18,51,38,52,6,7,50,7,180900.0,2939716.8
77,71,71,71,71,28,28,28,28,71,71,24,16,16,24,23,13,24,23,25,101,176,24,6,42,7,7,1435980.0,2898529.2
80,43,43,43,43,52,52,20,20,2,2,20,20,151,151,155,13,151,155,156,37,5,151,11,7,7,7,100260.0,3343552.8
86,32,32,90,90,43,43,32,32,90,90,90,90,52,52,17,13,52,17,18,250,38,52,6,4,7,7,72420.0,2957407.2
177,20,20,151,151,151,151,120,120,16,16,16,16,16,16,59,13,16,59,18,150,5,16,6,7,34,7,6196500.0,363262.8
198,86,86,43,43,43,43,52,86,86,52,8,8,86,86,109,13,86,109,110,73,5,86,6,67,7,7,6035700.0,604777.2
201,81,81,81,81,39,39,39,39,39,39,39,39,39,39,123,13,39,123,143,89,174,39,6,12,7,7,3950100.0,769215.6
230,32,32,32,32,32,32,32,29,29,32,43,43,32,29,17,1,29,17,18,201,27,29,6,7,7,7,4435740.0,843340.8
67,86,86,86,86,8,8,8,8,14,14,8,8,71,71,9,13,71,9,10,147,5,71,6,196,7,7,4440420.0,546398.4
194,24,24,24,52,24,52,24,52,52,24,71,71,28,52,17,1,52,17,18,101,167,52,6,33,7,7,2124000.0,6654884.4
208,71,71,28,28,71,71,71,71,24,24,28,28,71,71,70,13,71,70,72,63,5,71,6,103,7,7,3203460.0,5814454.8
23,86,86,14,14,43,43,81,81,86,81,81,86,86,86,109,13,86,109,110,63,111,86,11,7,7,7,3076260.0,6597561.6
29,24,24,71,71,28,28,71,71,71,71,71,71,81,81,17,13,81,17,18,182,5,81,6,141,7,7,2946780.0,6769034.4
33,32,32,29,32,29,32,32,32,14,14,43,43,29,29,17,13,29,17,18,79,38,29,6,7,12,7,1905960.0,6424780.8
34,24,24,28,28,28,28,8,8,24,52,24,52,20,20,21,13,20,21,22,89,47,20,6,89,7,7,1782360.0,6382870.8
