Id,Event_1,Event_2,Event_3,Event_4,Event_5,Event_6,Event_7,Event_8,Event_9,Event_10,Event_11,Event_12,Event_13,Event_14,Latest_concept:name,Latest_lifecycle:transition,Latest_org:resource,Latest_Activity,Latest_Resource,Latest_Work_Order_Qty,Latest_Part_Desc_,Latest_Worker_ID,Latest_Report_Type,Latest_Qty_Completed,Latest_Qty_Rejected,Latest_Qty_for_MRB,remainingTime,prediction
100,39,39,43,43,39,39,39,39,29,29,20,20,20,20,35,13,20,35,36,37,38,20,6,37,7,7,843480.0,459483.6
12,71,71,24,24,29,29,24,24,71,71,28,28,71,71,104,13,71,104,25,105,27,71,6,63,7,7,1587720.0,1227282.0
123,86,86,8,8,8,8,14,14,14,14,8,8,8,8,9,13,8,9,10,113,5,8,6,67,7,7,217380.0,1451342.4
135,43,43,86,90,90,86,43,43,43,43,43,43,86,86,109,13,86,109,110,77,47,86,6,55,7,7,601080.0,1382007.6
147,39,39,45,45,45,45,39,57,57,39,52,52,127,52,59,1,52,59,18,124,125,52,6,126,7,7,2580.0,1091017.2
156,71,71,71,71,71,71,71,71,71,71,29,29,29,29,59,13,29,59,18,144,145,29,6,7,7,7,754560.0,2298195.6
17,39,39,39,39,39,39,39,149,39,39,39,149,148,148,123,13,148,123,143,73,97,148,6,51,7,7,2677680.0,1988624.4
182,29,29,60,60,29,29,29,29,57,57,29,29,112,112,75,13,112,75,76,160,38,112,6,108,7,7,749940.0,1985635.2
195,52,52,2,2,20,20,20,2,20,2,2,2,120,120,119,13,120,119,121,113,168,120,11,7,7,7,483300.0,2176886.4
198,86,86,43,43,43,43,52,86,86,52,8,8,86,86,109,13,86,109,110,73,5,86,6,67,7,7,6035700.0,1921936.8
203,29,29,20,20,2,2,20,20,2,2,57,57,29,29,59,13,29,59,18,108,176,29,6,108,7,7,0.0,1780687.2
207,86,43,86,43,86,43,86,43,43,43,32,32,43,86,75,1,86,75,76,178,179,86,11,7,7,7,1645200.0,2479780.8
210,43,43,32,32,32,32,43,43,32,32,29,29,43,43,75,13,43,75,76,183,27,43,6,142,7,7,892800.0,1147802.4
22,71,71,28,28,28,28,28,28,71,71,81,81,20,20,21,13,20,21,22,108,38,20,6,34,7,7,346260.0,994320.0
228,45,45,45,45,45,45,29,29,29,29,29,29,2,20,35,1,20,35,36,4,38,20,6,19,7,7,292500.0,338799.6
230,32,32,32,32,32,32,32,29,29,32,43,43,32,29,17,1,29,17,18,201,27,29,6,7,7,7,4435740.0,1547169.6
231,20,20,120,120,120,120,151,60,151,60,16,16,16,16,175,13,16,175,18,89,5,16,6,7,7,7,403320.0,2286408.0
235,16,16,16,24,16,24,24,24,24,24,24,24,16,16,17,13,16,17,18,63,207,16,11,7,7,7,2486820.0,952764.0
236,60,60,60,60,29,99,29,99,60,60,60,60,29,29,59,13,29,59,18,89,27,29,6,89,7,7,34260.0,821784.0
239,32,32,86,43,86,29,29,43,32,32,29,29,29,29,213,13,29,213,18,66,38,29,6,66,7,7,555060.0,862132.8
24,8,8,8,8,81,81,2,2,214,99,99,214,81,81,175,13,81,175,18,63,111,81,6,19,50,7,2804640.0,1996891.2
242,32,32,32,32,14,14,43,43,32,32,52,52,52,52,17,13,52,17,18,101,27,52,6,7,12,7,604440.0,1227194.4
248,28,28,28,28,71,71,2,2,81,81,20,20,20,20,35,1,20,35,36,51,47,20,6,55,7,7,669000.0,934718.4
260,43,43,43,43,43,43,32,32,43,43,71,71,29,32,75,1,32,75,76,233,38,32,6,55,7,7,4500720.0,1112598.0
262,14,14,43,43,43,43,29,29,29,29,20,20,20,20,35,13,20,35,36,80,27,20,6,7,7,7,182640.0,678052.8
274,39,39,39,52,52,39,39,52,99,39,52,99,99,99,0,13,99,0,3,50,27,99,6,50,7,7,127800.0,1273827.6
29,24,24,71,71,28,28,71,71,71,71,71,71,81,81,17,13,81,17,18,182,5,81,6,141,7,7,2946780.0,3457858.8
41,28,28,28,29,28,28,29,28,71,71,20,20,81,81,17,13,81,17,18,89,27,81,6,89,7,7,1316580.0,1112186.4
45,32,32,43,43,43,43,29,29,45,45,29,29,29,29,17,13,29,17,18,61,27,29,6,4,7,7,0.0,725126.4
54,86,86,14,14,8,8,8,52,52,8,14,14,52,52,17,13,52,17,18,51,38,52,6,7,50,7,180900.0,1484722.8
58,60,60,60,60,99,99,60,60,29,20,29,20,57,57,56,13,57,56,56,92,54,57,6,92,7,7,0.0,621914.4
60,39,39,20,20,45,45,52,39,52,39,45,45,52,52,30,13,52,30,18,61,253,52,6,7,7,7,111720.0,1475112.0
84,39,39,39,39,39,39,39,39,39,39,29,29,45,45,40,13,45,40,41,61,125,45,6,55,7,7,844080.0,900210.0
9,71,71,28,28,28,28,29,29,20,20,20,20,99,99,94,13,99,94,95,89,27,99,11,7,7,7,406260.0,1245030.0
91,86,86,14,14,14,43,14,43,29,29,32,32,8,8,109,13,8,109,110,163,264,8,6,265,7,7,465540.0,1544486.4
93,45,45,45,45,39,39,39,39,39,39,16,16,267,267,266,13,267,266,268,93,269,267,6,93,7,7,3708300.0,2285079.6
95,43,43,8,8,29,14,29,14,43,43,8,8,29,90,9,1,90,9,10,270,164,90,6,15,7,7,2569980.0,2192966.4
