Id,Event_1,Event_2,Event_3,Event_4,Event_5,Event_6,Event_7,Event_8,Event_9,Event_10,Event_11,Event_12,Event_13,Event_14,remainingTime,prediction
234,52,52,52,52,136,136,206,206,136,136,52,52,52,52,4413180.0,2631297.6
257,32,32,8,8,86,86,90,90,43,43,86,86,43,43,6660780.0,2743622.4
260,43,43,43,43,43,43,32,32,43,43,71,71,29,32,4500720.0,2646699.6
38,14,14,86,86,8,8,8,8,8,8,8,8,45,45,4765320.0,3495820.8
63,43,43,43,43,86,16,16,86,32,8,32,32,32,14,3979980.0,3153138.0
103,39,39,45,45,39,39,45,45,45,45,29,39,39,29,483720.0,1078562.4
108,32,32,43,52,52,43,43,43,52,52,20,20,60,60,807120.0,458979.6
112,71,71,28,28,24,24,52,28,52,28,28,28,24,24,1266180.0,870360.0
114,32,32,29,90,90,29,32,32,29,29,29,29,29,29,0.0,329068.8
119,24,24,24,24,24,24,71,71,24,24,24,24,24,24,171060.0,532348.8
124,8,8,8,8,86,86,14,14,52,52,20,20,90,90,321240.0,830839.2
138,14,14,8,8,8,8,14,14,86,86,16,16,16,16,13380.0,939232.8
147,39,39,45,45,45,45,39,57,57,39,52,52,127,52,2580.0,533058.0
206,29,29,20,20,20,20,99,99,99,99,29,29,29,29,1011000.0,921123.6
212,32,32,32,32,32,29,32,29,43,43,32,32,29,29,1038480.0,1086103.2
215,45,45,45,45,154,154,29,29,29,29,20,20,20,20,751320.0,271939.2
228,45,45,45,45,45,45,29,29,29,29,29,29,2,20,292500.0,278386.8
232,81,86,81,99,86,99,60,60,60,60,60,60,60,60,516900.0,266109.6
243,32,32,43,52,43,43,52,43,29,29,20,20,20,20,402900.0,310269.6
251,86,86,8,8,8,8,16,16,20,20,16,16,2,2,770880.0,255288.0
265,45,45,45,45,45,45,45,45,45,45,29,29,20,20,271980.0,416176.8
47,39,39,39,29,39,39,29,39,39,39,39,39,29,29,1273680.0,896912.4
49,45,16,45,16,45,45,112,112,29,29,99,99,29,29,588960.0,331855.2
52,45,45,39,39,39,39,39,39,39,39,39,39,39,39,543480.0,1097350.8
54,86,86,14,14,8,8,8,52,52,8,14,14,52,52,180900.0,564975.6
58,60,60,60,60,99,99,60,60,29,20,29,20,57,57,0.0,385266.0
59,32,32,86,86,43,43,29,29,90,90,251,251,57,57,131580.0,279925.2
64,86,86,8,8,43,43,8,8,8,8,86,86,43,43,36120.0,346674.0
72,39,39,39,39,29,29,2,2,20,20,20,2,20,2,162720.0,272872.8
82,86,86,86,86,43,43,43,43,52,52,20,20,2,2,304560.0,454466.4
96,52,52,52,52,2,2,2,90,2,20,90,20,140,57,31200.0,668389.2
122,86,86,86,86,86,86,86,16,16,86,81,81,20,20,1780620.0,6354860.4
235,16,16,16,24,16,24,24,24,24,24,24,24,16,16,2486820.0,6446606.4
245,28,28,28,16,16,28,28,28,28,28,71,71,71,71,2403600.0,6943308.0
256,45,45,8,8,32,32,52,52,45,45,39,39,39,39,2989200.0,6870639.6
6,45,45,45,45,39,39,39,39,45,45,45,45,29,29,1621500.0,6682149.6
70,28,28,28,28,28,28,28,28,28,28,28,28,71,71,3027960.0,6543483.6
