Id,Event_1,Event_2,Event_3,Event_4,Event_5,Event_6,Event_7,Event_8,Event_9,Event_10,Event_11,Event_12,Event_13,Event_14,remainingTime,prediction
10,28,29,28,29,24,24,24,24,32,32,28,28,24,24,1321500.0,1304692.8
100,39,39,43,43,39,39,39,39,29,29,20,20,20,20,843480.0,785538.0
126,86,86,14,14,8,52,8,8,52,8,52,52,20,20,206340.0,862563.6
13,28,28,28,28,24,24,57,57,29,29,99,99,29,29,0.0,2087072.4
135,43,43,86,90,90,86,43,43,43,43,43,43,86,86,601080.0,1294483.2
178,154,154,120,120,99,99,99,2,20,99,2,20,99,120,4978860.0,3131613.6
182,29,29,60,60,29,29,29,29,57,57,29,29,112,112,749940.0,1563386.4
206,29,29,20,20,20,20,99,99,99,99,29,29,29,29,1011000.0,4332915.6
208,71,71,28,28,71,71,71,71,24,24,28,28,71,71,3203460.0,1290474.0
209,32,32,45,45,45,45,86,86,32,32,43,43,29,29,492780.0,2353435.2
210,43,43,32,32,32,32,43,43,32,32,29,29,43,43,892800.0,809547.6
223,45,52,45,45,45,45,52,45,43,43,45,45,52,52,1959600.0,831474.0
230,32,32,32,32,32,32,32,29,29,32,43,43,32,29,4435740.0,1255993.2
236,60,60,60,60,29,99,29,99,60,60,60,60,29,29,34260.0,2074156.8
239,32,32,86,43,86,29,29,43,32,32,29,29,29,29,555060.0,641793.6
240,32,32,43,43,86,86,32,32,43,43,86,86,2,2,776700.0,2262939.6
243,32,32,43,52,43,43,52,43,29,29,20,20,20,20,402900.0,471147.6
258,32,32,32,32,43,43,43,43,43,43,43,43,32,32,1449060.0,1741981.2
26,14,14,32,32,32,32,8,8,8,8,81,81,99,99,3498780.0,1510792.8
267,14,14,32,32,32,32,14,29,29,14,43,43,43,43,7090200.0,2119339.2
271,8,8,8,8,8,8,86,81,86,81,8,81,81,8,6545100.0,2384095.2
272,28,28,71,71,71,71,28,29,28,29,20,20,29,20,343620.0,824254.8
273,28,28,28,24,24,29,28,29,20,20,20,20,20,20,187200.0,755527.2
36,43,43,86,86,8,8,8,8,81,43,81,43,43,43,1453080.0,2485063.2
38,14,14,86,86,8,8,8,8,8,8,8,8,45,45,4765320.0,2111341.2
44,24,24,71,71,71,71,24,24,24,24,71,71,8,8,2012880.0,2174814.0
47,39,39,39,29,39,39,29,39,39,39,39,39,29,29,1273680.0,1740416.4
48,14,14,8,8,8,8,52,52,14,14,52,52,20,20,3104280.0,2030928.0
49,45,16,45,16,45,45,112,112,29,29,99,99,29,29,588960.0,3829815.6
56,39,39,45,57,57,45,45,45,29,29,20,20,20,29,2940.0,475080.0
58,60,60,60,60,99,99,60,60,29,20,29,20,57,57,0.0,830082.0
59,32,32,86,86,43,43,29,29,90,90,251,251,57,57,131580.0,808786.8
66,39,39,39,39,29,29,20,20,20,20,206,206,29,29,235980.0,1526048.4
87,14,14,8,8,8,29,8,29,45,86,45,8,86,32,3073860.0,2289794.4
89,8,8,14,14,43,43,43,43,8,8,8,8,8,32,137340.0,1792683.6
9,71,71,28,28,28,28,29,29,20,20,20,20,99,99,406260.0,1072844.4
96,52,52,52,52,2,2,2,90,2,20,90,20,140,57,31200.0,2289243.6
