Id,concept:name_1,lifecycle:transition_1,org:resource_1,Activity_1,Resource_1,Work_Order_Qty_1,Part_Desc__1,Worker_ID_1,Report_Type_1,Qty_Completed_1,Qty_Rejected_1,Qty_for_MRB_1,concept:name_2,lifecycle:transition_2,org:resource_2,Activity_2,Resource_2,Work_Order_Qty_2,Part_Desc__2,Worker_ID_2,Report_Type_2,Qty_Completed_2,Qty_Rejected_2,Qty_for_MRB_2,concept:name_3,lifecycle:transition_3,org:resource_3,Activity_3,Resource_3,Work_Order_Qty_3,Part_Desc__3,Worker_ID_3,Report_Type_3,Qty_Completed_3,Qty_Rejected_3,Qty_for_MRB_3,concept:name_4,lifecycle:transition_4,org:resource_4,Activity_4,Resource_4,Work_Order_Qty_4,Part_Desc__4,Worker_ID_4,Report_Type_4,Qty_Completed_4,Qty_Rejected_4,Qty_for_MRB_4,concept:name_5,lifecycle:transition_5,org:resource_5,Activity_5,Resource_5,Work_Order_Qty_5,Part_Desc__5,Worker_ID_5,Report_Type_5,Qty_Completed_5,Qty_Rejected_5,Qty_for_MRB_5,concept:name_6,lifecycle:transition_6,org:resource_6,Activity_6,Resource_6,Work_Order_Qty_6,Part_Desc__6,Worker_ID_6,Report_Type_6,Qty_Completed_6,Qty_Rejected_6,Qty_for_MRB_6,concept:name_7,lifecycle:transition_7,org:resource_7,Activity_7,Resource_7,Work_Order_Qty_7,Part_Desc__7,Worker_ID_7,Report_Type_7,Qty_Completed_7,Qty_Rejected_7,Qty_for_MRB_7,concept:name_8,lifecycle:transition_8,org:resource_8,Activity_8,Resource_8,Work_Order_Qty_8,Part_Desc__8,Worker_ID_8,Report_Type_8,Qty_Completed_8,Qty_Rejected_8,Qty_for_MRB_8,concept:name_9,lifecycle:transition_9,org:resource_9,Activity_9,Resource_9,Work_Order_Qty_9,Part_Desc__9,Worker_ID_9,Report_Type_9,Qty_Completed_9,Qty_Rejected_9,Qty_for_MRB_9,concept:name_10,lifecycle:transition_10,org:resource_10,Activity_10,Resource_10,Work_Order_Qty_10,Part_Desc__10,Worker_ID_10,Report_Type_10,Qty_Completed_10,Qty_Rejected_10,Qty_for_MRB_10,concept:name_11,lifecycle:transition_11,org:resource_11,Activity_11,Resource_11,Work_Order_Qty_11,Part_Desc__11,Worker_ID_11,Report_Type_11,Qty_Completed_11,Qty_Rejected_11,Qty_for_MRB_11,concept:name_12,lifecycle:transition_12,org:resource_12,Activity_12,Resource_12,Work_Order_Qty_12,Part_Desc__12,Worker_ID_12,Report_Type_12,Qty_Completed_12,Qty_Rejected_12,Qty_for_MRB_12,concept:name_13,lifecycle:transition_13,org:resource_13,Activity_13,Resource_13,Work_Order_Qty_13,Part_Desc__13,Worker_ID_13,Report_Type_13,Qty_Completed_13,Qty_Rejected_13,Qty_for_MRB_13,concept:name_14,lifecycle:transition_14,org:resource_14,Activity_14,Resource_14,Work_Order_Qty_14,Part_Desc__14,Worker_ID_14,Report_Type_14,Qty_Completed_14,Qty_Rejected_14,Qty_for_MRB_14,remainingTime,prediction
1,9,1,8,9,10,4,5,8,11,12,7,7,9,13,8,9,10,4,5,8,11,12,7,7,9,1,8,9,10,4,5,8,6,12,7,7,9,13,8,9,10,4,5,8,6,12,7,7,9,1,14,9,10,4,5,14,11,7,7,7,9,13,14,9,10,4,5,14,11,7,7,7,9,1,14,9,10,4,5,14,6,15,7,7,9,13,14,9,10,4,5,14,6,15,7,7,17,1,16,17,18,4,5,16,6,19,12,7,17,13,16,17,18,4,5,16,6,19,12,7,21,1,20,21,22,4,5,20,6,19,7,7,21,13,20,21,22,4,5,20,6,19,7,7,0,1,2,0,3,4,5,2,6,7,7,7,0,1,2,0,3,4,5,2,6,7,7,7,262800.0,271232.0
12,104,1,71,104,25,105,27,71,11,7,7,7,104,13,71,104,25,105,27,71,11,7,7,7,104,1,24,104,25,105,27,24,11,12,7,7,104,13,24,104,25,105,27,24,11,12,7,7,30,1,29,30,18,105,27,29,6,7,7,7,30,13,29,30,18,105,27,29,6,7,7,7,104,1,24,104,25,105,27,24,6,42,7,7,104,13,24,104,25,105,27,24,6,42,7,7,104,1,71,104,25,105,27,71,6,55,7,7,104,13,71,104,25,105,27,71,6,55,7,7,104,1,28,104,25,105,27,28,6,61,7,7,104,13,28,104,25,105,27,28,6,61,7,7,104,1,71,104,25,105,27,71,6,63,7,7,104,13,71,104,25,105,27,71,6,63,7,7,1587720.0,642307.4375
120,109,1,43,109,110,108,5,43,11,34,7,7,109,13,43,109,110,108,5,43,11,34,7,7,109,1,86,109,110,108,5,86,11,12,7,7,109,13,86,109,110,108,5,86,11,12,7,7,109,1,32,109,110,108,5,32,49,7,7,7,109,13,32,109,110,108,5,32,49,7,7,7,17,1,81,17,18,108,5,81,6,34,12,7,17,13,81,17,18,108,5,81,6,34,12,7,21,1,20,21,22,108,5,20,6,34,7,7,21,13,20,21,22,108,5,20,6,34,7,7,0,1,20,0,3,108,5,20,6,34,7,7,0,13,20,0,3,108,5,20,6,34,7,7,106,1,99,106,107,108,5,99,11,7,7,7,106,13,99,106,107,108,5,99,11,7,7,7,81900.0,172914.890625
13,104,1,28,104,25,89,27,28,11,7,7,7,104,13,28,104,25,89,27,28,11,7,7,7,104,1,28,104,25,89,27,28,6,67,7,7,104,13,28,104,25,89,27,28,6,67,7,7,104,1,24,104,25,89,27,24,6,37,7,7,104,13,24,104,25,89,27,24,6,37,7,7,56,1,57,56,56,89,27,57,6,89,7,7,56,13,57,56,56,89,27,57,6,89,7,7,30,1,29,30,18,89,27,29,6,89,7,7,30,13,29,30,18,89,27,29,6,89,7,7,21,1,99,21,22,89,27,99,6,89,7,7,21,13,99,21,22,89,27,99,6,89,7,7,59,1,29,59,18,89,27,29,6,89,7,7,59,13,29,59,18,89,27,29,6,89,7,7,0.0,300052.46875
147,123,1,39,123,41,124,125,39,11,12,7,7,123,13,39,123,41,124,125,39,11,12,7,7,123,1,45,123,41,124,125,45,11,7,7,7,123,13,45,123,41,124,125,45,11,7,7,7,123,1,45,123,41,124,125,45,6,92,7,7,123,13,45,123,41,124,125,45,6,92,7,7,123,1,39,123,41,124,125,39,6,69,7,7,56,1,57,56,56,124,125,57,6,126,7,7,56,13,57,56,56,124,125,57,6,126,7,7,123,13,39,123,41,124,125,39,6,69,7,7,30,1,52,30,18,124,125,52,6,126,7,7,30,13,52,30,18,124,125,52,6,126,7,7,128,1,127,128,129,124,125,127,6,126,7,7,59,1,52,59,18,124,125,52,6,126,7,7,2580.0,144309.46875
156,23,1,71,23,25,144,145,71,11,7,7,7,23,13,71,23,25,144,145,71,11,7,7,7,23,1,71,23,25,144,145,71,6,101,7,7,23,13,71,23,25,144,145,71,6,101,7,7,23,1,71,23,25,144,145,71,11,12,7,7,23,13,71,23,25,144,145,71,11,12,7,7,23,1,71,23,25,144,145,71,6,34,7,7,23,13,71,23,25,144,145,71,6,34,7,7,23,1,71,23,25,144,145,71,6,7,7,7,23,13,71,23,25,144,145,71,6,7,7,7,17,1,29,17,18,144,145,29,6,7,7,7,17,13,29,17,18,144,145,29,6,7,7,7,59,1,29,59,18,144,145,29,6,7,7,7,59,13,29,59,18,144,145,29,6,7,7,7,754560.0,194852.890625
179,157,1,99,157,95,147,5,99,6,7,7,7,157,13,99,157,95,147,5,99,6,7,7,7,59,1,16,59,18,147,5,16,6,4,7,7,59,13,16,59,18,147,5,16,6,4,7,7,56,1,57,56,56,147,5,57,6,4,7,7,56,13,57,56,56,147,5,57,6,4,7,7,158,1,60,158,107,147,5,60,6,7,7,7,158,13,60,158,107,147,5,60,6,7,7,7,59,1,16,59,18,147,5,16,6,7,7,7,59,13,16,59,18,147,5,16,6,7,7,7,56,1,57,56,56,147,5,57,6,67,7,7,56,13,57,56,56,147,5,57,6,67,7,7,59,1,16,59,18,147,5,16,6,67,12,7,59,13,16,59,18,147,5,16,6,67,12,7,0.0,214255.5625
210,75,1,43,75,76,183,27,43,6,12,7,7,75,13,43,75,76,183,27,43,6,12,7,7,75,1,32,75,76,183,27,32,11,12,7,7,75,13,32,75,76,183,27,32,11,12,7,7,75,1,32,75,76,183,27,32,6,89,7,7,75,13,32,75,76,183,27,32,6,89,7,7,75,1,43,75,76,183,27,43,6,61,7,7,75,13,43,75,76,183,27,43,6,61,7,7,75,1,32,75,76,183,27,32,6,37,7,7,75,13,32,75,76,183,27,32,6,37,7,7,17,1,29,17,18,183,27,29,6,7,7,7,17,13,29,17,18,183,27,29,6,7,7,7,75,1,43,75,76,183,27,43,6,142,7,7,75,13,43,75,76,183,27,43,6,142,7,7,892800.0,695871.25
211,17,1,29,17,18,184,27,29,6,7,7,7,17,13,29,17,18,184,27,29,6,7,7,7,21,1,120,21,22,184,27,120,6,98,7,7,21,13,120,21,22,184,27,120,6,98,7,7,21,1,154,21,22,184,27,154,6,186,7,7,21,13,154,21,22,184,27,154,6,186,7,7,0,1,2,0,3,184,27,2,6,7,7,7,0,13,2,0,3,184,27,2,6,7,7,7,0,1,20,0,3,184,27,20,6,187,7,7,0,13,20,0,3,184,27,20,6,187,7,7,59,1,29,59,18,184,27,29,6,7,7,7,59,13,29,59,18,184,27,29,6,7,7,7,59,1,29,59,18,184,27,29,6,185,7,7,59,13,29,59,18,184,27,29,6,185,7,7,128520.0,392291.75
215,40,1,45,40,41,190,38,45,11,7,7,7,40,13,45,40,41,190,38,45,11,7,7,7,40,1,45,40,41,190,38,45,6,132,7,7,40,13,45,40,41,190,38,45,6,132,7,7,40,1,154,40,41,190,38,154,6,79,7,7,40,13,154,40,41,190,38,154,6,79,7,7,17,1,29,17,18,190,38,29,6,7,7,7,17,13,29,17,18,190,38,29,6,7,7,7,17,1,29,17,18,190,38,29,6,190,7,7,17,13,29,17,18,190,38,29,6,190,7,7,21,1,20,21,22,190,38,20,6,73,7,7,21,13,20,21,22,190,38,20,6,73,7,7,0,1,20,0,3,190,38,20,6,73,7,7,0,13,20,0,3,190,38,20,6,73,7,7,751320.0,441970.25
