Id,Event_1,Event_2,Event_3,Event_4,Event_5,Event_6,Event_7,Event_8,Event_9,Event_10,Event_11,Event_12,Event_13,Event_14,Latest_concept:name,Latest_lifecycle:transition,Latest_org:resource,Latest_Activity,Latest_Resource,Latest_Work_Order_Qty,Latest_Part_Desc_,Latest_Worker_ID,Latest_Report_Type,Latest_Qty_Completed,Latest_Qty_Rejected,Latest_Qty_for_MRB,remainingTime,prediction
1,8,8,8,8,14,14,14,14,16,16,20,20,2,2,0,1,2,0,3,4,5,2,6,7,7,7,262800.0,216966.78125
102,39,39,39,39,45,45,45,52,52,45,45,45,39,39,40,13,39,40,41,51,27,39,6,19,7,7,1207860.0,1360735.625
111,8,8,8,8,14,14,86,86,8,8,14,14,81,81,30,13,81,30,18,82,5,81,6,82,7,7,1180260.0,468970.59375
115,8,8,43,43,8,8,8,8,8,52,52,52,52,8,9,13,8,9,10,91,38,8,6,92,7,7,1681920.0,37026.5
116,60,60,60,60,99,99,57,57,60,16,16,60,60,60,94,13,60,94,95,96,97,60,6,79,7,7,490320.0,109464.351562
119,24,24,24,24,24,24,71,71,24,24,24,24,24,24,70,13,24,70,72,101,102,24,6,103,7,7,171060.0,1137612.5
120,43,43,86,86,32,32,81,81,20,20,20,20,99,99,106,13,99,106,107,108,5,99,11,7,7,7,81900.0,136115.90625
121,43,43,43,112,112,43,86,81,81,86,43,45,45,43,9,13,43,9,10,93,111,43,11,7,7,7,1201920.0,727347.5625
135,43,43,86,90,90,86,43,43,43,43,43,43,86,86,109,13,86,109,110,77,47,86,6,55,7,7,601080.0,1274132.375
147,39,39,45,45,45,45,39,57,57,39,52,52,127,52,59,1,52,59,18,124,125,52,6,126,7,7,2580.0,97884.1875
182,29,29,60,60,29,29,29,29,57,57,29,29,112,112,75,13,112,75,76,160,38,112,6,108,7,7,749940.0,1140054.875
188,20,2,2,2,20,2,20,20,29,29,136,136,154,154,155,13,154,155,156,163,164,154,11,7,7,7,520140.0,222733.53125
195,52,52,2,2,20,20,20,2,20,2,2,2,120,120,119,13,120,119,121,113,168,120,11,7,7,7,483300.0,216595.125
200,112,112,99,99,81,81,81,81,57,57,120,120,120,120,155,13,120,155,156,64,5,120,6,12,7,7,0.0,187106.296875
207,86,43,86,43,86,43,86,43,43,43,32,32,43,86,75,1,86,75,76,178,179,86,11,7,7,7,1645200.0,439702.40625
236,60,60,60,60,29,99,29,99,60,60,60,60,29,29,59,13,29,59,18,89,27,29,6,89,7,7,34260.0,52087.9179688
239,32,32,86,43,86,29,29,43,32,32,29,29,29,29,213,13,29,213,18,66,38,29,6,66,7,7,555060.0,425546.21875
243,32,32,43,52,43,43,52,43,29,29,20,20,20,20,0,13,20,0,3,4,27,20,6,19,7,7,402900.0,273462.84375
244,60,60,60,60,60,60,60,60,60,52,60,60,60,60,106,1,60,106,107,108,5,60,6,34,7,7,303720.0,455138.28125
263,39,39,39,39,39,52,39,39,52,39,39,39,39,39,40,13,39,40,41,37,234,39,6,12,7,7,1533240.0,761447.0625
264,90,90,90,43,90,43,32,32,29,29,14,14,86,86,75,13,86,75,76,235,218,86,6,108,7,7,151980.0,462319.71875
27,45,45,45,45,45,45,45,45,45,45,45,45,45,45,40,13,45,40,41,93,38,45,6,93,7,7,258780.0,1623046.0
273,28,28,28,24,24,29,28,29,20,20,20,20,20,20,0,13,20,0,3,93,27,20,6,93,7,7,187200.0,534250.75
43,39,39,45,29,45,29,45,45,39,39,29,29,20,20,21,13,20,21,22,169,38,20,6,169,7,7,123420.0,270968.8125
60,39,39,20,20,45,45,52,39,52,39,45,45,52,52,30,13,52,30,18,61,253,52,6,7,7,7,111720.0,1259327.25
80,43,43,43,43,52,52,20,20,2,2,20,20,151,151,155,13,151,155,156,37,5,151,11,7,7,7,100260.0,317718.9375
82,86,86,86,86,43,43,43,43,52,52,20,20,2,2,242,13,2,242,36,162,5,2,6,7,7,7,304560.0,389035.3125
89,8,8,14,14,43,43,43,43,8,8,8,8,8,32,75,1,32,75,76,161,263,32,6,7,7,7,137340.0,199003.296875
9,71,71,28,28,28,28,29,29,20,20,20,20,99,99,94,13,99,94,95,89,27,99,11,7,7,7,406260.0,230007.609375
99,29,29,29,29,29,29,2,2,20,20,20,20,29,29,59,13,29,59,18,273,145,29,6,7,7,7,111660.0,227654.140625
178,154,154,120,120,99,99,99,2,20,99,2,20,99,120,152,1,120,152,121,153,5,120,6,142,7,7,4978860.0,5353351.5
201,81,81,81,81,39,39,39,39,39,39,39,39,39,39,123,13,39,123,143,89,174,39,6,12,7,7,3950100.0,6470904.5
230,32,32,32,32,32,32,32,29,29,32,43,43,32,29,17,1,29,17,18,201,27,29,6,7,7,7,4435740.0,6054178.5
234,52,52,52,52,136,136,206,206,136,136,52,52,52,52,30,13,52,30,18,124,203,52,6,7,7,7,4413180.0,6773694.5
260,43,43,43,43,43,43,32,32,43,43,71,71,29,32,75,1,32,75,76,233,38,32,6,55,7,7,4500720.0,6470295.5
266,16,16,86,86,8,8,86,16,86,86,16,52,52,86,109,13,86,109,110,237,5,86,11,12,7,7,7285080.0,2430317.5
267,14,14,32,32,32,32,14,29,29,14,43,43,43,43,9,13,43,9,10,163,164,43,6,79,7,7,7090200.0,3481342.5
