Id,Event_1,Event_2,Event_3,Event_4,Event_5,Event_6,Event_7,Event_8,Event_9,Event_10,Event_11,Event_12,Event_13,Event_14,Latest_concept:name,Latest_lifecycle:transition,Latest_org:resource,Latest_Activity,Latest_Resource,Latest_Work_Order_Qty,Latest_Part_Desc_,Latest_Worker_ID,Latest_Report_Type,Latest_Qty_Completed,Latest_Qty_Rejected,Latest_Qty_for_MRB,remainingTime,prediction
1,8,8,8,8,14,14,14,14,16,16,20,20,2,2,0,1,2,0,3,4,5,2,6,7,7,7,262800.0,2247382.0
10,28,29,28,29,24,24,24,24,32,32,28,28,24,24,23,13,24,23,25,26,27,24,11,12,7,7,1321500.0,700792.1875
101,39,39,39,39,39,39,39,39,32,32,45,45,45,45,40,13,45,40,41,46,47,45,11,7,7,7,1000200.0,1085167.875
103,39,39,45,45,39,39,45,45,45,45,29,39,39,29,17,13,29,17,18,53,54,29,6,7,7,7,483720.0,834575.5
123,86,86,8,8,8,8,14,14,14,14,8,8,8,8,9,13,8,9,10,113,5,8,6,67,7,7,217380.0,1203754.0
145,39,39,45,45,39,39,39,39,29,29,20,20,20,20,0,13,20,0,3,117,122,20,6,117,7,7,840300.0,917891.0
182,29,29,60,60,29,29,29,29,57,57,29,29,112,112,75,13,112,75,76,160,38,112,6,108,7,7,749940.0,2210165.0
188,20,2,2,2,20,2,20,20,29,29,136,136,154,154,155,13,154,155,156,163,164,154,11,7,7,7,520140.0,1683562.5
192,133,133,52,52,24,24,52,24,52,24,24,24,71,71,23,13,71,23,25,161,125,71,6,7,7,7,1532820.0,3340270.75
198,86,86,43,43,43,43,52,86,86,52,8,8,86,86,109,13,86,109,110,73,5,86,6,67,7,7,6035700.0,870881.875
199,2,2,20,2,2,2,20,20,20,154,2,154,154,154,119,13,154,119,121,170,5,154,11,7,7,7,7487820.0,2845878.25
21,14,14,43,43,29,8,8,8,8,29,8,32,32,32,9,1,32,9,10,150,172,32,6,61,7,7,3293100.0,895676.25
215,45,45,45,45,154,154,29,29,29,29,20,20,20,20,0,13,20,0,3,190,38,20,6,73,7,7,751320.0,1940180.25
22,71,71,28,28,28,28,28,28,71,71,81,81,20,20,21,13,20,21,22,108,38,20,6,34,7,7,346260.0,1141629.875
232,81,86,81,99,86,99,60,60,60,60,60,60,60,60,106,13,60,106,107,108,5,60,6,7,7,7,516900.0,872833.0625
236,60,60,60,60,29,99,29,99,60,60,60,60,29,29,59,13,29,59,18,89,27,29,6,89,7,7,34260.0,659694.75
237,29,29,14,14,29,29,29,29,20,2,20,2,154,154,155,13,154,155,156,208,209,154,11,7,7,7,4336020.0,1924304.25
242,32,32,32,32,14,14,43,43,32,32,52,52,52,52,17,13,52,17,18,101,27,52,6,7,12,7,604440.0,1794504.625
243,32,32,43,52,43,43,52,43,29,29,20,20,20,20,0,13,20,0,3,4,27,20,6,19,7,7,402900.0,484509.65625
246,71,71,28,28,71,71,52,52,2,2,20,20,2,2,35,13,2,35,36,80,219,2,6,7,7,7,344700.0,1166046.875
252,32,32,32,29,32,29,29,29,32,32,29,29,20,20,21,13,20,21,22,93,38,20,6,93,7,7,232800.0,365061.6875
265,45,45,45,45,45,45,45,45,45,45,29,29,20,20,21,13,20,21,22,19,236,20,6,19,7,7,271980.0,830972.8125
267,14,14,32,32,32,32,14,29,29,14,43,43,43,43,9,13,43,9,10,163,164,43,6,79,7,7,7090200.0,3074206.5
28,32,32,32,32,14,29,29,14,29,29,14,14,45,45,75,13,45,75,76,153,38,45,6,66,7,7,2917560.0,3244621.0
3,14,16,14,16,8,8,16,16,20,20,20,20,154,151,155,1,151,155,156,4,5,151,11,7,7,7,205200.0,4762891.5
33,32,32,29,32,29,32,32,32,14,14,43,43,29,29,17,13,29,17,18,79,38,29,6,7,12,7,1905960.0,1377318.25
40,28,28,71,71,28,28,28,28,28,28,8,8,29,29,30,13,29,30,18,80,27,29,6,80,7,7,1139400.0,300830.46875
45,32,32,43,43,43,43,29,29,45,45,29,29,29,29,17,13,29,17,18,61,27,29,6,4,7,7,0.0,273263.625
47,39,39,39,29,39,39,29,39,39,39,39,39,29,29,17,13,29,17,18,4,38,29,6,4,7,7,1273680.0,757652.5
50,45,45,45,45,45,45,45,45,29,29,20,20,20,20,21,13,20,21,22,19,38,20,6,19,7,7,256620.0,441763.8125
52,45,45,39,39,39,39,39,39,39,39,39,39,39,39,40,13,39,40,41,229,38,39,6,248,7,7,543480.0,1079901.5
61,28,28,28,28,28,28,8,8,28,52,28,52,71,71,23,13,71,23,25,101,167,71,11,7,7,7,3398460.0,2039701.125
62,39,39,39,39,39,39,39,39,39,39,39,39,29,29,17,13,29,17,18,19,38,29,6,19,7,7,2229360.0,766465.875
67,86,86,86,86,8,8,8,8,14,14,8,8,71,71,9,13,71,9,10,147,5,71,6,196,7,7,4440420.0,1632986.375
75,45,45,45,45,39,39,39,39,45,45,45,45,81,81,17,13,81,17,18,4,38,81,6,4,7,7,1373400.0,623578.75
91,86,86,14,14,14,43,14,43,29,29,32,32,8,8,109,13,8,109,110,163,264,8,6,265,7,7,465540.0,702564.5625
96,52,52,52,52,2,2,2,90,2,20,90,20,140,57,56,1,57,56,56,161,38,57,6,44,7,7,31200.0,2725240.75
