Id,Event_1,Event_2,Event_3,Event_4,Event_5,Event_6,Event_7,Event_8,Event_9,Event_10,Event_11,Event_12,Event_13,Event_14,remainingTime,prediction
10,28,29,28,29,24,24,24,24,32,32,28,28,24,24,1321500.0,2334131.0
109,8,14,8,14,29,43,43,43,29,43,8,29,29,8,1696740.0,1771748.625
12,71,71,24,24,29,29,24,24,71,71,28,28,71,71,1587720.0,2963260.0
122,86,86,86,86,86,86,86,16,16,86,81,81,20,20,1780620.0,2792864.25
256,45,45,8,8,32,32,52,52,45,45,39,39,39,39,2989200.0,1916586.0
37,45,71,71,45,45,45,32,32,240,240,45,45,45,45,1753380.0,2185298.5
55,24,24,71,71,71,71,52,28,52,28,24,24,71,71,3088080.0,2650088.25
70,28,28,28,28,28,28,28,28,28,28,28,28,71,71,3027960.0,3018061.0
75,45,45,45,45,39,39,39,39,45,45,45,45,81,81,1373400.0,1936846.375
78,86,86,86,86,8,8,43,43,86,86,86,86,32,32,2450880.0,2415088.75
201,81,81,81,81,39,39,39,39,39,39,39,39,39,39,3950100.0,375237.15625
225,99,99,99,99,99,99,99,99,99,99,2,2,2,2,6021240.0,452173.03125
234,52,52,52,52,136,136,206,206,136,136,52,52,52,52,4413180.0,198440.28125
93,45,45,45,45,39,39,39,39,39,39,16,16,267,267,3708300.0,841589.8125
101,39,39,39,39,39,39,39,39,32,32,45,45,45,45,1000200.0,5919009.0
106,45,45,39,39,29,29,20,20,2,2,29,29,57,57,43500.0,4698938.0
116,60,60,60,60,99,99,57,57,60,16,16,60,60,60,490320.0,6201863.5
120,43,43,86,86,32,32,81,81,20,20,20,20,99,99,81900.0,5460430.5
123,86,86,8,8,8,8,14,14,14,14,8,8,8,8,217380.0,4617357.0
13,28,28,28,28,24,24,57,57,29,29,99,99,29,29,0.0,5032826.0
135,43,43,86,90,90,86,43,43,43,43,43,43,86,86,601080.0,6132876.5
145,39,39,45,45,39,39,39,39,29,29,20,20,20,20,840300.0,4924690.0
174,43,43,32,52,32,32,52,32,90,90,45,45,43,43,877020.0,6617388.5
195,52,52,2,2,20,20,20,2,20,2,2,2,120,120,483300.0,4504007.5
206,29,29,20,20,20,20,99,99,99,99,29,29,29,29,1011000.0,5675718.0
22,71,71,28,28,28,28,28,28,71,71,81,81,20,20,346260.0,5035150.5
240,32,32,43,43,86,86,32,32,43,43,86,86,2,2,776700.0,4867890.5
242,32,32,32,32,14,14,43,43,32,32,52,52,52,52,604440.0,5972361.5
249,45,45,45,45,52,52,45,45,45,45,8,8,52,52,513900.0,5771754.0
254,20,20,20,20,20,20,2,2,29,29,57,57,29,29,0.0,5322249.0
272,28,28,71,71,71,71,28,29,28,29,20,20,29,20,343620.0,5224353.5
277,224,224,81,81,60,60,60,60,60,60,60,60,60,60,103740.0,5280660.0
43,39,39,45,29,45,29,45,45,39,39,29,29,20,20,123420.0,4589238.0
59,32,32,86,86,43,43,29,29,90,90,251,251,57,57,131580.0,6552433.5
71,71,71,71,71,57,57,29,29,20,20,20,20,29,29,0.0,5177596.5
82,86,86,86,86,43,43,43,43,52,52,20,20,2,2,304560.0,5741148.5
96,52,52,52,52,2,2,2,90,2,20,90,20,140,57,31200.0,5176497.5
