Id,Event_1,Event_2,Event_3,remainingTime,prediction
102,25,25,25,1307640.0,721664.956988
105,41,41,2,11580.0,712298.244762
113,2,2,20,102780.0,762746.252756
117,73,73,73,36060.0,608674.240542
118,75,75,44,142260.0,626458.66986
123,75,75,2,318180.0,656932.211315
126,75,75,41,534780.0,628635.351392
140,75,75,41,909780.0,628635.351392
144,94,94,93,3660.0,559966.362608
155,31,31,31,565440.0,707541.117432
214,44,44,44,1509000.0,676939.465061
227,73,73,87,3360.0,598516.39339
231,129,129,132,681480.0,474675.056489
232,93,75,93,1314180.0,518093.644827
242,44,44,44,760260.0,676939.465061
254,129,129,129,332700.0,476851.738022
263,25,25,25,1688880.0,721664.956988
264,207,207,207,249300.0,293241.823797
27,31,31,31,528900.0,707541.117432
42,44,44,44,523860.0,676939.465061
56,25,25,31,51180.0,717311.593923
59,44,44,75,422520.0,654447.089225
60,25,25,129,410400.0,646206.66386
68,224,224,223,167400.0,253949.8389
96,87,87,87,149280.0,575718.614912
97,87,87,134,927840.0,541617.270902
100,25,25,20,2534760.0,2640972.58666
109,2,41,2,1753140.0,2594863.77869
110,44,44,20,2518260.0,2857919.37458
115,2,2,20,1731300.0,2378352.79075
121,20,20,20,1947840.0,2583881.32668
17,25,25,25,2743980.0,2611266.90689
182,16,16,67,1906140.0,2258974.92887
201,93,93,93,4147200.0,2983710.79776
21,41,41,20,3460800.0,2823664.61859
238,44,44,20,3952800.0,2857919.37458
26,41,41,44,3646260.0,2681077.35571
269,31,31,31,1735920.0,2644129.60314
80,20,20,20,2077740.0,2583881.32668
87,41,41,2,3173940.0,2930605.06576
163,94,94,87,6332640.0,6128849.9007
199,146,146,129,7525860.0,6363803.37593
225,137,137,137,7089300.0,6114520.45961
237,16,16,41,5554200.0,5544154.93179
Id,Event_1,Event_2,Event_3,remainingTime,prediction
102,25,25,25,1307640.0,723090.426474
105,41,41,2,11580.0,680506.571755
112,49,49,12,1366380.0,657730.858071
126,75,75,41,534780.0,583951.335208
127,44,44,44,1353840.0,669325.919732
13,12,12,12,72660.0,759876.667929
138,41,41,2,154860.0,680506.571755
153,67,67,67,277800.0,604242.569465
156,49,49,49,1300200.0,655177.365326
196,136,136,67,132480.0,413754.437567
200,159,159,137,1582200.0,345427.46138
203,16,16,129,324960.0,740759.319533
241,75,75,75,867600.0,581604.882415
244,67,67,67,410580.0,604242.569465
246,49,49,12,550800.0,657730.858071
248,12,12,12,836940.0,759876.667929
249,31,31,31,836340.0,706112.161187
254,129,129,129,332700.0,428800.494832
27,31,31,31,528900.0,706112.161187
274,25,25,25,151260.0,723090.426474
30,20,136,136,104700.0,1318554.64086
39,49,49,49,461640.0,655177.365326
68,224,224,223,167400.0,160046.974438
74,73,73,87,30120.0,586298.117733
83,75,75,75,450120.0,581604.882415
178,134,134,132,6189300.0,6722232.94622
185,52,52,67,7400460.0,5881099.40905
198,75,75,20,6111540.0,7026790.79282
234,87,87,87,4874760.0,6348121.30556
38,41,41,75,4823340.0,5535083.26491
100,25,25,20,2534760.0,2581881.98152
115,2,2,20,1731300.0,2322269.55134
12,49,49,52,1874580.0,2720710.57202
122,75,75,75,2030520.0,2919259.21988
194,52,52,52,2310240.0,2754573.06291
201,93,93,93,4147200.0,3048144.03838
208,49,49,12,3688260.0,2885799.74283
238,44,44,20,3952800.0,2796344.42385
251,75,75,2,3912300.0,3220546.95662
48,41,41,2,3174840.0,2836772.05982
62,25,25,25,2487540.0,2561245.83517
66,25,25,25,1808820.0,2561245.83517
78,75,75,75,2558820.0,2919259.21988
93,31,31,31,3783720.0,2604207.44134
