Id,Event_1,Event_2,Event_3,Event_4,Event_5,remainingTime,prediction
115,8,8,27,27,8,1706460.0,2356096.44743
12,54,54,13,13,18,1864140.0,2564015.32468
122,38,38,38,38,38,1966020.0,2559078.81219
187,152,152,134,134,144,4087860.0,2906937.83189
28,48,48,48,48,2,3519420.0,2194466.91172
31,8,8,8,8,8,3198300.0,2480725.57481
32,48,48,38,38,27,2523720.0,2472414.25791
48,2,2,8,8,8,3159960.0,2476663.09726
61,17,17,17,17,17,3622980.0,2504231.54602
63,27,27,27,27,38,4144020.0,2623784.64201
82,38,38,38,38,27,1584060.0,2465643.46199
1,8,8,8,8,2,1533660.0,701270.786971
103,22,22,33,33,22,572160.0,659648.340479
104,27,27,27,27,38,96540.0,634695.237293
108,48,48,27,45,45,953220.0,566585.485921
111,8,8,8,8,2,1295160.0,701270.786971
114,48,48,18,70,70,604980.0,474925.765418
119,13,13,13,13,13,640800.0,681969.187574
123,38,38,8,8,8,309180.0,656006.112901
13,17,17,17,17,13,69540.0,676800.433341
133,38,38,8,8,8,40740.0,656006.112901
135,27,27,38,70,70,696480.0,538211.532704
136,48,48,48,48,18,2700.0,630905.925941
150,18,18,18,18,18,30720.0,669671.58269
211,18,18,144,144,142,536040.0,522801.458578
218,185,185,181,181,181,486540.0,263668.239511
228,33,33,33,33,33,480600.0,632778.768036
229,33,45,45,33,27,609840.0,592432.751269
240,48,48,27,27,38,1152960.0,607912.761602
253,54,54,54,54,18,582960.0,623152.794591
274,22,22,22,45,45,145200.0,590618.918639
45,48,48,27,27,27,636420.0,620753.418207
52,33,33,22,22,22,638460.0,645804.582944
58,79,79,79,79,75,896280.0,524310.132772
59,48,48,38,38,27,407520.0,620568.259904
65,17,17,18,18,54,90120.0,628922.971604
81,18,18,18,18,18,33600.0,669671.58269
86,48,48,70,70,27,160020.0,620029.617566
90,48,48,2,2,27,435000.0,621174.232533
91,38,38,2,2,2,530340.0,663111.102851
225,75,75,75,75,75,7024980.0,6431861.27464
234,45,45,45,45,114,4835160.0,7253972.04094
38,2,2,38,38,8,4809900.0,5857597.056
