Id,Event_1,Event_2,Event_3,Event_4,Event_5,Event_6,Event_7,Event_8,remainingTime,prediction
1,9,9,9,9,2,2,2,2,1519320.0,2096391.80769
200,99,99,90,90,41,41,41,41,1525200.0,1962565.80394
208,61,61,19,19,61,61,61,61,3288840.0,2989272.62483
223,38,36,38,38,38,38,36,38,2099520.0,2526639.679
25,46,46,46,46,46,46,29,29,3041100.0,2531637.27022
251,46,46,9,9,9,9,68,68,3820440.0,2308421.27932
256,38,38,9,9,54,54,36,36,3010200.0,2943492.75038
29,14,14,61,61,19,19,61,61,3476340.0,2338680.25788
31,9,9,9,9,9,9,29,29,3144660.0,2337508.59361
6,38,38,38,38,24,24,24,24,1664580.0,2236412.80381
61,19,19,19,19,19,19,9,9,3571500.0,2296513.40621
92,54,54,54,54,54,54,20,20,1865640.0,2531552.95935
93,38,38,38,38,24,24,24,24,3754200.0,2236412.80381
108,54,54,29,36,36,29,29,29,938940.0,523039.590407
113,9,9,29,29,41,41,49,49,0.0,582018.646931
116,86,86,86,86,90,90,82,82,543540.0,434216.104122
123,46,46,9,9,9,9,2,2,284520.0,578488.850888
126,46,46,2,2,9,36,9,9,493320.0,626290.350292
140,46,46,2,2,41,41,113,113,843060.0,375760.773273
148,122,122,125,125,36,36,120,120,49980.0,319288.98832
150,20,20,20,20,20,20,20,20,0.0,603943.699675
174,29,29,54,36,54,54,36,54,929760.0,521395.816029
203,20,20,49,49,113,113,49,49,155100.0,590881.831029
206,20,20,49,49,49,49,90,90,1268880.0,504006.306257
210,29,29,54,54,54,54,29,29,984600.0,603985.306245
211,20,20,147,147,154,154,113,113,517500.0,558407.498176
246,61,61,19,19,61,61,36,36,404400.0,506223.421319
248,19,19,19,19,61,61,113,113,716940.0,442376.395562
250,218,218,218,218,68,218,68,218,550800.0,211658.736642
253,61,61,61,61,20,19,20,20,575700.0,558500.414517
262,2,2,29,29,29,29,20,20,193860.0,645717.456433
53,38,38,24,24,24,24,24,24,878820.0,567477.886012
60,24,24,49,49,38,38,36,24,237540.0,631297.985154
85,54,54,54,54,29,99,38,29,25380.0,736807.937866
90,54,54,2,2,29,29,9,9,389160.0,549192.862815
99,20,20,20,20,20,20,113,113,344700.0,433742.400974
199,113,113,49,113,113,113,49,49,7500000.0,6078051.72916
237,20,20,2,2,20,20,20,20,5455560.0,6422795.63346
267,2,2,54,54,54,54,2,20,7233660.0,7626667.5028
38,2,2,46,46,9,9,9,9,4798500.0,6789570.47384
67,46,46,46,46,9,9,9,9,4611780.0,6429894.5391
