,id,timestamp,state,resource,next_state,next_time,next_dur,elapsed_time,total_time,remaining_time,history
0,0,1336065884.0,0,0,0,1336065919,35,0,978934,978934,0
1,0,1336065919.0,0,0,0,1336065936,17,35,978934,978899,0_0
2,0,1336065936.0,0,0,0,1336402527,336591,52,978934,978882,0_0_0
3,15,1336067025.0,0,5,0,1336067035,10,0,313215,313215,0
4,15,1336067035.0,0,5,2,1336067586,551,10,313215,313205,0_0
5,1,1336067066.0,0,0,0,1336067309,243,0,1061,1061,0
6,38,1336067127.0,0,47,0,1336067148,21,0,112710,112710,0
7,38,1336067148.0,0,47,2,1336067277,129,21,112710,112689,0_0
8,18,1336067185.0,0,26,0,1336067218,33,0,977,977,0
9,2,1336067188.0,0,4,0,1336067235,47,0,632,632,0
10,27,1336067211.0,0,37,0,1336067297,86,0,631785,631785,0
11,18,1336067218.0,0,26,1,1336068162,944,33,977,944,0_0
12,2,1336067235.0,0,4,1,1336067820,585,47,632,585,0_0
13,13,1336067261.0,1,14,0,1336144887,77626,0,419821,419821,1
14,38,1336067277.0,2,47,0,1336068393,1116,150,112710,112560,0_0_2
15,27,1336067297.0,0,37,2,1336067443,146,86,631785,631699,0_0
16,1,1336067309.0,0,0,1,1336068127,818,243,1061,818,0_0
17,27,1336067443.0,2,37,0,1336067649,206,232,631785,631553,0_0_2
18,46,1336067501.0,2,14,0,1336145537,78036,0,977316,977316,2
19,15,1336067586.0,2,5,0,1336146876,79290,561,313215,312654,0_0_2
20,27,1336067649.0,0,38,1,1336067855,206,438,631785,631347,0_0_2_0
21,4,1336067705.0,0,6,0,1336067707,2,0,631290,631290,0
22,4,1336067707.0,0,6,1,1336068943,1236,2,631290,631288,0_0
23,2,1336067820.0,1,4,99,1336067820,0,632,632,0,0_0_1
24,5,1336067821.0,0,4,0,1336067892,71,0,631173,631173,0
25,27,1336067855.0,1,38,1,1336698996,631141,644,631785,631141,0_0_2_0_1
26,5,1336067892.0,0,4,2,1336068329,437,71,631173,631102,0_0
27,28,1336068089.0,0,39,0,1336068471,382,0,13706,13706,0
28,39,1336068100.0,2,3,0,1336068811,711,0,630893,630893,2
29,1,1336068127.0,1,0,99,1336068127,0,1061,1061,0,0_0_1
30,18,1336068162.0,1,26,99,1336068162,0,977,977,0,0_0_1
31,29,1336068211.0,0,40,0,1336068262,51,0,717177,717177,0
32,29,1336068262.0,0,40,2,1336068277,15,51,717177,717126,0_0
33,29,1336068277.0,2,40,0,1336099803,31526,66,717177,717111,0_0_2
34,31,1336068284.0,0,40,0,1336068973,689,0,701,701,0
35,5,1336068329.0,2,4,0,1336070324,1995,508,631173,630665,0_0_2
36,38,1336068393.0,0,48,0,1336068401,8,1266,112710,111444,0_0_2_0
37,30,1336068394.0,0,37,0,1336068416,22,0,716994,716994,0
38,38,1336068401.0,0,48,1,1336150985,82584,1274,112710,111436,0_0_2_0_0
39,30,1336068416.0,0,37,2,1336069040,624,22,716994,716972,0_0
40,28,1336068471.0,0,39,1,1336081795,13324,382,13706,13324,0_0
41,40,1336068508.0,2,3,2,1336068512,4,0,630484,630484,2
42,40,1336068512.0,2,3,0,1336068643,131,4,630484,630480,2_2
43,81,1336068640.0,0,115,0,1336068655,15,0,90,90,0
44,40,1336068643.0,0,50,1,1336069497,854,135,630484,630349,2_2_0
45,81,1336068655.0,0,115,1,1336068730,75,15,90,75,0_0
46,14,1336068700.0,0,16,0,1336068732,32,0,630292,630292,0
47,81,1336068730.0,1,115,99,1336068730,0,90,90,0,0_0_1
48,14,1336068732.0,0,16,2,1336068762,30,32,630292,630260,0_0
49,14,1336068762.0,2,16,0,1336069409,647,62,630292,630230,0_0_2
50,12,1336068773.0,0,4,0,1336068811,38,0,409,409,0
51,12,1336068811.0,0,4,1,1336069182,371,38,409,371,0_0
52,39,1336068811.0,0,49,1,1336068822,11,711,630893,630182,2_0
53,39,1336068822.0,1,49,1,1336698993,630171,722,630893,630171,2_0_1
54,4,1336068943.0,1,6,1,1336698995,630052,1238,631290,630052,0_0_1
55,31,1336068973.0,0,40,1,1336068985,12,689,701,12,0_0
56,6,1336068983.0,0,0,0,1336069045,62,0,79,79,0
57,31,1336068985.0,1,40,99,1336068985,0,701,701,0,0_0_1
58,30,1336069040.0,2,37,0,1336112569,43529,646,716994,716348,0_0_2
59,6,1336069045.0,0,0,1,1336069062,17,62,79,17,0_0
60,6,1336069062.0,1,0,99,1336069062,0,79,79,0,0_0_1
61,24,1336069111.0,0,31,0,1336069145,34,0,370168,370168,0
62,24,1336069145.0,0,31,2,1336069590,445,34,370168,370134,0_0
63,12,1336069182.0,1,4,99,1336069182,0,409,409,0,0_0_1
64,102,1336069201.0,0,128,0,1336069214,13,0,629789,629789,0
65,102,1336069214.0,0,128,1,1336069478,264,13,629789,629776,0_0
66,82,1336069290.0,0,47,0,1336069328,38,0,24066,24066,0
67,32,1336069322.0,0,40,0,1336069360,38,0,24033,24033,0
68,82,1336069328.0,0,47,2,1336069459,131,38,24066,24028,0_0
69,8,1336069341.0,0,10,0,1336069369,28,0,450012,450012,0
70,32,1336069360.0,0,40,0,1336070030,670,38,24033,23995,0_0
71,8,1336069369.0,0,10,1,1336070100,731,28,450012,449984,0_0
72,14,1336069409.0,0,0,1,1336069511,102,709,630292,629583,0_0_2_0
73,106,1336069427.0,0,131,0,1336069485,58,0,715960,715960,0
74,82,1336069459.0,2,47,0,1336081643,12184,169,24066,23897,0_0_2
75,102,1336069478.0,1,128,1,1336698990,629512,277,629789,629512,0_0_1
76,106,1336069485.0,0,131,2,1336071332,1847,58,715960,715902,0_0
77,40,1336069497.0,1,50,1,1336698992,629495,989,630484,629495,2_2_0_1
78,14,1336069511.0,1,0,1,1336698992,629481,811,630292,629481,0_0_2_0_1
79,24,1336069590.0,2,31,0,1336069640,50,479,370168,369689,0_0_2
80,24,1336069640.0,0,32,2,1336069840,200,529,370168,369639,0_0_2_0
81,85,1336069753.0,0,120,0,1336069816,63,0,74971,74971,0
