,id,timestamp,state,resource,next_state,next_time,next_dur,elapsed_time,total_time,remaining_time,history,total_q,queue_1,queue_4,queue_0,queue_3,queue_26,queue_41,queue_7,queue_10,queue_18,queue_2,queue_9,queue_14,queue_16,queue_17,queue_5,queue_19,queue_46,queue_15,queue_6,queue_34,queue_8,queue_33,queue_21,queue_35,queue_40,queue_39,queue_13,queue_29,queue_38,queue_24,queue_47,queue_36,queue_30,queue_27,queue_43,queue_48,queue_25,queue_42,queue_28,queue_50,queue_32,queue_11,queue_44,queue_37,queue_23,queue_22,queue_31,queue_52,queue_45,queue_54,queue_20,queue_53,queue_49,queue_12,queue_51
0,68,1325462400.0,1,1,1,1325466900,4500,0,262800,262800,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,61,1325462400.0,4,4,4,1325479800,17400,0,6225300,6225300,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,111,1325466000.0,0,0,0,1325487600,21600,0,3974400,3974400,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,68,1325466900.0,1,1,1,1325509200,42300,4500,262800,258300,1_1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,61,1325479800.0,4,4,18,1325498400,18600,17400,6225300,6207900,4_4,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,66,1325487600.0,3,3,3,1325496600,9000,0,4817700,4817700,3,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,129,1325487600.0,26,22,26,1325527200,39600,0,1188000,1188000,26,4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,111,1325487600.0,0,0,0,1325512800,25200,21600,3974400,3952800,0_0_0,5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,111,1325487600.0,0,0,0,1325487600,0,21600,3974400,3952800,0_0,5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,150,1325489400.0,41,27,41,1325520000,30600,0,626340,626340,41,6,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,120,1325494800.0,7,6,7,1325520000,25200,0,576000,576000,7,7,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,138,1325494800.0,10,8,10,1325502000,7200,0,1785600,1785600,10,8,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,66,1325496600.0,3,3,4,1326201900,705300,9000,4817700,4808700,3_3,8,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,61,1325498400.0,18,13,18,1325502000,3600,36000,6225300,6189300,4_4_18,8,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,128,1325499300.0,2,2,2,1325506500,7200,0,346200,346200,2,9,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,138,1325502000.0,10,8,10,1325591520,89520,7200,1785600,1778400,10_10,8,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,61,1325502000.0,18,13,34,1326322260,820260,39600,6225300,6185700,4_4_18_18,9,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,149,1325502060.0,10,8,10,1325522580,20520,0,223140,223140,10,10,1,0,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,67,1325506500.0,2,2,3,1325506800,300,0,3120480,3120480,2,10,1,0,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,128,1325506500.0,2,2,9,1325512800,6300,7200,346200,339000,2_2,11,1,0,1,1,1,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,67,1325506800.0,3,3,3,1325508600,1800,300,3120480,3120180,2_3,11,1,0,1,2,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,67,1325508600.0,3,3,3,1325510400,1800,2100,3120480,3118380,2_3_3,11,1,0,1,2,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,68,1325509200.0,1,1,1,1325512800,3600,46800,262800,216000,1_1_1,11,1,0,1,2,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,67,1325510400.0,3,3,2,1325512800,2400,3900,3120480,3116580,2_3_3_3,11,1,0,1,2,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,68,1325512800.0,1,1,1,1325512800,0,50400,262800,212400,1_1_1_1,7,0,0,0,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,111,1325512800.0,0,0,0,1325512800,0,46800,3974400,3927600,0_0_0_0,7,0,0,0,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,67,1325512800.0,2,2,3,1325520000,7200,6300,3120480,3114180,2_3_3_3_2,8,0,0,0,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,111,1325512800.0,0,0,0,1325520000,7200,46800,3974400,3927600,0_0_0_0_0,9,0,0,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,68,1325512800.0,1,1,1,1325520600,7800,50400,262800,212400,1_1_1_1_1,10,1,0,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,128,1325512800.0,9,7,9,1325520000,7200,13500,346200,332700,2_2_9,11,1,0,1,1,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,120,1325520000.0,7,6,7,1325520000,0,25200,576000,550800,7_7,6,1,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,128,1325520000.0,9,7,9,1325610240,90240,20700,346200,325500,2_2_9_9,7,1,0,0,1,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
