"caseId","concept:name_1","lifecycle:transition_1","org:resource_1","Activity_1","Resource_1","Work_Order_Qty_1","Part_Desc__1","Worker_ID_1","Report_Type_1","Qty_Completed_1","Qty_Rejected_1","Qty_for_MRB_1","concept:name_2","lifecycle:transition_2","org:resource_2","Activity_2","Resource_2","Work_Order_Qty_2","Part_Desc__2","Worker_ID_2","Report_Type_2","Qty_Completed_2","Qty_Rejected_2","Qty_for_MRB_2","concept:name_3","lifecycle:transition_3","org:resource_3","Activity_3","Resource_3","Work_Order_Qty_3","Part_Desc__3","Worker_ID_3","Report_Type_3","Qty_Completed_3","Qty_Rejected_3","Qty_for_MRB_3","concept:name_4","lifecycle:transition_4","org:resource_4","Activity_4","Resource_4","Work_Order_Qty_4","Part_Desc__4","Worker_ID_4","Report_Type_4","Qty_Completed_4","Qty_Rejected_4","Qty_for_MRB_4","concept:name_5","lifecycle:transition_5","org:resource_5","Activity_5","Resource_5","Work_Order_Qty_5","Part_Desc__5","Worker_ID_5","Report_Type_5","Qty_Completed_5","Qty_Rejected_5","Qty_for_MRB_5","remainingTime"
"1","0","1","8","0","3","4","5","8","6","9","7","7","0","10","8","0","3","4","5","8","6","9","7","7","0","1","8","0","3","4","5","8","11","9","7","7","0","10","8","0","3","4","5","8","11","9","7","7","0","1","2","0","3","4","5","2","6","7","7","7","1533660.0"
"10","12","1","17","12","14","15","16","17","6","9","7","7","19","1","18","19","20","15","16","18","11","7","7","7","12","10","17","12","14","15","16","17","6","9","7","7","19","10","18","19","20","15","16","18","11","7","7","7","12","1","13","12","14","15","16","13","6","7","7","7","1402560.0"
"100","21","1","22","21","23","24","25","22","11","26","7","7","21","10","22","21","23","24","25","22","11","26","7","7","21","1","27","21","23","24","25","27","11","28","7","7","21","10","27","21","23","24","25","27","11","28","7","7","21","1","22","21","23","24","25","22","6","9","7","7","2506680.0"
"101","32","1","22","32","23","29","30","22","6","7","7","7","32","10","22","32","23","29","30","22","6","7","7","7","21","1","22","21","23","29","30","22","6","7","7","7","21","10","22","21","23","29","30","22","6","7","7","7","21","1","22","21","23","29","30","22","31","7","7","7","1043760.0"
"102","21","1","22","21","23","34","16","22","6","7","7","7","21","10","22","21","23","34","16","22","6","7","7","7","21","1","22","21","23","34","16","22","6","7","7","7","21","10","22","21","23","34","16","22","6","7","7","7","21","1","33","21","23","34","16","33","6","7","7","7","1260000.0"
"103","21","1","22","21","23","35","36","22","31","7","7","7","21","10","22","21","23","35","36","22","31","7","7","7","21","1","33","21","23","35","36","33","6","7","7","7","21","10","33","21","23","35","36","33","6","7","7","7","21","1","22","21","23","35","36","22","6","7","7","7","572160.0"
"104","37","1","27","37","39","40","5","27","6","9","7","7","37","10","27","37","39","40","5","27","6","9","7","7","37","1","27","37","39","40","5","27","11","42","7","7","37","10","27","37","39","40","5","27","11","42","7","7","37","1","38","37","39","40","5","38","11","41","7","7","96540.0"
"106","21","1","33","21","23","44","25","33","6","7","7","7","21","10","33","21","23","44","25","33","6","7","7","7","21","1","22","21","23","44","25","22","11","44","7","7","21","10","22","21","23","44","25","22","11","44","7","7","43","1","18","43","20","44","25","18","11","44","7","7","281100.0"
"108","0","1","48","0","3","46","47","48","6","9","7","7","0","10","48","0","3","46","47","48","6","9","7","7","0","1","27","0","3","46","47","27","6","9","7","7","43","1","45","43","20","46","47","45","11","7","7","7","43","10","45","43","20","46","47","45","11","7","7","7","953220.0"
"109","0","1","8","0","3","49","50","8","6","7","7","7","0","1","2","0","3","49","50","2","6","52","7","7","0","10","8","0","3","49","50","8","6","7","7","7","0","10","2","0","3","49","50","2","6","52","7","7","43","1","18","43","20","49","50","18","11","51","7","7","1731600.0"
"11","53","1","13","53","55","56","16","13","6","7","7","7","53","10","13","53","55","56","16","13","6","7","7","7","53","1","54","53","55","56","16","54","11","9","7","7","43","1","45","43","20","56","16","45","11","7","7","7","53","10","54","53","55","56","16","54","11","9","7","7","793320.0"
"110","59","1","48","59","60","58","25","48","6","9","7","7","59","10","48","59","60","58","25","48","6","9","7","7","59","1","27","59","60","58","25","27","6","61","7","7","43","1","57","43","20","58","25","57","11","7","7","7","43","10","57","43","20","58","25","57","11","7","7","7","2503680.0"
"111","62","1","8","62","3","63","5","8","6","9","7","7","62","10","8","62","3","63","5","8","6","9","7","7","62","1","8","62","3","63","5","8","11","65","7","7","62","10","8","62","3","63","5","8","11","65","7","7","62","1","2","62","3","63","5","2","11","64","7","7","1295160.0"
"112","12","1","54","12","14","66","25","54","6","7","7","7","12","10","54","12","14","66","25","54","6","7","7","7","12","1","17","12","14","66","25","17","6","9","7","7","12","10","17","12","14","66","25","17","6","9","7","7","12","1","13","12","14","66","25","13","6","61","7","7","1339560.0"
"113","69","1","8","69","39","68","5","8","6","7","7","7","69","10","8","69","39","68","5","8","6","7","7","7","37","1","27","37","39","68","5","27","6","68","7","7","37","10","27","37","39","68","5","27","6","68","7","7","43","1","67","43","20","68","5","67","11","68","7","7","16560.0"
"114","59","1","48","59","60","71","25","48","6","9","7","7","59","10","48","59","60","71","25","48","6","9","7","7","43","1","18","43","20","71","25","18","11","7","7","7","59","1","70","59","60","71","25","70","6","7","7","7","59","10","70","59","60","71","25","70","6","7","7","7","604980.0"
"115","0","1","8","0","3","72","25","8","6","7","7","7","0","10","8","0","3","72","25","8","6","7","7","7","0","1","27","0","3","72","25","27","11","49","7","7","0","10","27","0","3","72","25","27","11","49","7","7","0","1","8","0","3","72","25","8","11","73","7","7","1706460.0"
