"caseId","Event_1","Event_2","Event_3","Event_4","Event_5","Latest_concept:name","Latest_lifecycle:transition","Latest_org:resource","Latest_Activity","Latest_Resource","Latest_Work_Order_Qty","Latest_Part_Desc_","Latest_Worker_ID","Latest_Report_Type","Latest_Qty_Completed","Latest_Qty_Rejected","Latest_Qty_for_MRB","remainingTime"
"Case1","8","8","8","8","2","0","1","2","0","3","4","5","2","6","7","7","7","1533660.0"
"Case10","17","18","17","18","13","12","1","13","12","14","15","16","13","6","7","7","7","1402560.0"
"Case100","22","22","27","27","22","21","1","22","21","23","24","25","22","6","9","7","7","2506680.0"
"Case101","22","22","22","22","22","21","1","22","21","23","29","30","22","31","7","7","7","1040160.0"
"Case102","22","22","22","22","33","21","1","33","21","23","34","16","33","6","7","7","7","1260000.0"
"Case103","22","22","33","33","22","21","1","22","21","23","35","36","22","6","7","7","7","572160.0"
"Case104","27","27","27","27","38","37","1","38","37","39","40","5","38","11","41","7","7","96540.0"
"Case106","33","33","22","22","18","43","1","18","43","20","44","25","18","11","44","7","7","281100.0"
"Case108","48","48","27","45","45","43","10","45","43","20","46","47","45","11","7","7","7","953220.0"
"Case109","8","2","8","2","18","43","1","18","43","20","49","50","18","11","51","7","7","1731600.0"
"Case11","13","13","54","45","54","53","10","54","53","55","56","16","54","11","9","7","7","793320.0"
"Case110","48","48","27","57","57","43","10","57","43","20","58","25","57","11","7","7","7","2500080.0"
"Case111","8","8","8","8","2","62","1","2","62","3","63","5","2","11","64","7","7","1291560.0"
"Case112","54","54","17","17","13","12","1","13","12","14","66","25","13","6","61","7","7","1335960.0"
"Case113","8","8","27","27","67","43","1","67","43","20","68","5","67","11","68","7","7","16560.0"
"Case114","48","48","18","70","70","59","10","70","59","60","71","25","70","6","7","7","7","604980.0"
"Case115","8","8","27","27","8","0","1","8","0","3","72","25","8","11","73","7","7","1702860.0"
"Case116","79","79","79","79","75","74","1","75","74","76","77","78","75","11","29","7","7","573600.0"
"Case117","83","83","83","83","67","81","1","67","81","20","61","82","67","11","61","7","7","4500.0"
"Case118","38","38","48","48","48","59","1","48","59","60","4","25","48","11","85","7","7","134940.0"
"Case119","13","13","13","13","13","53","1","13","53","55","86","87","13","6","9","7","7","637200.0"
"Case12","54","54","13","13","18","19","1","18","19","20","88","16","18","11","7","7","7","1864140.0"
"Case120","27","27","38","38","48","37","1","48","37","39","90","5","48","31","7","7","7","1499580.0"
"Case121","27","27","27","92","92","19","10","92","19","20","73","93","92","11","73","7","7","1939680.0"
"Case122","38","38","38","38","38","37","1","38","37","39","73","93","38","6","9","7","7","1962420.0"
"Case123","38","38","8","8","8","0","1","8","0","3","94","5","8","11","95","7","7","309180.0"
"Case124","8","8","8","8","38","0","1","38","0","3","73","25","38","11","7","7","7","460860.0"
"Case125","48","48","2","2","18","43","1","18","43","20","96","25","18","11","7","7","7","14640.0"
"Case126","38","38","2","2","8","0","1","8","0","3","4","30","8","6","7","7","7","493380.0"
"Case127","48","48","48","48","2","59","1","2","59","60","97","25","2","11","28","7","7","1343160.0"
"Case129","22","45","45","22","22","21","1","22","21","23","61","98","22","6","9","7","7","1103340.0"
"Case13","17","17","17","17","13","89","1","13","89","14","71","16","13","11","24","7","7","69540.0"
"Case133","38","38","8","8","8","0","1","8","0","3","99","100","8","11","101","7","7","40740.0"
"Case134","8","8","8","8","2","0","1","2","0","3","99","100","2","11","95","7","7","86400.0"
"Case135","27","27","38","70","70","37","10","70","37","39","58","30","70","6","7","7","7","692880.0"
"Case136","48","48","48","48","18","43","1","18","43","20","102","25","18","11","7","7","7","2700.0"
"Case137","38","38","8","8","2","0","1","2","0","3","46","30","2","11","101","7","7","187200.0"
"Case138","2","2","8","8","8","0","1","8","0","3","86","5","8","11","103","7","7","136680.0"
"Case140","38","38","2","2","67","43","1","67","43","20","90","5","67","11","61","52","7","853260.0"
"Case145","22","22","33","33","22","104","1","22","104","23","105","106","22","11","7","7","7","1819080.0"
"Case147","22","22","33","33","33","104","1","33","104","23","107","108","33","11","68","7","7","97380.0"
"Case148","111","111","114","114","45","109","1","45","109","20","110","108","45","11","9","7","7","53580.0"
"Case150","18","18","18","18","18","117","10","18","117","118","24","25","18","11","7","90","7","30720.0"
"Case153","79","79","79","79","45","109","1","45","109","20","123","30","45","11","7","7","7","114600.0"
"Case154","67","67","126","126","67","109","1","67","109","20","29","25","67","11","80","9","7","237600.0"
"Case155","33","33","33","33","33","21","1","33","21","23","96","25","33","11","41","7","7","562920.0"
"Case156","54","54","54","54","54","12","1","54","12","14","102","130","54","6","9","7","7","1222020.0"
"Case163","132","132","45","45","45","19","1","45","19","20","131","78","45","11","4","7","7","6325380.0"
"Case17","22","22","22","22","22","104","1","22","104","129","56","78","22","31","7","7","7","2737020.0"
"Case174","27","27","48","45","48","59","10","48","59","60","65","25","48","6","9","7","7","939900.0"
"Case177","137","137","134","134","134","133","1","134","133","135","136","5","134","11","52","7","7","7031160.0"
"Case178","142","142","144","144","75","140","1","75","140","76","141","5","75","11","7","7","7","5365440.0"
"Case179","75","75","57","57","83","84","1","83","84","84","131","5","83","11","4","7","7","3397200.0"
"Case18","8","8","8","8","38","37","1","38","37","39","145","5","38","31","7","7","7","6221460.0"
"Case182","18","18","79","79","18","109","1","18","109","20","147","25","18","11","90","9","7","1817340.0"
"Case185","13","13","79","79","83","84","1","83","84","84","150","5","83","11","90","7","7","7371600.0"
"Case187","152","152","134","134","144","117","1","144","117","118","151","5","144","6","52","7","7","4087860.0"
"Case188","137","152","152","152","137","121","10","137","121","122","153","154","137","11","155","7","7","3114180.0"
"Case189","57","57","57","57","57","43","1","57","43","20","146","156","57","11","7","9","7","212400.0"
"Case19","2","2","57","57","8","0","1","8","0","3","40","5","8","11","95","7","7","2041320.0"
"Case190","83","83","67","67","67","43","1","67","43","20","103","157","67","11","7","7","7","1381860.0"
"Case192","111","111","45","45","13","12","1","13","12","14","151","108","13","6","9","7","7","1656600.0"
"Case194","13","13","13","45","13","53","10","13","53","55","86","158","13","6","7","7","7","2277120.0"
"Case195","45","45","152","152","137","138","1","137","138","139","94","159","137","11","86","7","7","879840.0"
"Case196","57","57","79","79","67","109","1","67","109","20","86","5","67","11","61","9","7","121500.0"
"Case198","38","38","27","27","27","37","1","27","37","39","56","5","27","11","125","7","7","6093540.0"
"Case199","152","152","137","152","152","138","10","152","138","139","160","5","152","11","7","7","7","7506300.0"
"Case20","2","2","18","2","2","0","10","2","0","3","162","163","2","11","146","7","7","3230640.0"
"Case200","92","92","75","75","67","109","1","67","109","20","49","5","67","11","9","7","7","1531800.0"
"Case201","67","67","67","67","22","104","1","22","104","129","71","82","22","11","7","7","7","4028700.0"
"Case203","18","18","137","137","152","138","1","152","138","139","90","165","152","11","7","7","7","198180.0"
"Case205","75","75","75","75","18","109","1","18","109","20","80","166","18","11","52","7","7","37800.0"
"Case206","18","18","137","137","137","138","1","137","138","139","167","168","137","11","167","7","7","2127840.0"
"Case207","38","27","38","27","38","59","1","38","59","60","169","170","38","6","7","7","7","1731600.0"
"Case208","54","54","17","17","54","53","1","54","53","55","41","5","54","6","7","7","7","3319680.0"
"Case209","48","48","33","33","33","59","1","33","59","60","171","25","33","11","172","7","7","739140.0"
"Case21","2","2","27","27","18","43","1","18","43","20","136","163","18","11","7","7","7","3434400.0"
"Case210","27","27","48","48","48","59","1","48","59","60","174","16","48","11","71","7","7","1050840.0"
"Case211","18","18","144","144","142","121","1","142","121","122","175","16","142","11","176","7","7","536040.0"
"Case212","48","48","48","48","48","59","1","48","59","60","177","25","48","11","146","7","7","1143300.0"
"Case214","48","48","48","48","2","59","1","2","59","60","131","25","2","11","52","7","7","1501260.0"
"Case215","33","33","33","33","142","21","1","142","21","23","178","25","142","11","179","7","7","995820.0"
"Case218","185","185","181","181","181","180","1","181","180","182","183","170","181","11","184","7","7","486540.0"
"Case219","137","137","137","137","144","133","1","144","133","135","179","5","144","6","7","7","7","802140.0"
"Case22","54","54","17","17","17","12","1","17","12","14","90","25","17","11","61","7","7","494100.0"
"Case223","33","45","33","33","33","21","10","33","21","23","179","25","33","6","7","7","7","2105460.0"
"Case224","57","57","57","57","57","43","1","57","43","20","86","165","57","6","7","7","7","1800.0"
"Case225","75","75","75","75","75","186","1","75","186","135","187","5","75","11","7","7","7","7021380.0"
"Case228","33","33","33","33","33","21","1","33","21","23","4","25","33","11","85","7","7","480600.0"
"Case229","33","45","45","33","27","21","1","27","21","23","34","25","27","11","71","7","7","609840.0"
"Case23","38","38","2","2","27","37","1","27","37","39","41","93","27","6","7","7","7","3149820.0"
"Case230","48","48","48","48","48","59","1","48","59","60","190","16","48","6","9","7","7","4514160.0"
"Case231","137","137","144","144","144","133","1","144","133","135","71","5","144","11","52","7","7","668580.0"
"Case232","67","38","67","75","38","37","10","38","37","39","90","5","38","11","61","7","7","1309800.0"
"Case233","54","17","54","17","17","191","1","17","191","14","34","25","17","11","26","7","7","989280.0"
"Case234","45","45","45","45","114","192","1","114","192","193","107","194","114","11","7","7","7","4831560.0"
"Case235","57","57","57","13","57","43","10","57","43","20","41","196","57","6","7","7","7","3178200.0"
"Case236","79","79","79","79","18","43","1","18","43","20","71","16","18","11","7","7","7","238200.0"
"Case237","18","18","2","2","18","43","1","18","43","20","197","198","18","11","199","7","7","5493000.0"
"Case238","48","48","27","27","27","0","1","27","0","3","201","50","27","11","4","7","7","3927600.0"
"Case239","48","48","38","27","38","59","10","38","59","60","103","25","38","6","9","7","7","1261560.0"
"Case24","8","8","8","8","67","43","1","67","43","20","41","93","67","11","73","9","7","3601440.0"
"Case240","48","48","27","27","38","59","1","38","59","60","202","203","38","11","103","7","7","1152960.0"
"Case241","38","38","38","38","2","59","1","2","59","60","103","25","2","6","9","7","7","363420.0"
"Case242","48","48","48","48","2","59","1","2","59","60","86","16","2","11","91","7","7","752400.0"
"Case243","48","48","27","45","27","59","10","27","59","60","4","16","27","6","9","7","7","1114620.0"
"Case244","79","79","79","79","79","204","1","79","204","149","90","5","79","6","7","7","7","406080.0"
"Case245","17","17","17","57","57","43","10","57","43","20","90","5","57","6","7","7","7","2703360.0"
"Case246","54","54","17","17","54","12","1","54","12","14","161","205","54","11","101","7","7","470760.0"
"Case248","17","17","17","17","54","12","1","54","12","14","34","30","54","11","103","7","7","821340.0"
"Case249","33","33","33","33","45","43","1","45","43","20","206","25","45","11","7","7","7","779520.0"
"Case25","38","38","38","38","38","37","1","38","37","39","41","93","38","6","7","7","7","3100080.0"
"Case250","208","208","208","208","57","109","1","57","109","20","95","207","57","11","7","7","7","583200.0"
"Case251","38","38","8","8","8","37","1","8","37","39","90","5","8","11","91","7","7","3895620.0"
"Case252","48","48","48","18","48","59","10","48","59","60","73","25","48","6","7","7","7","487500.0"
"Case253","54","54","54","54","18","43","1","18","43","20","103","211","18","11","7","7","7","582960.0"
"Case254","137","137","137","137","137","119","1","137","119","120","212","16","137","11","49","7","7","235260.0"
"Case255","33","33","18","18","137","121","1","137","121","122","86","47","137","11","86","7","7","488280.0"
"Case256","33","33","8","8","48","104","1","48","104","129","56","213","48","11","105","7","7","3048960.0"
"Case257","48","48","8","8","38","37","1","38","37","39","131","5","38","11","4","7","7","6796260.0"
"Case258","48","48","48","48","27","59","1","27","59","60","49","25","27","11","61","7","7","1604040.0"
"Case259","54","54","54","54","13","53","1","13","53","55","215","130","13","11","24","7","7","6161280.0"
"Case26","2","2","48","48","48","0","1","48","0","3","41","93","48","31","7","7","7","3637380.0"
"Case260","27","27","27","27","27","59","1","27","59","60","216","25","27","11","61","7","7","4744980.0"
"Case261","33","33","33","33","18","43","1","18","43","20","107","203","18","11","7","7","7","609660.0"
"Case262","2","2","27","27","27","59","1","27","59","60","161","16","27","11","217","7","7","220140.0"
"Case263","22","22","22","22","22","21","1","22","21","23","24","218","22","6","9","7","7","1620060.0"
"Case264","70","70","70","27","70","59","10","70","59","60","219","203","70","11","52","7","7","247320.0"
"Case265","33","33","33","33","33","21","1","33","21","23","85","166","33","6","7","7","7","881820.0"
"Case266","57","57","38","38","8","37","1","8","37","39","220","5","8","11","221","7","7","7359660.0"
"Case267","2","2","48","48","48","0","1","48","0","3","153","154","48","11","46","7","7","7253100.0"
"Case268","33","33","33","18","33","21","10","33","21","23","105","222","33","6","7","7","7","1862340.0"
