"id","Event_1","Event_2","Event_3","Event_4","Event_5","remainingTime"
"1","8","8","8","8","2","1533660.0"
"10","17","18","17","18","13","1402560.0"
"100","22","22","27","27","22","2506680.0"
"101","22","22","22","22","22","1043760.0"
"102","22","22","22","22","33","1260000.0"
"103","22","22","33","33","22","572160.0"
"104","27","27","27","27","38","96540.0"
"106","33","33","22","22","18","281100.0"
"108","48","48","27","45","45","953220.0"
"109","8","2","8","2","18","1731600.0"
"11","13","13","54","45","54","793320.0"
"110","48","48","27","57","57","2503680.0"
"111","8","8","8","8","2","1295160.0"
"112","54","54","17","17","13","1339560.0"
"113","8","8","27","27","67","16560.0"
"114","48","48","18","70","70","604980.0"
"115","8","8","27","27","8","1706460.0"
"116","79","79","79","79","75","573600.0"
"117","83","83","83","83","67","4500.0"
"118","38","38","48","48","48","134940.0"
"119","13","13","13","13","13","640800.0"
"12","54","54","13","13","18","1864140.0"
"120","27","27","38","38","48","1499580.0"
"121","27","27","27","92","92","1943280.0"
"122","38","38","38","38","38","1966020.0"
"123","38","38","8","8","8","309180.0"
"124","8","8","8","8","38","464460.0"
"125","48","48","2","2","18","14640.0"
"126","38","38","2","2","8","496980.0"
"127","48","48","48","48","2","1343160.0"
"129","22","45","45","22","22","1103340.0"
"13","17","17","17","17","13","69540.0"
"133","38","38","8","8","8","40740.0"
"134","8","8","8","8","2","86400.0"
"135","27","27","38","70","70","696480.0"
"136","48","48","48","48","18","2700.0"
"137","38","38","8","8","2","187200.0"
"138","2","2","8","8","8","136680.0"
"140","38","38","2","2","67","856860.0"
"145","22","22","33","33","22","1819080.0"
"147","22","22","33","33","33","97380.0"
"148","111","111","114","114","45","53580.0"
"150","18","18","18","18","18","30720.0"
"153","79","79","79","79","45","114600.0"
"154","67","67","126","126","67","237600.0"
"155","33","33","33","33","33","562920.0"
"156","54","54","54","54","54","1222020.0"
"163","132","132","45","45","45","6325380.0"
"17","22","22","22","22","22","2740620.0"
"174","27","27","48","45","48","943500.0"
"177","137","137","134","134","134","7034760.0"
"178","142","142","144","144","75","5365440.0"
"179","75","75","57","57","83","3397200.0"
"18","8","8","8","8","38","6225060.0"
"182","18","18","79","79","18","1820940.0"
"185","13","13","79","79","83","7375200.0"
"187","152","152","134","134","144","4087860.0"
"188","137","152","152","152","137","3114180.0"
"189","57","57","57","57","57","212400.0"
"19","2","2","57","57","8","2041320.0"
"190","83","83","67","67","67","1381860.0"
"192","111","111","45","45","13","1656600.0"
"194","13","13","13","45","13","2277120.0"
"195","45","45","152","152","137","879840.0"
"196","57","57","79","79","67","121500.0"
"198","38","38","27","27","27","6093540.0"
"199","152","152","137","152","152","7509900.0"
"20","2","2","18","2","2","3230640.0"
"200","92","92","75","75","67","1531800.0"
"201","67","67","67","67","22","4028700.0"
"203","18","18","137","137","152","198180.0"
"205","75","75","75","75","18","37800.0"
"206","18","18","137","137","137","2127840.0"
"207","38","27","38","27","38","1731600.0"
"208","54","54","17","17","54","3319680.0"
"209","48","48","33","33","33","739140.0"
"21","2","2","27","27","18","3434400.0"
"210","27","27","48","48","48","1050840.0"
"211","18","18","144","144","142","536040.0"
"212","48","48","48","48","48","1143300.0"
"214","48","48","48","48","2","1501260.0"
"215","33","33","33","33","142","995820.0"
"218","185","185","181","181","181","486540.0"
"219","137","137","137","137","144","802140.0"
"22","54","54","17","17","17","494100.0"
"223","33","45","33","33","33","2105460.0"
