,id,startTime,event,resource,datetime,eventString,resourceString
0,0,1327879440.0,0,0,2012-01-29T23:24:00.000+02:00,Turning & Milling - Machine 4,Machine 4 - Turning & Milling
1,0,1327902180.0,0,0,2012-01-30T05:43:00.000+02:00,Turning & Milling - Machine 4,Machine 4 - Turning & Milling
2,0,1327902240.0,0,0,2012-01-30T05:44:00.000+02:00,Turning & Milling - Machine 4,Machine 4 - Turning & Milling
3,0,1327905720.0,0,0,2012-01-30T06:42:00.000+02:00,Turning & Milling - Machine 4,Machine 4 - Turning & Milling
4,0,1327906740.0,0,0,2012-01-30T06:59:00.000+02:00,Turning & Milling - Machine 4,Machine 4 - Turning & Milling
5,0,1327908060.0,0,0,2012-01-30T07:21:00.000+02:00,Turning & Milling - Machine 4,Machine 4 - Turning & Milling
6,0,1327908060.0,0,0,2012-01-30T07:21:00.000+02:00,Turning & Milling - Machine 4,Machine 4 - Turning & Milling
7,0,1327921080.0,0,0,2012-01-30T10:58:00.000+02:00,Turning & Milling - Machine 4,Machine 4 - Turning & Milling
8,0,1328016000.0,1,1,2012-01-31T13:20:00.000+02:00,Turning & Milling Q.C.,Quality Check 1
9,0,1328021400.0,1,1,2012-01-31T14:50:00.000+02:00,Turning & Milling Q.C.,Quality Check 1
10,0,1328084280.0,2,2,2012-02-01T08:18:00.000+02:00,Laser Marking - Machine 7,Machine 7- Laser Marking
11,0,1328084820.0,2,2,2012-02-01T08:27:00.000+02:00,Laser Marking - Machine 7,Machine 7- Laser Marking
12,0,1329177600.0,3,3,2012-02-14T00:00:00.000+02:00,Lapping - Machine 1,Machine 1 - Lapping
13,0,1329177600.0,3,3,2012-02-14T00:00:00.000+02:00,Lapping - Machine 1,Machine 1 - Lapping
14,0,1329182100.0,3,3,2012-02-14T01:15:00.000+02:00,Lapping - Machine 1,Machine 1 - Lapping
15,0,1329182100.0,3,3,2012-02-14T01:15:00.000+02:00,Lapping - Machine 1,Machine 1 - Lapping
16,0,1329210300.0,3,3,2012-02-14T09:05:00.000+02:00,Lapping - Machine 1,Machine 1 - Lapping
17,0,1329210300.0,3,3,2012-02-14T09:05:00.000+02:00,Lapping - Machine 1,Machine 1 - Lapping
18,0,1329210780.0,4,4,2012-02-14T09:13:00.000+02:00,Round Grinding - Machine 3,Machine 3 - Round Grinding
19,0,1329212280.0,3,3,2012-02-14T09:38:00.000+02:00,Lapping - Machine 1,Machine 1 - Lapping
20,0,1329214800.0,3,3,2012-02-14T10:20:00.000+02:00,Lapping - Machine 1,Machine 1 - Lapping
21,0,1329226620.0,4,4,2012-02-14T13:37:00.000+02:00,Round Grinding - Machine 3,Machine 3 - Round Grinding
22,0,1329226620.0,4,4,2012-02-14T13:37:00.000+02:00,Round Grinding - Machine 3,Machine 3 - Round Grinding
23,0,1329233220.0,4,4,2012-02-14T15:27:00.000+02:00,Round Grinding - Machine 3,Machine 3 - Round Grinding
24,0,1329375540.0,5,1,2012-02-16T06:59:00.000+02:00,Final Inspection Q.C.,Quality Check 1
25,0,1329379140.0,5,1,2012-02-16T07:59:00.000+02:00,Final Inspection Q.C.,Quality Check 1
26,0,1329394260.0,5,1,2012-02-16T12:11:00.000+02:00,Final Inspection Q.C.,Quality Check 1
27,0,1329396180.0,5,1,2012-02-16T12:43:00.000+02:00,Final Inspection Q.C.,Quality Check 1
28,0,1329400680.0,5,1,2012-02-16T13:58:00.000+02:00,Final Inspection Q.C.,Quality Check 1
29,0,1329408720.0,5,1,2012-02-16T16:12:00.000+02:00,Final Inspection Q.C.,Quality Check 1
30,0,1329436800.0,6,5,2012-02-17T00:00:00.000+02:00,Packing,Packing
31,0,1329440400.0,6,5,2012-02-17T01:00:00.000+02:00,Packing,Packing
32,1,1326783660.0,7,6,2012-01-17T07:01:00.000+02:00,Turning & Milling - Machine 9,Machine 9 - Turning & Milling
33,1,1326798000.0,8,1,2012-01-17T11:00:00.000+02:00,Turning Q.C.,Quality Check 1
34,1,1326798300.0,7,6,2012-01-17T11:05:00.000+02:00,Turning & Milling - Machine 9,Machine 9 - Turning & Milling
